Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
110,2022,2022-12-08,13,14,29.341,LAR,,LVR,W 17-16,*,3,2,11,5.50,0,66.7%,3.67,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,61,95%,0,0%,0,0%,
111,2022,2022-12-19,14,15,29.352,LAR,@,GNB,L 12-24,*,5,4,27,6.75,1,80.0%,5.40,0,0,,0,0,0,,0,,1,6,0.0,1,0,1,0,0,0,0,0,0,0,0,40,89%,0,0%,0,0%,
112,2022,2022-12-25,15,16,29.358,LAR,,DEN,W 51-14,*,11,9,94,10.44,2,81.8%,8.55,0,0,,0,1,7,7.00,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,59,91%,0,0%,1,4%,
113,2022,2023-01-01,16,17,30.000,LAR,@,LAC,L 10-31,*,4,3,11,3.67,0,75.0%,2.75,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,44,90%,0,0%,0,0%,
114,2022,2023-01-08,17,18,30.007,LAR,@,SEA,L 16-19,*,7,4,33,8.25,0,57.1%,4.71,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,54,89%,0,0%,0,0%,
115,2023,2023-09-10,1,1,30.252,LAR,@,SEA,W 30-13,*,3,3,49,16.33,0,100.0%,16.33,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,74,91%,0,0%,0,0%,
116,2023,2023-09-17,2,2,30.259,LAR,,SFO,L 23-30,*,7,3,12,4.00,0,42.9%,1.71,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,74,93%,0,0%,0,0%,
117,2023,2023-09-25,3,3,30.267,LAR,@,CIN,L 16-19,*,5,5,71,14.20,0,100.0%,14.20,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,96%,0,0%,0,0%,
118,2023,2023-10-01,4,4,30.273,LAR,@,IND,W 29-23,*,11,5,64,12.80,0,45.5%,5.82,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,77,94%,0,0%,0,0%,
119,2023,2023-10-08,5,5,30.280,LAR,,PHI,L 14-23,*,3,2,20,10.00,0,66.7%,6.67,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,50,89%,0,0%,0,0%,
120,2023,2023-10-15,6,6,30.287,LAR,,ARI,W 26-9,*,3,2,18,9.00,0,66.7%,6.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,54,95%,0,0%,0,0%,
