Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
33,2022,2023-01-01,16,17,23.086,LAR,@,LAC,L 10-31,,5,2,10,5.00,0,40.0%,2.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,41,84%,0,0%,0,0%,
34,2022,2023-01-08,17,18,23.093,LAR,@,SEA,L 16-19,*,3,2,27,13.50,0,66.7%,9.00,1,11,11.00,1,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,57,93%,0,0%,0,0%,
35,2023,2023-09-10,1,1,23.338,LAR,@,SEA,W 30-13,*,8,6,119,19.83,0,75.0%,14.88,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,64,79%,0,0%,0,0%,
36,2023,2023-09-17,2,2,23.345,LAR,,SFO,L 23-30,*,9,7,77,11.00,0,77.8%,8.56,1,5,5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,75,94%,0,0%,0,0%,
37,2023,2023-09-25,3,3,23.353,LAR,@,CIN,L 16-19,*,9,4,50,12.50,1,44.4%,5.56,1,22,22.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,48,87%,0,0%,0,0%,
38,2023,2023-10-01,4,4,23.359,LAR,@,IND,W 29-23,*,9,5,24,4.80,0,55.6%,2.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,64,78%,0,0%,0,0%,
39,2023,2023-10-08,5,5,24.001,LAR,,PHI,L 14-23,*,5,2,9,4.50,1,40.0%,1.80,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,50,89%,0,0%,0,0%,
40,2023,2023-10-15,6,6,24.008,LAR,,ARI,W 26-9,*,1,1,30,30.00,0,100.0%,30.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,50,88%,0,0%,0,0%,
41,2023,2023-10-22,7,7,24.015,LAR,,PIT,L 17-24,*,2,1,31,31.00,1,50.0%,15.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,50,74%,0,0%,0,0%,
42,2023,2023-10-29,8,8,24.022,LAR,@,DAL,L 20-43,*,4,2,21,10.50,0,50.0%,5.25,2,8,4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,60,97%,0,0%,0,0%,
43,2023,2023-11-05,9,9,24.029,LAR,@,GNB,L 3-20,*,7,4,13,3.25,0,57.1%,1.86,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,39,67%,0,0%,0,0%,
44,2023,2023-11-19,10,11,24.043,LAR,,SEA,W 17-16,*,3,1,17,17.00,0,33.3%,5.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,59,88%,0,0%,0,0%,
45,2023,2023-11-26,11,12,24.050,LAR,@,ARI,W 37-14,*,3,3,76,25.33,0,100.0%,25.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,24,36%,0,0%,0,0%,
46,2023,2023-12-03,12,13,24.057,LAR,,CLE,W 36-19,*,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,25,39%,0,0%,0,0%,
47,2023,2023-12-10,13,14,24.064,LAR,@,BAL,L 31-37,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,9,12%,0,0%,0,0%,
48,2023,2023-12-17,14,15,,LAR,,WAS,W 28-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
49,2023,2023-12-21,15,16,24.075,LAR,,NOR,W 30-22,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,4,6%,0,0%,0,0%,
50,2023,2023-12-31,16,17,24.085,LAR,@,NYG,W 26-25,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,4,6%,0,0%,0,0%,
51,2023,2024-01-07,17,18,24.092,LAR,@,SFO,W 21-20,*,4,2,7,3.50,0,50.0%,1.75,1,-4,-4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,0,2,0,0,0,0,0,0,62,93%,0,0%,0,0%,
52,2024,2024-09-08,1,1,24.337,LAR,@,DET,L 20-26,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,6,8%,0,0%,0,0%,
