Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Num,Pct,Num,Pct,Num,Pct,Status
49,2023,2023-12-21,15,16,25.160,LAR,,NOR,W 30-22,*,70,100%,0,0%,7,29%,
50,2023,2023-12-31,16,17,,LAR,@,NYG,W 26-25,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
51,2023,2024-01-07,17,18,25.177,LAR,@,SFO,W 21-20,*,67,100%,0,0%,2,11%,
52,2024,2024-09-08,1,1,,LAR,@,DET,L 20-26,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
53,2024,2024-09-15,2,2,,LAR,@,ARI,L 10-41,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
54,2024,2024-09-22,3,3,26.070,LAR,,SFO,W 27-24,*,58,100%,0,0%,5,19%,
55,2024,2024-09-29,4,4,26.077,LAR,@,CHI,L 18-24,*,61,100%,0,0%,5,19%,
56,2024,2024-10-06,5,5,26.084,LAR,,GNB,L 19-24,*,78,100%,0,0%,2,9%,
57,2024,2024-10-20,6,7,26.098,LAR,,LVR,W 20-15,*,55,100%,0,0%,4,14%,
58,2024,2024-10-24,7,8,26.102,LAR,,MIN,W 30-20,*,72,100%,0,0%,4,16%,
59,2024,2024-11-03,8,9,26.112,LAR,@,SEA,W 26-20,*,77,100%,0,0%,4,13%,
60,2024,2024-11-11,9,10,26.120,LAR,,MIA,L 15-23,*,70,100%,0,0%,6,21%,
61,2024,2024-11-17,10,11,26.126,LAR,@,NWE,W 28-22,*,52,100%,0,0%,5,19%,
62,2024,2024-11-24,11,12,26.133,LAR,,PHI,L 20-37,*,64,100%,0,0%,3,11%,
