Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct,Status
1,2020,2020-09-13,1,1,,TAM,@,NOR,L 23-34,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2020,2020-09-20,2,2,,TAM,,CAR,W 31-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2020,2020-09-27,3,3,22.033,TAM,@,DEN,W 28-10,,,,,,,0.0%,,,,,,0,0,,,,,,,21,31%,0,0%,0,0%,
4,2020,2020-10-04,4,4,22.040,TAM,,LAC,W 38-31,,,,,,,0.0%,,,,,,0,0,,,,,,,25,33%,0,0%,0,0%,
5,2020,2020-10-08,5,5,22.044,TAM,@,CHI,L 19-20,*,6,4,61,15.25,0,66.7%,10.17,0,0,,0,0,0,0.0,0,0,0,0,0,56,79%,0,0%,0,0%,
6,2020,2020-10-18,6,6,22.054,TAM,,GNB,W 38-10,*,1,1,7,7.00,1,100.0%,7.00,0,0,,0,1,6,0.0,0,0,0,0,0,16,25%,0,0%,0,0%,
7,2020,2020-10-25,7,7,22.061,TAM,@,LVR,W 45-20,,2,2,4,2.00,1,100.0%,2.00,0,0,,0,1,6,0.0,0,0,0,0,0,29,40%,0,0%,0,0%,
8,2020,2020-11-02,8,8,22.069,TAM,@,NYG,W 25-23,,2,2,35,17.50,0,100.0%,17.50,0,0,,0,0,0,0.0,0,0,0,0,0,35,50%,0,0%,4,15%,
9,2020,2020-11-08,9,9,22.075,TAM,,NOR,L 3-38,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,0.0,0,0,0,0,0,6,12%,0,0%,8,38%,
10,2020,2020-11-15,10,10,22.082,TAM,@,CAR,W 46-23,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0,7,9%,0,0%,5,16%,
