Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct
1.0,2024.0,2024-09-08,1.0,1.0,23.19,LAR,@,DET,L 20-26,,,,,,,,0.0,0%,0.0,0%,15.0,58%
2.0,2024.0,2024-09-15,2.0,2.0,23.197,LAR,@,ARI,L 10-41,,,,,,,,0.0,0%,0.0,0%,16.0,64%
3.0,2024.0,2024-09-22,3.0,3.0,23.204,LAR,,SFO,W 27-24,,,,,,,,0.0,0%,0.0,0%,16.0,59%
4.0,2024.0,2024-09-29,4.0,4.0,23.211,LAR,@,CHI,L 18-24,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0%,0.0,0%,16.0,62%
5.0,2024.0,2024-10-06,5.0,5.0,23.218,LAR,,GNB,L 19-24,,,,,,,,0.0,0%,0.0,0%,16.0,73%
6.0,2024.0,2024-10-20,6.0,7.0,23.232,LAR,,LVR,W 20-15,,,,,,,,0.0,0%,0.0,0%,17.0,61%
7.0,2024.0,2024-10-24,7.0,8.0,23.236,LAR,,MIN,W 30-20,*,0.0,3.0,1.0,4.0,0.0,0.0,0.0,0%,22.0,44%,20.0,80%
8.0,2024.0,2024-11-03,8.0,9.0,23.246,LAR,@,SEA,W 26-20,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0%,5.0,6%,25.0,78%
9.0,2024.0,2024-11-11,9.0,10.0,23.254,LAR,,MIA,L 15-23,*,0.0,6.0,2.0,8.0,1.0,0.0,0.0,0%,39.0,74%,15.0,54%
10.0,2024.0,2024-11-17,10.0,11.0,23.26,LAR,@,NWE,W 28-22,*,0.0,5.0,1.0,6.0,0.0,0.0,0.0,0%,42.0,55%,14.0,52%
11.0,2024.0,2024-11-24,11.0,12.0,23.267,LAR,,PHI,L 20-37,*,0.0,4.0,3.0,7.0,0.0,0.0,0.0,0%,56.0,77%,21.0,75%
