Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
1.0,2024.0,2024-09-08,1.0,1.0,21.345,LAR,@,DET,L 20-26,,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,5.0,8%,11.0,42%
2.0,2024.0,2024-09-15,2.0,2.0,21.352,LAR,@,ARI,L 10-41,,0,0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,9.0,14%,12.0,48%
3.0,2024.0,2024-09-22,3.0,3.0,21.359,LAR,,SFO,W 27-24,,0,0,0.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,29.0,41%,1.0,4%
4.0,2024.0,2024-09-29,4.0,4.0,22.0,LAR,@,CHI,L 18-24,,0,0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,38.0,63%,0.0,0%
5.0,2024.0,2024-10-06,5.0,5.0,22.007,LAR,,GNB,L 19-24,,0,0,,,,,,,,,,,,,,,,,0.0,0%,0.0,0%,6.0,27%
6.0,2024.0,2024-10-20,6.0,7.0,22.021,LAR,,LVR,W 20-15,,0,0,,,,,,,,,,,,,,,,,0.0,0%,2.0,3%,6.0,21%
7.0,2024.0,2024-10-24,7.0,8.0,22.025,LAR,,MIN,W 30-20,,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,14.0,28%,10.0,40%
8.0,2024.0,2024-11-03,8.0,9.0,22.035,LAR,@,SEA,W 26-20,,1,6,0.0,3.0,0.0,3.0,0.0,0.0,2.0,103.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0%,41.0,51%,11.0,34%
9.0,2024.0,2024-11-11,9.0,10.0,22.043,LAR,,MIA,L 15-23,*,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,39.0,74%,5.0,18%
10.0,2024.0,2024-11-17,10.0,11.0,22.049,LAR,@,NWE,W 28-22,*,0,0,0.0,6.0,2.0,8.0,1.0,0.0,1.0,9.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0%,41.0,54%,6.0,22%
11.0,2024.0,2024-11-24,11.0,12.0,22.056,LAR,,PHI,L 20-37,*,0,0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,37.0,51%,6.0,21%
