Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Num,Pct,Num,Pct,Num,Pct
1.0,2024.0,2024-09-08,1.0,1.0,24.065,LAR,@,DET,L 20-26,,,,,,,,,,,,0.0,0%,2.0,3%,8.0,31%
2.0,2024.0,2024-09-15,2.0,2.0,24.072,LAR,@,ARI,L 10-41,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,18.0,27%,4.0,16%
3.0,2024.0,2024-09-22,3.0,3.0,24.079,LAR,,SFO,W 27-24,,,,,,,,,,,,0.0,0%,2.0,3%,12.0,44%
4.0,2024.0,2024-09-29,4.0,4.0,24.086,LAR,@,CHI,L 18-24,,,,,,,,,,,,0.0,0%,0.0,0%,16.0,62%
5.0,2024.0,2024-10-06,5.0,5.0,24.093,LAR,,GNB,L 19-24,*,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,31.0,53%,9.0,41%
6.0,2024.0,2024-10-20,6.0,7.0,24.107,LAR,,LVR,W 20-15,*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0%,39.0,49%,10.0,36%
7.0,2024.0,2024-10-24,7.0,8.0,24.111,LAR,,MIN,W 30-20,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,20.0,40%,13.0,52%
8.0,2024.0,2024-11-03,8.0,9.0,24.121,LAR,@,SEA,W 26-20,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0%,3.0,4%,10.0,31%
9.0,2024.0,2024-11-11,9.0,10.0,24.129,LAR,,MIA,L 15-23,,,,,,,,,,,,0.0,0%,0.0,0%,18.0,64%
10.0,2024.0,2024-11-17,10.0,11.0,24.135,LAR,@,NWE,W 28-22,,,,,,,,,,,,0.0,0%,0.0,0%,18.0,67%
11.0,2024.0,2024-11-24,11.0,12.0,24.142,LAR,,PHI,L 20-37,,,,,,,,,,,,0.0,0%,1.0,1%,19.0,68%
