Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Num,Pct,Num,Pct,Num,Pct
1.0,2024.0,2024-09-08,1.0,1.0,22.185,LAR,@,DET,L 20-26,,2.0,2.0,100.0,2.0,2.0,100.0,0,8,0.0,0%,0.0,0%,4.0,15%
2.0,2024.0,2024-09-15,2.0,2.0,22.192,LAR,@,ARI,L 10-41,,1.0,1.0,100.0,1.0,1.0,100.0,0,4,0.0,0%,0.0,0%,2.0,8%
3.0,2024.0,2024-09-22,3.0,3.0,22.199,LAR,,SFO,W 27-24,,3.0,3.0,100.0,2.0,2.0,100.0,0,9,0.0,0%,0.0,0%,5.0,19%
4.0,2024.0,2024-09-29,4.0,4.0,22.206,LAR,@,CHI,L 18-24,,,,,4.0,5.0,80.0,0,12,0.0,0%,0.0,0%,5.0,19%
5.0,2024.0,2024-10-06,5.0,5.0,22.213,LAR,,GNB,L 19-24,,1.0,2.0,50.0,,,,0,1,0.0,0%,0.0,0%,2.0,9%
6.0,2024.0,2024-10-20,6.0,7.0,22.227,LAR,,LVR,W 20-15,,2.0,3.0,66.7,,1.0,0.0,0,2,0.0,0%,0.0,0%,4.0,14%
7.0,2024.0,2024-10-24,7.0,8.0,22.231,LAR,,MIN,W 30-20,,4.0,4.0,100.0,,,,0,4,0.0,0%,0.0,0%,4.0,16%
8.0,2024.0,2024-11-03,8.0,9.0,22.241,LAR,@,SEA,W 26-20,,2.0,2.0,100.0,2.0,2.0,100.0,0,8,0.0,0%,0.0,0%,10.0,31%
9.0,2024.0,2024-11-11,9.0,10.0,22.249,LAR,,MIA,L 15-23,,,,,5.0,6.0,83.3,0,15,0.0,0%,0.0,0%,7.0,25%
10.0,2024.0,2024-11-17,10.0,11.0,22.255,LAR,@,NWE,W 28-22,,4.0,4.0,100.0,,1.0,0.0,0,4,0.0,0%,0.0,0%,5.0,19%
11.0,2024.0,2024-11-24,11.0,12.0,22.262,LAR,,PHI,L 20-37,,2.0,2.0,100.0,,1.0,0.0,0,2,0.0,0%,0.0,0%,3.0,11%
