Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7,Opp,Result,Status
1,2023,2023-09-10,1,1,,LAR,@,SEA,W 30-13,Inactive
2,2023,2023-09-17,2,2,,LAR,,SFO,L 23-30,Did Not Play
3,2023,2023-09-25,3,3,,LAR,@,CIN,L 16-19,Did Not Play
4,2023,2023-10-01,4,4,,LAR,@,IND,W 29-23,Did Not Play
5,2023,2023-10-08,5,5,,LAR,,PHI,L 14-23,Did Not Play
6,2023,2023-10-15,6,6,,LAR,,ARI,W 26-9,Did Not Play
7,2023,2023-10-22,7,7,,LAR,,PIT,L 17-24,Did Not Play
8,2023,2023-10-29,8,8,,LAR,@,DAL,L 20-43,Did Not Play
9,2023,2023-11-05,9,9,,LAR,@,GNB,L 3-20,Did Not Play
10,2023,2023-11-19,10,11,,LAR,,SEA,W 17-16,Did Not Play
11,2023,2023-11-26,11,12,,LAR,@,ARI,W 37-14,Did Not Play
12,2023,2023-12-03,12,13,,LAR,,CLE,W 36-19,Did Not Play
13,2023,2023-12-10,13,14,,LAR,@,BAL,L 31-37,Did Not Play
14,2023,2023-12-17,14,15,,LAR,,WAS,W 28-20,Did Not Play
15,2023,2023-12-21,15,16,,LAR,,NOR,W 30-22,Did Not Play
16,2023,2023-12-31,16,17,,LAR,@,NYG,W 26-25,Did Not Play
17,2023,2024-01-07,17,18,,LAR,@,SFO,W 21-20,Did Not Play
18,2024,2024-09-08,1,1,,LAR,@,DET,L 20-26,Did Not Play
19,2024,2024-09-15,2,2,,LAR,@,ARI,L 10-41,Did Not Play
20,2024,2024-09-22,3,3,,LAR,,SFO,W 27-24,Inactive
21,2024,2024-09-29,4,4,,LAR,@,CHI,L 18-24,Inactive
22,2024,2024-10-06,5,5,,LAR,,GNB,L 19-24,Inactive
23,2024,2024-10-20,6,7,,LAR,,LVR,W 20-15,Inactive
24,2024,2024-10-24,7,8,,LAR,,MIN,W 30-20,Inactive
25,2024,2024-11-03,8,9,,LAR,@,SEA,W 26-20,Inactive
26,2024,2024-11-11,9,10,,LAR,,MIA,L 15-23,Inactive
27,2024,2024-11-17,10,11,,LAR,@,NWE,W 28-22,Inactive
28,2024,2024-11-24,11,12,,LAR,,PHI,L 20-37,Inactive
