Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
1.0,2024.0,2024-09-08,1.0,1.0,23.09,LAR,@,DET,L 20-26,,,,,,,,41.0,53%,0.0,0%,4.0,15%
2.0,2024.0,2024-09-15,2.0,2.0,23.097,LAR,@,ARI,L 10-41,*,0.0,0.0,0.0,0.0,0.0,0.0,52.0,100%,0.0,0%,2.0,8%
3.0,2024.0,2024-09-22,3.0,3.0,23.104,LAR,,SFO,W 27-24,*,,,,,,,58.0,100%,0.0,0%,5.0,19%
4.0,2024.0,2024-09-29,4.0,4.0,23.111,LAR,@,CHI,L 18-24,*,,,,,,,61.0,100%,0.0,0%,5.0,19%
5.0,2024.0,2024-10-06,5.0,5.0,23.118,LAR,,GNB,L 19-24,*,,,,,,,78.0,100%,0.0,0%,2.0,9%
6.0,2024.0,2024-10-20,6.0,7.0,23.132,LAR,,LVR,W 20-15,*,,,,,,,55.0,100%,0.0,0%,4.0,14%
7.0,2024.0,2024-10-24,7.0,8.0,23.136,LAR,,MIN,W 30-20,*,,,,,,,72.0,100%,0.0,0%,4.0,16%
8.0,2024.0,2024-11-03,8.0,9.0,23.146,LAR,@,SEA,W 26-20,*,,,,,,,77.0,100%,0.0,0%,4.0,13%
9.0,2024.0,2024-11-11,9.0,10.0,23.154,LAR,,MIA,L 15-23,,,,,,,,0.0,0%,0.0,0%,6.0,21%
10.0,2024.0,2024-11-17,10.0,11.0,23.16,LAR,@,NWE,W 28-22,*,,,,,,,52.0,100%,0.0,0%,5.0,19%
11.0,2024.0,2024-11-24,11.0,12.0,23.167,LAR,,PHI,L 20-37,*,0.0,0.0,0.0,1.0,0.0,0.0,64.0,100%,0.0,0%,3.0,11%
