Team,Player,Position,Age,Experience,College,Games_Played,Att_total,Att_avg,Att_max,Yds_total,Yds_avg,Yds_max,Y/A_total,Y/A_avg,Y/A_max,TD_total,TD_avg,TD_max,Tgt_total,Tgt_avg,Tgt_max,Rec_total,Rec_avg,Rec_max,Y/R_total,Y/R_avg,Y/R_max,Ctch%_total,Ctch%_avg,Ctch%_max
Lions,Jahmyr Gibbs,RB,22.0,1,Georgia TechAlabama,26,336.0,12.0,26.0,1831.0,65.39285714285714,152.0,143.78,5.135,11.55,20.0,0.7142857142857143,2.0,103.0,3.6785714285714284,10.0,78.0,2.7857142857142856,9.0,192.21,6.864642857142857,54.0,1766.6,63.09285714285714,100.0
Buccaneers,Rachaad White,RB,25.0,2,Nebraska-KearneyMount San Antonio JCArizona St.,44,493.0,10.955555555555556,25.0,1814.0,40.31111111111111,105.0,156.12,3.4693333333333336,7.2,9.0,0.2,2.0,170.0,3.7777777777777777,9.0,152.0,3.3777777777777778,9.0,314.66,6.992444444444445,25.0,3617.1,80.38,100.0
Falcons,Bijan Robinson,RB,22.0,1,Texas,28,381.0,13.607142857142858,22.0,1759.0,62.82142857142857,124.0,124.88,4.46,7.5,10.0,0.35714285714285715,2.0,136.0,4.857142857142857,10.0,103.0,3.6785714285714284,7.0,207.65,7.416071428571429,14.71,2046.4,73.08571428571429,100.0
49ers,Jordan Mason,RB,25.0,2,Georgia Tech,44,223.0,4.955555555555556,28.0,1175.0,26.11111111111111,147.0,148.98,3.3106666666666666,16.0,7.0,0.15555555555555556,1.0,18.0,0.4,3.0,14.0,0.3111111111111111,2.0,92.5,2.0555555555555554,18.5,966.7,21.482222222222223,100.0
Eagles,Kenneth Gainwell,RB,25.0,3,Memphis,59,247.0,4.049180327868853,14.0,1092.0,17.901639344262296,78.0,229.12,3.756065573770492,13.0,11.0,0.18032786885245902,1.0,127.0,2.081967213114754,8.0,93.0,1.5245901639344261,6.0,277.68,4.552131147540984,12.67,3490.5,57.221311475409834,100.0
Cowboys,Rico Dowdle,RB,26.0,4,South Carolina,45,189.0,2.4545454545454546,20.0,787.0,10.220779220779221,87.0,104.58,1.3581818181818182,6.58,2.0,0.025974025974025976,1.0,56.0,0.7272727272727273,6.0,43.0,0.5584415584415584,5.0,151.48,1.967272727272727,18.0,1688.3,21.925974025974025,100.0
Seahawks,Zach Charbonnet,RB,23.0,1,MichiganUCLA,27,179.0,6.392857142857143,19.0,700.0,25.0,91.0,105.37,3.763214285714286,10.6,5.0,0.17857142857142858,2.0,73.0,2.607142857142857,6.0,60.0,2.142857142857143,6.0,174.55,6.233928571428572,39.0,2006.7,71.66785714285714,100.0
Vikings,Ty Chandler,RB,26.0,2,TennesseeNorth Carolina,31,156.0,3.466666666666667,23.0,650.0,14.444444444444445,132.0,82.67,1.8371111111111111,15.0,3.0,0.06666666666666667,1.0,31.0,0.6888888888888889,4.0,27.0,0.6,4.0,100.24,2.2275555555555555,18.0,1141.7,25.371111111111112,100.0
Giants,Tyrone Tracy,RB,25.0,Rook,IowaPurdue,11,116.0,10.545454545454545,20.0,587.0,53.36363636363637,145.0,43.81,3.982727272727273,7.25,3.0,0.2727272727272727,1.0,27.0,2.4545454545454546,6.0,22.0,2.0,6.0,59.5,5.409090909090909,19.0,800.0,72.72727272727273,100.0
Buccaneers,Bucky Irving,RB,22.0,Rook,MinnesotaOregon,11,108.0,9.818181818181818,14.0,580.0,52.72727272727273,88.0,57.22,5.201818181818182,7.78,5.0,0.45454545454545453,1.0,34.0,3.090909090909091,7.0,32.0,2.909090909090909,7.0,78.05,7.095454545454545,18.0,916.7,83.33636363636364,100.0
Lions,Craig Reynolds,RB,28.0,5,Kutztown (PA),47,132.0,1.9701492537313432,26.0,566.0,8.447761194029852,112.0,99.8,1.48955223880597,15.0,1.0,0.014925373134328358,1.0,24.0,0.3582089552238806,4.0,22.0,0.3283582089552239,3.0,124.0,1.8507462686567164,22.67,1375.0,20.52238805970149,100.0
Commanders,Jeremy McNichols,RB,29.0,7,Boise St.,48,131.0,1.5595238095238095,11.0,559.0,6.654761904761905,68.0,135.7,1.6154761904761903,12.25,5.0,0.05952380952380952,2.0,58.0,0.6904761904761905,12.0,42.0,0.5,8.0,129.42,1.5407142857142855,13.0,1866.7,22.222619047619048,100.0
Cardinals,Emari Demercado,RB,25.0,1,Saddleback CollegeTCU,25,79.0,2.8214285714285716,20.0,495.0,17.678571428571427,78.0,135.19,4.828214285714286,23.0,3.0,0.10714285714285714,1.0,44.0,1.5714285714285714,8.0,32.0,1.1428571428571428,7.0,85.76,3.062857142857143,13.0,1113.8,39.778571428571425,100.0
Cardinals,DeeJay Dallas,RB,26.0,4,Miami (FL),72,116.0,1.4871794871794872,18.0,480.0,6.153846153846154,43.0,156.42,2.005384615384615,14.5,4.0,0.05128205128205128,1.0,71.0,0.9102564102564102,6.0,61.0,0.782051282051282,6.0,165.48,2.1215384615384614,18.33,2500.1,32.0525641025641,100.0
Bears,Travis Homer,RB,26.0,5,Miami (FL),70,86.0,0.9347826086956522,10.0,469.0,5.0978260869565215,80.0,203.3,2.2097826086956522,29.0,1.0,0.010869565217391304,1.0,62.0,0.6739130434782609,8.0,52.0,0.5652173913043478,6.0,212.49,2.3096739130434782,27.0,1796.7,19.52934782608696,100.0
Bears,Roschon Johnson,RB,23.0,1,Texas,23,117.0,4.5,10.0,456.0,17.53846153846154,38.0,83.48,3.210769230769231,8.0,6.0,0.23076923076923078,2.0,53.0,2.0384615384615383,7.0,43.0,1.6538461538461537,6.0,95.66,3.6792307692307693,12.67,1257.5,48.36538461538461,100.0
Packers,Emanuel Wilson,RB,25.0,1,Johnson C. SmithFort Valley St.,18,80.0,2.857142857142857,12.0,397.0,14.178571428571429,54.0,84.99,3.035357142857143,11.5,1.0,0.03571428571428571,1.0,17.0,0.6071428571428571,3.0,13.0,0.4642857142857143,2.0,47.5,1.6964285714285714,19.0,766.7,27.38214285714286,100.0
Commanders,Chris Rodriguez,RB,24.0,1,Kentucky,17,64.0,2.2857142857142856,11.0,303.0,10.821428571428571,58.0,45.1,1.6107142857142858,7.17,2.0,0.07142857142857142,2.0,2.0,0.07142857142857142,1.0,2.0,0.07142857142857142,1.0,12.0,0.42857142857142855,7.0,200.0,7.142857142857143,100.0
Cardinals,Trey Benson,RB,21.0,Rook,OregonFlorida St.,10,53.0,4.818181818181818,11.0,234.0,21.272727272727273,62.0,45.33,4.120909090909091,10.0,1.0,0.09090909090909091,1.0,5.0,0.45454545454545453,2.0,5.0,0.45454545454545453,2.0,42.5,3.8636363636363638,18.0,400.0,36.36363636363637,100.0
49ers,Isaac Guerendo,RB,24.0,Rook,WisconsinLouisville,11,38.0,3.4545454545454546,14.0,227.0,20.636363636363637,99.0,26.17,2.3790909090909094,9.9,1.0,0.09090909090909091,1.0,5.0,0.45454545454545453,4.0,4.0,0.36363636363636365,3.0,10.67,0.97,5.67,175.0,15.909090909090908,100.0
Buccaneers,Sean Tucker,RB,23.0,1,Syracuse,22,45.0,1.6071428571428572,14.0,212.0,7.571428571428571,136.0,32.81,1.1717857142857144,9.71,2.0,0.07142857142857142,1.0,11.0,0.39285714285714285,3.0,10.0,0.35714285714285715,3.0,71.17,2.5417857142857145,18.67,650.0,23.214285714285715,100.0
Rams,Ronnie Rivers,RB,25.0,2,Fresno St.,28,51.0,1.1590909090909092,13.0,201.0,4.568181818181818,52.0,36.01,0.8184090909090909,8.0,0.0,0.0,0.0,11.0,0.25,4.0,11.0,0.25,4.0,34.75,0.7897727272727273,14.0,700.0,15.909090909090908,100.0
Packers,Chris Brooks,RB,24.0,1,CaliforniaBYU,18,36.0,1.2857142857142858,9.0,170.0,6.071428571428571,66.0,34.5,1.2321428571428572,7.33,0.0,0.0,0.0,8.0,0.2857142857142857,4.0,7.0,0.25,3.0,31.83,1.1367857142857143,15.0,375.0,13.392857142857142,100.0
Panthers,Raheem Blackshear,RB,25.0,2,RutgersVirginia Tech,36,37.0,0.8222222222222222,6.0,123.0,2.7333333333333334,32.0,40.7,0.9044444444444445,8.0,3.0,0.06666666666666667,1.0,19.0,0.4222222222222222,4.0,16.0,0.35555555555555557,4.0,88.0,1.9555555555555555,17.0,966.7,21.482222222222223,100.0
Falcons,Avery Williams,RB,26.0,3,Boise St.,43,22.0,0.3548387096774194,4.0,109.0,1.7580645161290323,25.0,56.75,0.9153225806451613,21.0,1.0,0.016129032258064516,1.0,14.0,0.22580645161290322,2.0,13.0,0.20967741935483872,2.0,40.5,0.6532258064516129,8.0,900.0,14.516129032258064,100.0
Rams,Blake Corum,RB,24.0,Rook,Michigan,11,29.0,2.6363636363636362,8.0,106.0,9.636363636363637,28.0,26.62,2.42,5.0,0.0,0.0,0.0,4.0,0.36363636363636365,1.0,4.0,0.36363636363636365,1.0,31.0,2.8181818181818183,9.0,400.0,36.36363636363637,100.0
Giants,Eric Gray,RB,25.0,1,TennesseeOklahoma,24,30.0,1.0714285714285714,12.0,73.0,2.607142857142857,25.0,22.740000000000002,0.8121428571428572,6.33,0.0,0.0,0.0,16.0,0.5714285714285714,4.0,14.0,0.5,3.0,57.17,2.0417857142857145,16.67,850.0,30.357142857142858,100.0
Cowboys,Deuce Vaughn,RB,23.0,1,Kansas St.,13,34.0,1.2592592592592593,8.0,73.0,2.7037037037037037,16.0,21.62,0.8007407407407408,5.33,0.0,0.0,0.0,12.0,0.4444444444444444,3.0,10.0,0.37037037037037035,3.0,47.33,1.7529629629629628,11.0,700.0,25.925925925925927,100.0
Eagles,Will Shipley,RB,22.0,Rook,Clemson,10,19.0,1.9,9.0,46.0,4.6,34.0,4.16,0.41600000000000004,3.78,0.0,0.0,0.0,,,,,,,,,,,,
Saints,Jordan Mims,RB,25.0,1,Fresno St.,11,14.0,0.5185185185185185,5.0,42.0,1.5555555555555556,13.0,16.85,0.6240740740740741,5.0,0.0,0.0,0.0,9.0,0.3333333333333333,4.0,4.0,0.14814814814814814,2.0,35.5,1.3148148148148149,25.0,200.0,7.407407407407407,100.0
Cowboys,Hunter Luepke,RB,24.0,1,North Dakota St.,26,12.0,0.4444444444444444,2.0,38.0,1.4074074074074074,9.0,27.5,1.0185185185185186,9.0,1.0,0.037037037037037035,1.0,15.0,0.5555555555555556,3.0,12.0,0.4444444444444444,2.0,74.5,2.759259259259259,20.5,766.7,28.3962962962963,100.0
Falcons,Jase McClellan,RB,22.0,Rook,Alabama,2,13.0,1.1818181818181819,8.0,32.0,2.909090909090909,17.0,5.279999999999999,0.4799999999999999,3.4,0.0,0.0,0.0,,,,,,,,,,,,
Seahawks,Kenny McIntosh,RB,24.0,1,Georgia,14,4.0,0.14285714285714285,3.0,16.0,0.5714285714285714,11.0,8.67,0.30964285714285716,5.0,0.0,0.0,0.0,,,,,,,,,,,,
Lions,Sione Vaki,RB,23.0,Rook,Utah,10,6.0,0.5454545454545454,5.0,14.0,1.2727272727272727,9.0,6.8,0.6181818181818182,5.0,0.0,0.0,0.0,1.0,0.09090909090909091,1.0,1.0,0.09090909090909091,1.0,17.0,1.5454545454545454,17.0,100.0,9.090909090909092,100.0
Panthers,Jonathon Brooks,RB,21.0,Rook,Texas,1,2.0,0.18181818181818182,2.0,7.0,0.6363636363636364,7.0,3.5,0.3181818181818182,3.5,0.0,0.0,0.0,,,,,,,,,,,,
Rams,Cody Schrader,RB,25.0,Rook,Truman St.Missouri,0,,,,,,,,,,,,,,,,,,,,,,,,
