Team,Player,Position,Age,Experience,College,Games_Played,GS_total,GS_avg,GS_max,Tgt_total,Tgt_avg,Tgt_max,Rec_total,Rec_avg,Rec_max,Yds_total,Yds_avg,Yds_max,Y/R_total,Y/R_avg,Y/R_max,TD_total,TD_avg,TD_max,Ctch%_total,Ctch%_avg,Ctch%_max,Y/Tgt_total,Y/Tgt_avg,Y/Tgt_max,Att_total,Att_avg,Att_max,Y/A_total,Y/A_avg,Y/A_max
49ers,Deebo Samuel,WR,28.0,5,South Carolina,77,0.0,0.0,0.0,485.0,5.159574468085107,13.0,317.0,3.372340425531915,11.0,4633.0,49.287234042553195,189.0,1050.58,11.176382978723403,34.0,20.0,0.2127659574468085,2.0,4860.7,51.7095744680851,100.0,715.41,7.610744680851064,29.0,187.0,1.9893617021276595,8.0,350.04,3.7238297872340427,20.0
Cardinals,Zay Jones,WR,29.0,7,East Carolina,109,0.0,0.0,0.0,498.0,3.9523809523809526,14.0,288.0,2.2857142857142856,11.0,3031.0,24.055555555555557,145.0,993.82,7.8874603174603175,43.0,18.0,0.14285714285714285,3.0,5741.2,45.56507936507936,100.0,633.31,5.0262698412698406,43.0,8.0,0.06349206349206349,1.0,24.0,0.19047619047619047,14.0
Eagles,DeVonta Smith,WR,26.0,3,Alabama,59,0.0,0.0,0.0,408.0,6.688524590163935,13.0,281.0,4.60655737704918,10.0,3694.0,60.557377049180324,169.0,749.05,12.279508196721311,32.75,23.0,0.3770491803278688,2.0,4031.4,66.08852459016394,100.0,529.08,8.67344262295082,26.2,,,,,,
Falcons,Darnell Mooney,WR,27.0,4,Tulane,71,0.0,0.0,0.0,441.0,5.653846153846154,16.0,261.0,3.3461538461538463,12.0,3304.0,42.35897435897436,126.0,888.61,11.392435897435897,41.0,16.0,0.20512820512820512,2.0,4129.7,52.944871794871794,100.0,526.75,6.753205128205129,24.0,13.0,0.16666666666666666,2.0,58.0,0.7435897435897436,16.0
Giants,Darius Slayton,WR,27.0,5,Auburn,86,0.0,0.0,0.0,440.0,4.680851063829787,15.0,252.0,2.6808510638297873,10.0,3793.0,40.351063829787236,154.0,1116.59,11.878617021276595,31.67,20.0,0.2127659574468085,2.0,4756.7,50.6031914893617,100.0,690.66,7.347446808510638,30.0,4.0,0.0425531914893617,1.0,-3.0,-0.031914893617021274,11.0
Rams,Demarcus Robinson,WR,30.0,8,Florida,141,0.0,0.0,0.0,391.0,2.7535211267605635,10.0,245.0,1.7253521126760563,9.0,2892.0,20.366197183098592,172.0,1168.66,8.23,89.0,26.0,0.18309859154929578,2.0,6646.0,46.80281690140845,100.0,780.81,5.498661971830986,44.5,1.0,0.007042253521126761,1.0,23.0,0.1619718309859155,23.0
49ers,Chris Conley,WR,32.0,9,Georgia,126,0.0,0.0,0.0,378.0,2.4076433121019107,9.0,221.0,1.4076433121019107,7.0,2926.0,18.636942675159236,103.0,1164.36,7.4163057324840755,35.0,15.0,0.09554140127388536,2.0,5729.1,36.49108280254777,100.0,767.06,4.885732484076433,29.0,1.0,0.006369426751592357,1.0,3.0,0.01910828025477707,3.0
Falcons,Drake London,WR,23.0,2,USC,44,0.0,0.0,0.0,317.0,7.044444444444444,13.0,202.0,4.488888888888889,12.0,2481.0,55.13333333333333,172.0,507.59,11.279777777777777,20.33,12.0,0.26666666666666666,1.0,2768.1,61.51333333333333,100.0,330.05,7.334444444444444,15.64,1.0,0.022222222222222223,1.0,22.0,0.4888888888888889,22.0
Saints,Marquez Valdes-Scantling,WR,30.0,6,North Carolina St.South Florida,101,0.0,0.0,0.0,387.0,3.55045871559633,11.0,194.0,1.7798165137614679,7.0,3382.0,31.027522935779817,149.0,1330.73,12.208532110091744,66.5,19.0,0.1743119266055046,2.0,4648.0,42.642201834862384,100.0,790.27,7.250183486238532,44.33,9.0,0.08256880733944955,2.0,33.5,0.3073394495412844,14.5
Cardinals,Zach Pascal,WR,30.0,6,Old Dominion,106,0.0,0.0,0.0,292.0,2.6545454545454548,10.0,169.0,1.5363636363636364,7.0,2057.0,18.7,109.0,771.58,7.014363636363637,28.5,16.0,0.14545454545454545,2.0,4446.0,40.41818181818182,100.0,503.54,4.577636363636364,28.5,7.0,0.06363636363636363,1.0,47.0,0.42727272727272725,12.0
