Team,Player,Position,Age,Experience,College,Games_Played,GS_total,GS_avg,GS_max,Tgt_total,Tgt_avg,Tgt_max,Rec_total,Rec_avg,Rec_max,Yds_total,Yds_avg,Yds_max,Y/R_total,Y/R_avg,Y/R_max,TD_total,TD_avg,TD_max,Ctch%_total,Ctch%_avg,Ctch%_max,Y/Tgt_total,Y/Tgt_avg,Y/Tgt_max,Sk_total,Sk_avg,Sk_max,Solo_total,Solo_avg,Solo_max,Ast_total,Ast_avg,Ast_max,Comb_total,Comb_avg,Comb_max,TFL_total,TFL_avg,TFL_max,QBHits_total,QBHits_avg,QBHits_max
Packers,Tucker Kraft,TE,24.0,1,South Dakota St.,28,0.0,0.0,0.0,82.0,2.9285714285714284,9.0,61.0,2.1785714285714284,6.0,757.0,27.035714285714285,88.0,242.24,8.651428571428571,26.0,8.0,0.2857142857142857,2.0,1588.5,56.732142857142854,100.0,195.99,6.999642857142858,26.0,0.0,0.0,0.0,2.0,0.07142857142857142,1.0,2.0,0.07142857142857142,1.0,4.0,0.14285714285714285,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Giants,Daniel Bellinger,TE,24.0,2,San Diego St.,40,0.0,0.0,0.0,66.0,1.4666666666666666,5.0,58.0,1.288888888888889,5.0,554.0,12.311111111111112,43.0,247.4,5.497777777777778,17.0,2.0,0.044444444444444446,1.0,2418.4,53.742222222222225,100.0,230.91,5.131333333333333,17.0,0.0,0.0,0.0,2.0,0.044444444444444446,1.0,4.0,0.08888888888888889,1.0,6.0,0.13333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Commanders,John Bates,TE,27.0,3,Boise St.,61,0.0,0.0,0.0,83.0,1.3387096774193548,6.0,58.0,0.9354838709677419,4.0,559.0,9.016129032258064,46.0,303.92,4.901935483870968,29.0,2.0,0.03225806451612903,1.0,2561.8,41.31935483870968,100.0,251.09,4.049838709677419,29.0,0.0,0.0,0.0,5.0,0.08064516129032258,1.0,0.0,0.0,0.0,5.0,0.08064516129032258,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Lions,Brock Wright,TE,26.0,3,Notre Dame,52,0.0,0.0,0.0,69.0,1.1129032258064515,5.0,55.0,0.8870967741935484,4.0,511.0,8.241935483870968,57.0,300.91,4.853387096774194,51.0,9.0,0.14516129032258066,2.0,2815.1,45.40483870967742,100.0,259.46,4.184838709677419,25.5,0.0,0.0,0.0,3.0,0.04838709677419355,1.0,1.0,0.016129032258064516,1.0,4.0,0.06451612903225806,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Falcons,Ross Dwelley,TE,29.0,6,San Diego,95,0.0,0.0,0.0,61.0,0.580952380952381,7.0,45.0,0.42857142857142855,4.0,523.0,4.980952380952381,56.0,343.33,3.2698095238095237,56.0,5.0,0.047619047619047616,2.0,2181.2,20.77333333333333,100.0,304.23,2.8974285714285717,56.0,0.0,0.0,0.0,4.0,0.0380952380952381,1.0,3.0,0.02857142857142857,1.0,7.0,0.06666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0
49ers,Eric Saubert,TE,30.0,7,Drake,95,0.0,0.0,0.0,62.0,0.6138613861386139,7.0,41.0,0.40594059405940597,5.0,366.0,3.623762376237624,41.0,252.87,2.503663366336634,25.0,2.0,0.019801980198019802,1.0,2398.1,23.74356435643564,100.0,196.74,1.947920792079208,20.5,0.0,0.0,0.0,10.0,0.09900990099009901,1.0,5.0,0.04950495049504951,1.0,15.0,0.1485148514851485,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Cardinals,Elijah Higgins,TE,24.0,1,Stanford,22,0.0,0.0,0.0,36.0,1.2857142857142858,4.0,29.0,1.0357142857142858,4.0,284.0,10.142857142857142,44.0,174.0,6.214285714285714,26.0,3.0,0.10714285714285714,1.0,1533.4,54.76428571428572,100.0,142.17,5.0775,18.0,0.0,0.0,0.0,1.0,0.03571428571428571,1.0,2.0,0.07142857142857142,1.0,3.0,0.10714285714285714,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Giants,Chris Manhertz,TE,32.0,8,Canisius,131,0.0,0.0,0.0,42.0,0.3,2.0,27.0,0.19285714285714287,2.0,273.0,1.95,50.0,265.5,1.8964285714285714,50.0,3.0,0.02142857142857143,1.0,2300.0,16.428571428571427,100.0,222.0,1.5857142857142856,25.0,0.0,0.0,0.0,1.0,0.007142857142857143,1.0,0.0,0.0,0.0,1.0,0.007142857142857143,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Eagles,Grant Calcaterra,TE,26.0,2,OklahomaSMU,40,0.0,0.0,0.0,32.0,0.7272727272727273,5.0,26.0,0.5909090909090909,5.0,336.0,7.636363636363637,67.0,182.07999999999998,4.138181818181818,40.0,0.0,0.0,0.0,1200.0,27.272727272727273,100.0,163.07999999999998,3.706363636363636,40.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.06818181818181818,1.0,3.0,0.06818181818181818,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Giants,Theo Johnson,TE,23.0,Rook,Penn St.,11,0.0,0.0,0.0,38.0,3.4545454545454546,6.0,24.0,2.1818181818181817,5.0,277.0,25.181818181818183,51.0,107.52,9.774545454545454,18.0,1.0,0.09090909090909091,1.0,600.0,54.54545454545455,100.0,64.35,5.85,10.0,,,,,,,,,,,,,,,,,,
