Team,Player,Position,Age,Experience,College,Games_Played,Cmp_total,Cmp_avg,Cmp_max,Att_total,Att_avg,Att_max,Cmp%_total,Cmp%_avg,Cmp%_max,Yds_total,Yds_avg,Yds_max,TD_total,TD_avg,TD_max,Int_total,Int_avg,Int_max,Rate_total,Rate_avg,Rate_max,Sk_total,Sk_avg,Sk_max,Y/A_total,Y/A_avg,Y/A_max,AY/A_total,AY/A_avg,AY/A_max
Cowboys,Trey Lance,QB,24.0,3,North Dakota St.,9,60.0,0.9836065573770492,16.0,108.0,1.7704918032786885,29.0,451.06,7.394426229508197,100.0,818.0,13.40983606557377,249.0,5.0,0.08196721311475409,2.0,4.0,0.06557377049180328,1.0,600.8,9.849180327868853,127.1,8.0,0.13114754098360656,2.0,50.53,0.8283606557377049,10.83,61.87,1.014262295081967,25.0
Packers,Malik Willis,QB,25.0,2,AuburnLiberty,16,64.0,1.4222222222222223,14.0,105.0,2.3333333333333335,23.0,616.25,13.694444444444445,85.71,730.0,16.22222222222222,202.0,3.0,0.06666666666666667,1.0,3.0,0.06666666666666667,2.0,863.2,19.182222222222222,152.9,19.0,0.4222222222222222,4.0,70.64,1.5697777777777777,14.8,68.71,1.5268888888888887,15.2
Saints,Spencer Rattler,QB,24.0,Rook,OklahomaSouth Carolina,3,59.0,5.363636363636363,25.0,99.0,9.0,40.0,176.43,16.03909090909091,71.43,571.0,51.90909090909091,243.0,1.0,0.09090909090909091,1.0,2.0,0.18181818181818182,2.0,213.6,19.418181818181818,82.1,14.0,1.2727272727272727,6.0,17.490000000000002,1.59,6.5,15.74,1.430909090909091,6.5
Saints,Jake Haener,QB,25.0,1,WashingtonFresno St.,6,14.0,0.5,9.0,29.0,1.0357142857142858,17.0,156.51,5.589642857142857,75.0,177.0,6.321428571428571,122.0,1.0,0.03571428571428571,1.0,0.0,0.0,0.0,299.0,10.678571428571429,143.7,2.0,0.07142857142857142,2.0,19.11,0.6825,9.5,24.11,0.8610714285714286,14.5
Lions,Hendon Hooker,QB,26.0,1,Virginia TechTennessee,3,6.0,0.21428571428571427,3.0,9.0,0.32142857142857145,4.0,191.67000000000002,6.845357142857144,75.0,62.0,2.2142857142857144,37.0,0.0,0.0,0.0,0.0,0.0,0.0,256.5,9.160714285714286,103.1,1.0,0.03571428571428571,1.0,20.75,0.7410714285714286,9.5,20.75,0.7410714285714286,9.5
Cardinals,Clayton Tune,QB,25.0,1,Houston,11,12.0,0.42857142857142855,11.0,21.0,0.75,20.0,155.0,5.535714285714286,100.0,62.0,2.2142857142857144,58.0,0.0,0.0,0.0,2.0,0.07142857142857142,2.0,104.1,3.7178571428571425,83.3,7.0,0.25,7.0,6.9,0.24642857142857144,4.0,2.4,0.08571428571428572,4.0
Falcons,Michael Penix,QB,24.0,Rook,IndianaWashington,2,3.0,0.2727272727272727,2.0,5.0,0.45454545454545453,4.0,150.0,13.636363636363637,100.0,38.0,3.4545454545454546,24.0,0.0,0.0,0.0,0.0,0.0,0.0,187.4,17.036363636363635,118.7,1.0,0.09090909090909091,1.0,20.0,1.8181818181818181,14.0,20.0,1.8181818181818181,14.0
Buccaneers,Kyle Trask,QB,26.0,2,Florida,4,3.0,0.04838709677419355,3.0,10.0,0.16129032258064516,9.0,33.33,0.5375806451612903,33.33,23.0,0.3709677419354839,23.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,1.3225806451612903,42.4,0.0,0.0,0.0,2.56,0.04129032258064516,2.56,2.56,0.04129032258064516,2.56
Eagles,Tanner McKee,QB,24.0,Rook,Stanford,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rams,Stetson Bennett,QB,27.0,Rook,Jones County JCGeorgia,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
