Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2018,2018-09-06,1,1,25.149,PHI,,ATL,W 18-12,*,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,53,74%,0,0%,0,0%,
2,2018,2018-09-16,2,2,25.159,PHI,@,TAM,L 21-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,19,24%,0,0%,0,0%,
3,2018,2018-09-30,4,4,25.173,PHI,@,TEN,L 23-26,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,42,21.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,5,16%,
4,2018,2018-10-07,5,5,25.180,PHI,,MIN,L 21-23,,0,0,0,,0,0.0%,,0,0,,0,4,86,21.50,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,8,30%,
5,2018,2018-10-11,6,6,25.184,PHI,@,NYG,W 34-13,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,2,34,17.00,0,5,47,9.40,0,0,0,0.0,0,0,0,,,1,0,0,1,0,0,2,3%,0,0%,9,28%,
6,2018,2018-10-21,7,7,25.194,PHI,,CAR,L 17-21,,0,0,0,,0,0.0%,,0,0,,0,3,73,24.33,0,2,14,7.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,3,4%,0,0%,15,68%,
7,2018,2018-10-28,8,8,25.201,PHI,@,JAX,W 24-18,,0,0,0,,0,0.0%,,0,0,,0,1,11,11.00,0,1,0,0.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,10%,0,0%,11,46%,
8,2018,2018-11-18,10,11,25.222,HOU,@,WAS,W 23-21,,0,0,0,,0,0.0%,,0,0,,0,1,18,18.00,0,1,16,16.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,9,33%,
9,2018,2018-11-26,11,12,25.230,HOU,,TEN,W 34-17,,1,1,14,14.00,0,100.0%,14.00,0,0,,0,1,30,30.00,0,3,37,12.33,0,0,0,0.0,0,0,0,,,1,0,0,0,0,0,12,18%,0,0%,10,33%,
10,2018,2018-12-02,12,13,25.236,HOU,,CLE,W 29-13,*,6,6,32,5.33,0,100.0%,5.33,0,0,,0,1,23,23.00,0,1,0,0.00,0,0,0,0.0,0,0,0,,,2,0,0,0,0,0,44,58%,0,0%,6,24%,
11,2018,2018-12-09,13,14,25.243,HOU,,IND,L 21-24,,1,1,0,0.00,0,100.0%,0.00,0,0,,0,0,0,,0,1,12,12.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,8,11%,0,0%,3,10%,
12,2018,2018-12-15,14,15,25.249,HOU,@,NYJ,W 29-22,*,3,2,55,27.50,0,66.7%,18.33,1,7,7.00,0,1,28,28.00,0,3,17,5.67,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,32,60%,0,0%,9,29%,
