Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2016,2016-09-11,1,1,23.025,TEN,,MIN,L 16-25,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,5,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,21,33%,18,62%,
2,2016,2016-09-18,2,2,23.032,TEN,@,DET,W 16-15,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,27,34%,16,70%,
3,2016,2016-09-25,3,3,23.039,TEN,,OAK,L 10-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,32,49%,20,80%,
4,2016,2016-10-02,4,4,23.046,TEN,@,HOU,L 20-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,39,61%,24,83%,
5,2016,2016-10-09,5,5,23.053,TEN,@,MIA,W 30-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,26,59%,23,79%,
6,2016,2016-10-16,6,6,23.060,TEN,,CLE,W 28-26,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,43,64%,27,82%,
7,2016,2016-10-23,7,7,23.067,TEN,,IND,L 26-34,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,27,39%,27,84%,
8,2016,2016-10-27,8,8,23.071,TEN,,JAX,W 36-22,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,4,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0%,64,89%,23,77%,
9,2016,2016-11-06,9,9,23.081,TEN,@,SDG,L 35-43,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,5,5,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0%,49,61%,28,82%,
10,2016,2016-11-13,10,10,23.088,TEN,,GNB,W 47-25,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,1.0,8,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,62,79%,28,80%,
