Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
11,2016,2016-11-20,11,11,23.095,TEN,@,IND,L 17-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,38,63%,23,88%,
12,2016,2016-11-27,12,12,23.102,TEN,@,CHI,W 27-21,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,6,0,6,0,2,0,0,0,1,0,0,0,0,0,0,0,0%,59,74%,21,81%,
13,2016,2016-12-11,13,14,23.116,TEN,,DEN,W 13-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,2,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0%,38,58%,22,88%,
14,2016,2016-12-18,14,15,23.123,TEN,@,KAN,W 19-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,47,81%,21,88%,
15,2016,2016-12-24,15,16,23.129,TEN,@,JAX,L 17-38,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,35,49%,31,91%,
16,2016,2017-01-01,16,17,23.137,TEN,,HOU,W 24-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,2,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,49,66%,21,81%,
17,2017,2017-09-10,1,1,24.024,TEN,,OAK,L 16-26,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,8,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,66,100%,14,47%,
18,2017,2017-09-17,2,2,24.031,TEN,@,JAX,W 37-16,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,3,3,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,67,100%,7,25%,
19,2017,2017-09-24,3,3,24.038,TEN,,SEA,W 33-27,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,2,4,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0%,73,100%,9,25%,
20,2017,2017-10-01,4,4,24.045,TEN,@,HOU,L 14-57,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,4,5,9,0,0,1,7,0,2,0,0,0,0,0,0,0,0%,84,100%,11,33%,
21,2017,2017-10-08,5,5,24.052,TEN,@,MIA,L 10-16,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,4,1,5,1,0,0,0,0,0,0,0,0,1,6,0,0,0%,59,100%,4,13%,
22,2017,2017-10-16,6,6,24.060,TEN,,IND,W 36-22,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,58,100%,5,16%,
23,2017,2017-10-22,7,7,24.066,TEN,@,CLE,W 12-9,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,2,2,4,1,0,3,60,0,3,0,0,0,0,0,0,0,0%,73,100%,3,12%,
24,2017,2017-11-05,8,9,24.080,TEN,,BAL,W 23-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,4,0,4,0,0,2,33,0,3,0,0,0,0,0,0,0,0%,76,100%,6,21%,
25,2017,2017-11-12,9,10,24.087,TEN,,CIN,W 24-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,4,2,6,1,0,0,0,0,2,0,0,0,0,0,0,0,0%,51,100%,3,10%,
26,2017,2017-11-16,10,11,24.091,TEN,@,PIT,L 17-40,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,72,96%,4,13%,
27,2017,2017-11-26,11,12,24.101,TEN,@,IND,W 20-16,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,3,2,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0%,63,100%,1,4%,
28,2017,2017-12-03,12,13,24.108,TEN,,HOU,W 24-13,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,6,3,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,81,100%,0,0%,
29,2017,2017-12-10,13,14,24.115,TEN,@,ARI,L 7-12,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,65,100%,0,0%,
30,2017,2017-12-17,14,15,24.122,TEN,@,SFO,L 23-25,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,70,100%,0,0%,
31,2017,2017-12-24,15,16,24.129,TEN,,LAR,L 23-27,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,4,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,67,100%,0,0%,
32,2017,2017-12-31,16,17,24.136,TEN,,JAX,W 15-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,4,2,6,0,0,2,30,0,2,0,0,0,0,0,0,0,0%,60,100%,1,3%,
33,2018,2018-09-09,1,1,25.023,TEN,@,MIA,L 20-27,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,62,100%,9,32%,
34,2018,2018-09-16,2,2,25.030,TEN,,HOU,W 20-17,*,0,0,0,,0,0.0%,,1,1,100.00,66,1,0,158.3,0,0,66.00,86.00,0,0,0.0,7,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,67,100%,8,30%,
35,2018,2018-09-23,3,3,25.037,TEN,@,JAX,W 9-6,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,57,100%,7,27%,
36,2018,2018-09-30,4,4,25.044,TEN,,PHI,W 26-23,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,9,2,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,78,100%,7,23%,
37,2018,2018-10-07,5,5,25.051,TEN,@,BUF,L 12-13,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,65,100%,3,14%,
38,2018,2018-10-14,6,6,25.058,TEN,,BAL,L 0-21,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,4,1,5,0,1,1,0,0,1,0,0,0,0,0,0,0,0%,76,100%,9,41%,
39,2018,2018-10-21,7,7,25.065,TEN,@,LAC,L 19-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,44,100%,3,13%,
40,2018,2018-11-05,8,9,25.080,TEN,@,DAL,W 28-14,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,3,2,5,1,0,1,0,0,1,0,0,0,0,0,0,0,0%,59,100%,1,5%,
41,2018,2018-11-11,9,10,25.086,TEN,,NWE,W 34-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,3,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,66,100%,6,20%,
42,2018,2018-11-18,10,11,25.093,TEN,@,IND,L 10-38,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,4,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,59,95%,7,27%,
43,2018,2018-11-26,11,12,25.101,TEN,@,HOU,L 17-34,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,65,100%,7,23%,
44,2018,2018-12-02,12,13,25.107,TEN,,NYJ,W 26-22,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,3,3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,68,100%,8,22%,
45,2018,2018-12-06,13,14,25.111,TEN,,JAX,W 30-9,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,1.0,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,71,100%,2,9%,
46,2018,2018-12-16,14,15,25.121,TEN,@,NYG,W 17-0,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,1.0,4,1,5,1,1,1,0,0,2,0,0,0,0,0,0,0,0%,65,100%,6,27%,
47,2018,2018-12-22,15,16,25.127,TEN,,WAS,W 25-16,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,6,3,9,0,0,1,1,0,2,0,0,0,0,0,0,0,0%,62,100%,4,17%,
48,2018,2018-12-30,16,17,25.135,TEN,,IND,L 17-33,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,6,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,79,100%,7,23%,
49,2019,2019-09-08,1,1,26.022,TEN,@,CLE,W 43-13,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,2,0,2,0,0,1,28,0,1,0,0,0,0,0,0,0,0%,67,94%,7,21%,
50,2019,2019-09-15,2,2,26.029,TEN,,IND,L 17-19,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,70,100%,6,23%,
51,2019,2019-09-19,3,3,26.033,TEN,@,JAX,L 7-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,4,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,54,100%,8,30%,
52,2019,2019-09-29,4,4,26.043,TEN,@,ATL,W 24-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,3,4,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,79,100%,5,22%,
53,2019,2019-10-06,5,5,26.050,TEN,,BUF,L 7-14,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,4,1,5,0,0,1,5,0,2,0,0,0,0,0,0,0,0%,64,100%,6,24%,
54,2019,2019-10-13,6,6,26.057,TEN,@,DEN,L 0-16,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,6,0,6,0,0,1,25,0,1,0,0,0,0,0,0,0,0%,60,100%,9,33%,
55,2019,2019-10-20,7,7,26.064,TEN,,LAC,W 23-20,*,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,,,0,0,0.0,5,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,63,100%,3,13%,
56,2019,2019-10-27,8,8,26.071,TEN,,TAM,W 27-23,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,4,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,81,100%,5,17%,
57,2019,2019-11-03,9,9,26.078,TEN,@,CAR,L 20-30,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,2,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,71,100%,4,14%,
58,2019,2019-11-10,10,10,26.085,TEN,,KAN,W 35-32,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,82,100%,4,13%,
59,2019,2019-11-24,11,12,26.099,TEN,,JAX,W 42-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,4,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,85,100%,5,17%,
60,2019,2019-12-01,12,13,26.106,TEN,@,IND,W 31-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,2,0,2,0,0,1,21,0,1,0,0,0,0,0,0,0,0%,70,100%,5,17%,
61,2019,2019-12-08,13,14,26.113,TEN,@,OAK,W 42-21,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,5,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,62,100%,2,7%,
62,2019,2019-12-15,14,15,26.120,TEN,,HOU,L 21-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,63,100%,5,19%,
63,2019,2019-12-22,15,16,26.127,TEN,,NOR,L 28-38,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,70,100%,7,19%,
64,2019,2019-12-29,16,17,26.134,TEN,@,HOU,W 35-14,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,6,1,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0%,58,89%,7,25%,
65,2020,2020-09-14,1,1,27.028,TEN,@,DEN,W 16-14,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,8,1,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0%,59,100%,2,8%,
66,2020,2020-09-20,2,2,27.034,TEN,,JAX,W 33-30,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,76,100%,5,18%,
67,2020,2020-09-27,3,3,27.041,TEN,@,MIN,W 31-30,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,1,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,65,100%,7,19%,
68,2020,2020-10-13,4,5,27.057,TEN,,BUF,W 42-16,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,65,90%,2,8%,
69,2020,2020-10-18,5,6,27.062,TEN,,HOU,W 42-36,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,6,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,71,100%,5,17%,
70,2020,2020-10-25,6,7,27.069,TEN,,PIT,L 24-27,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,79,100%,0,0%,
71,2020,2020-11-01,7,8,27.076,TEN,@,CIN,L 20-31,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,4,3,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0%,73,100%,5,22%,
72,2020,2020-11-08,8,9,27.083,TEN,,CHI,W 24-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,77,100%,5,15%,
73,2020,2020-11-12,9,10,27.087,TEN,,IND,L 17-34,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,6,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,70,100%,0,0%,
74,2020,2020-11-22,10,11,27.097,TEN,@,BAL,W 30-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,5,2,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,65,100%,0,0%,
75,2020,2020-11-29,11,12,27.104,TEN,@,IND,W 45-26,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,74,100%,1,3%,
76,2020,2020-12-06,12,13,27.111,TEN,,CLE,L 35-41,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,63,86%,0,0%,
77,2020,2020-12-13,13,14,27.118,TEN,@,JAX,W 31-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,8,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,71,100%,0,0%,
78,2020,2020-12-20,14,15,27.125,TEN,,DET,W 46-25,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,6,5,11,1,0,1,0,0,2,0,0,0,0,0,0,0,0%,65,100%,2,8%,
79,2020,2020-12-27,15,16,27.132,TEN,@,GNB,L 14-40,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,6,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,66,100%,0,0%,
80,2020,2021-01-03,16,17,27.139,TEN,@,HOU,W 41-38,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,63,100%,0,0%,
81,2021,2021-09-12,1,1,28.026,TEN,,ARI,L 13-38,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,2,0,2,0,0,1,12,0,1,0,0,0,0,0,0,0,0%,61,88%,0,0%,
82,2021,2021-09-19,2,2,28.033,TEN,@,SEA,W 33-30,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,54,100%,0,0%,
83,2021,2021-09-26,3,3,28.040,TEN,,IND,W 25-16,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,4,1,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0%,61,100%,0,0%,
84,2021,2021-10-03,4,4,28.047,TEN,@,NYJ,L 24-27,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,3,3,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,61,100%,2,6%,
85,2021,2021-10-10,5,5,28.054,TEN,@,JAX,W 37-19,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,1,6,0.0,8,3,11,0,0,1,0,0,2,0,0,0,1,30,1,0,0%,71,100%,0,0%,
86,2021,2021-10-18,6,6,28.062,TEN,,BUF,W 34-31,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,1,1,2,0,0,1,16,0,1,0,0,0,0,0,0,0,0%,77,100%,0,0%,
87,2021,2021-10-24,7,7,28.068,TEN,,KAN,W 27-3,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,4,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0%,54,75%,0,0%,
88,2021,2021-10-31,8,8,28.075,TEN,@,IND,W 34-31,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,4,0,4,0,0,1,14,0,3,0,0,0,0,0,0,0,0%,80,100%,0,0%,
89,2021,2021-11-07,9,9,28.082,TEN,@,LAR,W 28-16,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,1,6,0.0,0,3,3,0,0,1,24,1,1,0,0,0,0,0,0,0,0%,78,100%,1,4%,
90,2021,2021-11-14,10,10,28.089,TEN,,NOR,W 23-21,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,2,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,67,100%,1,3%,
91,2021,2021-11-21,11,11,28.096,TEN,,HOU,L 13-22,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,64,100%,0,0%,
92,2021,2021-11-28,12,12,28.103,TEN,@,NWE,L 13-36,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,1.0,9,3,12,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,59,98%,0,0%,
93,2021,2021-12-12,13,14,28.117,TEN,,JAX,W 20-0,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,2,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,48,87%,0,0%,
94,2021,2021-12-19,14,15,28.124,TEN,@,PIT,L 13-19,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,49,100%,0,0%,
95,2021,2021-12-23,15,16,28.128,TEN,,SFO,W 20-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,4,2,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0%,59,100%,0,0%,
96,2021,2022-01-02,16,17,28.138,TEN,,MIA,W 34-3,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,57,92%,0,0%,
97,2021,2022-01-09,17,18,28.145,TEN,@,HOU,W 28-25,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,57,100%,0,0%,
98,2022,2022-09-11,1,1,29.025,TEN,,NYG,L 20-21,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,8,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,59,98%,0,0%,
99,2022,2022-09-19,2,2,29.033,TEN,@,BUF,L 7-41,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,52,76%,0,0%,
100,2022,2022-09-25,3,3,29.039,TEN,,LVR,W 24-22,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,1,3,4,0,0,1,24,0,1,0,0,0,0,0,0,0,0%,70,100%,2,8%,
101,2022,2022-10-02,4,4,29.046,TEN,@,IND,W 24-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,66,100%,4,17%,
102,2022,2022-10-09,5,5,29.053,TEN,@,WAS,W 21-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,6,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,63,100%,3,11%,
103,2022,2022-10-23,6,7,29.067,TEN,,IND,W 19-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,64,100%,0,0%,
104,2022,2022-10-30,7,8,29.074,TEN,@,HOU,W 17-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,54,100%,2,7%,
105,2022,2022-11-06,8,9,29.081,TEN,@,KAN,L 17-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,6,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,100,100%,0,0%,
106,2022,2022-11-13,9,10,29.088,TEN,,DEN,W 17-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,80,100%,0,0%,
107,2022,2022-11-17,10,11,29.092,TEN,@,GNB,W 27-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,61,100%,0,0%,
108,2022,2022-11-27,11,12,29.102,TEN,,CIN,L 16-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,5,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,70,100%,0,0%,
