Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct,Status
16,2014,2014-12-28,16,17,23.046,KAN,,SDG,W 19-7,,0,0,,0,0,0,,0,0,,,1,1,100.0,4,5,80.0,0,13,0.0,0,0,0,,,0,0%,0,0%,12,46%,
17,2015,2015-09-13,1,1,23.305,KAN,@,HOU,W 27-20,,0,0,,0,0,0,,0,0,,,3,3,100.0,2,3,66.7,0,9,0.0,0,0,0,,,0,0%,0,0%,12,35%,
18,2015,2015-09-17,2,2,23.309,KAN,,DEN,L 24-31,,0,0,,0,0,0,,0,0,,,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0%,0,0%,9,29%,
19,2015,2015-09-28,3,3,23.320,KAN,@,GNB,L 28-38,,0,0,,0,0,0,,0,0,,,2,2,100.0,,,,0,2,0.0,0,0,0,,,0,0%,0,0%,7,23%,
20,2015,2015-10-04,4,4,23.326,KAN,@,CIN,L 21-36,,0,0,,0,0,0,,0,0,,,,,,7,7,100.0,0,21,0.0,0,0,0,,,0,0%,0,0%,15,50%,
21,2015,2015-10-11,5,5,23.333,KAN,,CHI,L 17-18,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,3,33.3,0,5,0.0,0,0,0,,,0,0%,0,0%,9,32%,
22,2015,2015-10-18,6,6,23.340,KAN,@,MIN,L 10-16,,0,0,,0,0,0,,0,0,,,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,0,0,0,0%,0,0%,5,21%,
23,2015,2015-10-25,7,7,23.347,KAN,,PIT,W 23-13,,0,0,,0,0,0,,0,0,,,2,2,100.0,3,4,75.0,0,11,0.0,0,0,0,,,0,0%,0,0%,12,50%,
24,2015,2015-11-01,8,8,23.354,KAN,,DET,W 45-10,,0,0,,0,0,0,,0,0,,,6,6,100.0,1,1,100.0,0,9,0.0,0,0,0,,,0,0%,0,0%,15,50%,
25,2015,2015-11-15,9,10,24.003,KAN,@,DEN,W 29-13,,0,0,,0,0,0,,0,0,,,2,2,100.0,5,6,83.3,0,17,0.0,0,0,0,,,0,0%,0,0%,15,50%,
