Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct,Status
115,2022,2022-11-20,11,11,31.008,CHI,@,ATL,L 24-27,,0,0,,0,0,0,,0,0,,,3,3,100.0,1,2,50.0,0,6,0.0,0,0,0,0,0,0,0%,0,0%,9,33%,
116,2022,2022-11-27,12,12,31.015,CHI,@,NYJ,L 10-31,,0,0,,0,0,0,,0,0,,,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,0,0,0,0%,0,0%,2,8%,
117,2022,2022-12-04,13,13,31.022,CHI,,GNB,L 19-28,,0,0,,0,0,0,,0,0,,,1,2,50.0,2,3,66.7,0,7,0.0,0,0,0,0,0,0,0%,0,0%,5,21%,
118,2022,2022-12-18,14,15,31.036,CHI,,PHI,L 20-25,,0,0,,0,0,0,,0,0,,,2,3,66.7,,,,0,2,0.0,0,0,0,0,0,0,0%,0,0%,4,16%,
119,2022,2022-12-24,15,16,31.042,CHI,,BUF,L 13-35,,0,0,,0,0,0,,0,0,,,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,0,0,0,0%,0,0%,3,12%,
120,2022,2023-01-01,16,17,31.050,CHI,@,DET,L 10-41,,0,0,,0,0,0,,0,0,,,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,0,0,0,0%,0,0%,2,7%,
121,2022,2023-01-08,17,18,31.057,CHI,,MIN,L 13-29,,0,0,,0,0,0,,0,0,,,1,1,100.0,,,,0,1,0.0,0,0,0,0,0,0,0%,0,0%,2,9%,
122,2023,2023-09-10,1,1,31.302,CHI,,GNB,L 20-38,,0,0,,0,0,0,,0,0,,,,,,2,2,100.0,0,6,0.0,0,0,0,0,0,0,0%,0,0%,7,25%,
123,2023,2023-09-17,2,2,31.309,CHI,@,TAM,L 17-27,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,0,0,0,0%,0,0%,7,26%,
124,2023,2023-09-24,3,3,31.316,CHI,@,KAN,L 10-41,,0,0,,0,0,0,,0,0,,,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,0,0,0,0%,0,0%,5,20%,
125,2023,2023-10-01,4,4,31.323,CHI,,DEN,L 28-31,,0,0,,0,0,0,,0,0,,,4,4,100.0,,,,0,4,0.0,0,0,0,0,0,0,0%,0,0%,9,35%,
126,2023,2023-10-05,5,5,31.327,CHI,@,WAS,W 40-20,,0,0,,0,0,0,,0,0,,,4,4,100.0,4,4,100.0,0,16,0.0,0,0,0,0,0,0,0%,0,0%,17,57%,
127,2023,2023-10-15,6,6,31.337,CHI,,MIN,L 13-19,,0,0,,0,0,0,,0,0,,,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,0,0,0,0%,0,0%,7,27%,
128,2023,2023-10-22,7,7,31.344,CHI,,LVR,W 30-12,,0,0,,0,0,0,,0,0,,,3,4,75.0,1,1,100.0,0,6,0.0,0,0,0,0,0,0,0%,0,0%,11,48%,
129,2023,2023-10-29,8,8,31.351,CHI,@,LAC,L 13-30,,0,0,,0,0,0,,0,0,,,1,1,100.0,,,,0,1,0.0,0,0,0,0,0,0,0%,0,0%,4,18%,
130,2023,2023-11-05,9,9,31.358,CHI,@,NOR,L 17-24,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,2,50.0,0,5,0.0,0,0,0,0,0,0,0%,0,0%,8,33%,
131,2023,2023-11-09,10,10,31.362,CHI,,CAR,W 16-13,,0,0,,0,0,0,,0,0,,,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,0,0,0,0%,0,0%,8,29%,
132,2023,2023-11-19,11,11,32.007,CHI,@,DET,L 26-31,,0,0,,0,0,0,,0,0,,,2,2,100.0,4,4,100.0,0,14,0.0,0,0,0,0,0,0,0%,0,0%,13,50%,
133,2023,2023-11-27,12,12,32.015,CHI,@,MIN,W 12-10,,0,0,,0,0,0,,0,0,,,,,,4,5,80.0,0,12,0.0,0,0,0,0,0,0,0%,0,0%,10,50%,
134,2023,2023-12-10,13,14,32.028,CHI,,DET,W 28-13,,0,0,,0,0,0,,0,0,,,1,2,50.0,3,3,100.0,0,10,0.0,0,0,0,0,0,0,0%,0,0%,12,50%,
135,2023,2023-12-17,14,15,32.035,CHI,@,CLE,L 17-20,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,0,0,0,0%,0,0%,7,20%,
136,2023,2023-12-24,15,16,32.042,CHI,,ARI,W 27-16,,0,0,,0,0,0,,0,0,,,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,0,0,0,0%,0,0%,11,38%,
137,2023,2023-12-31,16,17,32.049,CHI,,ATL,W 37-17,,0,0,,0,0,0,,0,0,,,4,4,100.0,3,4,75.0,0,13,0.0,0,0,0,0,0,0,0%,0,0%,8,25%,
138,2023,2024-01-07,17,18,32.056,CHI,@,GNB,L 9-17,,0,0,,0,0,0,,0,0,,,,,,3,3,100.0,0,9,0.0,0,0,0,0,0,0,0%,0,0%,3,17%,
139,2024,2024-09-08,1,1,32.301,CHI,,TEN,W 24-17,,0,0,,0,0,0,,0,0,,,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,0,0,0,0%,0,0%,10,34%,
140,2024,2024-09-15,2,2,32.308,CHI,@,HOU,L 13-19,,0,0,,0,0,0,,0,0,,,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,0,0,0,0%,0,0%,7,23%,
141,2024,2024-09-22,3,3,32.315,CHI,@,IND,L 16-21,,0,0,,0,0,0,,0,0,,,1,1,100.0,1,2,50.0,0,4,0.0,0,0,0,0,0,0,0%,0,0%,7,30%,
142,2024,2024-09-29,4,4,32.322,CHI,,LAR,W 24-18,,0,0,,0,0,0,,0,0,,,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,0,0,0,0%,0,0%,9,35%,
143,2024,2024-10-06,5,5,32.329,CHI,,CAR,W 36-10,,0,0,,0,0,0,,0,0,,,3,4,75.0,1,1,100.0,0,6,0.0,0,0,0,0,0,0,0%,0,0%,12,46%,
144,2024,2024-10-13,6,6,32.336,CHI,,JAX,W 35-16,,0,0,,0,0,0,,0,0,,,5,5,100.0,,1,0.0,0,5,0.0,0,0,0,0,0,0,0%,0,0%,12,50%,
145,2024,2024-10-27,7,8,32.350,CHI,@,WAS,L 15-18,,0,0,,0,0,0,,0,0,,,1,1,100.0,,,,0,1,0.0,0,0,0,0,0,0,0%,0,0%,4,15%,
146,2024,2024-11-03,8,9,32.357,CHI,@,ARI,L 9-29,,0,0,,0,0,0,,0,0,,,,,,3,3,100.0,0,9,0.0,0,0,0,0,0,0,0%,0,0%,7,25%,
147,2024,2024-11-10,9,10,32.364,CHI,,NWE,L 3-19,,0,0,,0,0,0,,0,0,,,,,,1,1,100.0,0,3,0.0,0,0,0,0,0,0,0%,0,0%,3,11%,
