Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
11,2019,2019-12-21,15,16,23.328,LAR,@,SFO,L 31-34,,0,0,0,,0,0.0%,,1,27,27.00,0,2,1,0.50,0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0%,0,0%,8,22%,
12,2019,2019-12-29,16,17,23.336,LAR,,ARI,W 31-24,,0,0,0,,0,0.0%,,1,30,30.00,0,2,18,9.00,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,8,28%,
13,2020,2020-09-13,1,1,24.230,LAR,,DAL,W 20-17,,0,0,0,,0,0.0%,,1,20,20.00,0,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,12,46%,
14,2020,2020-09-20,2,2,24.237,LAR,@,PHI,W 37-19,,0,0,0,,0,0.0%,,1,19,19.00,0,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,13,52%,
15,2020,2020-09-27,3,3,24.244,LAR,@,BUF,L 32-35,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,0,0%,6,25%,
16,2020,2020-10-04,4,4,24.251,LAR,,NYG,W 17-9,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0%,0,0%,9,39%,
17,2020,2020-10-11,5,5,24.258,LAR,@,WAS,W 30-10,,0,0,0,,0,0.0%,,0,0,,0,3,11,3.67,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,3%,0,0%,17,55%,
18,2020,2020-10-18,6,6,24.265,LAR,@,SFO,L 16-24,,0,0,0,,0,0.0%,,3,69,23.00,0,2,24,12.00,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,18,67%,
19,2020,2020-10-26,7,7,24.273,LAR,,CHI,W 24-10,,0,0,0,,0,0.0%,,0,0,,0,2,14,7.00,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,3%,0,0%,12,48%,
20,2020,2020-11-01,8,8,24.279,LAR,@,MIA,L 17-28,,0,0,0,,0,0.0%,,1,25,25.00,0,3,7,2.33,0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0%,0,0%,18,55%,
21,2020,2020-11-15,9,10,24.293,LAR,,SEA,W 23-16,,0,0,0,,0,0.0%,,2,37,18.50,0,1,15,15.00,0,0.0,0,2,2,0,0,0,0,0,0,0,0,2,3%,0,0%,15,63%,
22,2020,2020-11-23,10,11,24.301,LAR,@,TAM,W 27-24,,0,0,0,,0,0.0%,,0,0,,0,2,4,2.00,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,20,67%,
23,2020,2020-11-29,11,12,24.307,LAR,,SFO,L 20-23,,0,0,0,,0,0.0%,,0,0,,0,3,9,3.00,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,24,69%,
24,2020,2020-12-06,12,13,24.314,LAR,@,ARI,W 38-28,,0,0,0,,0,0.0%,,2,45,22.50,0,3,18,6.00,0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,1%,0,0%,17,57%,
25,2020,2020-12-10,13,14,24.318,LAR,,NWE,W 24-3,,0,0,0,,0,0.0%,,0,0,,0,1,8,8.00,0,0.0,2,0,2,0,0,0,0,0,0,0,0,1,2%,0,0%,18,75%,
26,2020,2020-12-20,14,15,24.328,LAR,,NYJ,L 20-23,,0,0,0,,0,0.0%,,2,48,24.00,0,3,65,21.67,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,20,69%,
27,2020,2020-12-27,15,16,24.335,LAR,@,SEA,L 9-20,,0,0,0,,0,0.0%,,3,62,20.67,0,2,10,5.00,0,0.0,1,0,1,0,0,1,0,0,1,0,0,0,0%,0,0%,19,71%,
28,2020,2021-01-03,16,17,24.342,LAR,,ARI,W 18-7,,0,0,0,,0,0.0%,,1,22,22.00,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,19,76%,
29,2021,2021-09-12,1,1,25.228,CHI,@,LAR,L 14-34,,0,0,0,,0,0.0%,,0,0,,0,1,3,3.00,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,6,30%,
30,2021,2021-09-19,2,2,25.235,CHI,,CIN,W 20-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,11,50%,
31,2021,2021-09-26,3,3,25.242,CHI,@,CLE,L 6-26,,0,0,0,,0,0.0%,,0,0,,0,2,4,2.00,0,0.0,2,1,3,0,0,1,0,0,0,0,0,0,0%,0,0%,12,44%,
32,2021,2021-10-03,4,4,25.249,CHI,,DET,W 24-14,,0,0,0,,0,0.0%,,0,0,,0,1,6,6.00,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,12,57%,
33,2021,2021-10-10,5,5,,CHI,@,LVR,W 20-9,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
34,2021,2021-10-17,6,6,,CHI,,GNB,L 14-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
35,2021,2021-10-24,7,7,,CHI,@,TAM,L 3-38,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
36,2021,2021-10-31,8,8,,CHI,,SFO,L 22-33,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
37,2021,2021-11-08,9,9,,CHI,@,PIT,L 27-29,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
38,2021,2021-11-21,10,11,,CHI,,BAL,L 13-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
