Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
25,2007,2007-11-11,9,10,23.176,JAX,@,TEN,W 28-13,*,2,1,8,8.00,0,50.0%,4.00,,0,0,0,,0,0,0,0,,,,,,,
26,2007,2007-11-18,10,11,23.183,JAX,,SDG,W 24-17,*,1,1,1,1.00,1,100.0%,1.00,,1,6,0,,0,0,0,0,,,,,,,
27,2007,2007-11-25,11,12,23.190,JAX,,BUF,W 36-14,*,9,5,57,11.40,0,55.6%,6.33,,0,0,0,,0,0,0,0,,,,,,,
28,2007,2007-12-02,12,13,23.197,JAX,@,IND,L 25-28,*,6,5,42,8.40,1,83.3%,7.00,,1,6,0,,0,0,0,0,,,,,,,
29,2007,2007-12-09,13,14,23.204,JAX,,CAR,W 37-6,*,4,3,25,8.33,0,75.0%,6.25,,0,0,0,,0,0,0,0,,,,,,,
30,2007,2007-12-16,14,15,23.211,JAX,@,PIT,W 29-22,*,3,2,38,19.00,0,66.7%,12.67,,0,0,0,,0,0,0,0,,,,,,,
31,2007,2007-12-23,15,16,23.218,JAX,,OAK,W 49-11,*,3,0,0,,0,0.0%,0.00,,0,0,0,,0,0,0,0,,,,,,,
32,2007,2007-12-30,16,17,23.225,JAX,@,HOU,L 28-42,*,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,
33,2008,2008-09-07,1,1,24.111,JAX,@,TEN,L 10-17,*,4,3,29,9.67,0,75.0%,7.25,,0,0,0,,0,0,0,0,,,,,,,
34,2008,2008-09-14,2,2,24.118,JAX,,BUF,L 16-20,*,2,1,13,13.00,0,50.0%,6.50,,0,0,0,,0,0,0,0,,,,,,,
35,2008,2008-09-21,3,3,24.125,JAX,@,IND,W 23-21,*,4,2,21,10.50,0,50.0%,5.25,,0,0,0,,0,0,0,0,,,,,,,
36,2008,2008-09-28,4,4,24.132,JAX,,HOU,W 30-27,*,4,0,0,,0,0.0%,0.00,,0,0,0,,,0,0,0,,,,,,,
37,2008,2008-10-05,5,5,24.139,JAX,,PIT,L 21-26,*,4,1,24,24.00,1,25.0%,6.00,,1,6,0,,0,0,0,0,,,,,,,
38,2008,2008-10-12,6,6,24.146,JAX,@,DEN,W 24-17,*,5,3,64,21.33,1,60.0%,12.80,,1,6,0,,0,0,0,0,,,,,,,
39,2008,2008-10-26,7,8,24.160,JAX,,CLE,L 17-23,*,6,3,34,11.33,0,50.0%,5.67,,0,0,0,,0,0,0,0,,,,,,,
40,2008,2008-11-02,8,9,24.167,JAX,@,CIN,L 19-21,*,6,4,38,9.50,0,66.7%,6.33,,0,0,0,,0,0,0,0,,,,,,,
41,2008,2008-11-09,9,10,24.174,JAX,@,DET,W 38-14,*,8,4,64,16.00,0,50.0%,8.00,,0,0,0,,0,0,0,0,,,,,,,
42,2008,2008-11-16,10,11,24.181,JAX,,TEN,L 14-24,*,2,1,19,19.00,0,50.0%,9.50,,0,0,0,,0,0,0,0,,,,,,,
43,2008,2008-11-23,11,12,24.188,JAX,,MIN,L 12-30,*,7,4,41,10.25,0,57.1%,5.86,,0,0,0,,0,0,0,0,,,,,,,
44,2008,2008-12-01,12,13,24.196,JAX,@,HOU,L 17-30,*,2,2,37,18.50,0,100.0%,18.50,,0,0,0,,0,0,0,0,,,,,,,
45,2008,2008-12-07,13,14,24.202,JAX,@,CHI,L 10-23,*,9,4,43,10.75,0,44.4%,4.78,,0,0,0,,0,0,0,0,,,,,,,
46,2008,2008-12-14,14,15,24.209,JAX,,GNB,W 20-16,*,3,2,7,3.50,0,66.7%,2.33,,0,0,0,,0,0,0,0,,,,,,,
47,2008,2008-12-18,15,16,24.213,JAX,,IND,L 24-31,*,7,6,55,9.17,0,85.7%,7.86,,0,0,0,,0,0,0,0,,,,,,,
48,2008,2008-12-28,16,17,24.223,JAX,@,BAL,L 7-27,*,1,1,0,0.00,0,100.0%,0.00,,0,0,0,,0,0,0,0,,,,,,,
49,2009,2009-09-13,1,1,25.117,JAX,@,IND,L 12-14,*,6,3,23,7.67,0,50.0%,3.83,,0,0,0,,0,0,0,0,,,,,,,
50,2009,2009-09-20,2,2,25.124,JAX,,ARI,L 17-31,*,5,3,62,20.67,1,60.0%,12.40,,1,6,0,,0,0,0,0,,,,,,,
51,2009,2009-09-27,3,3,25.131,JAX,@,HOU,W 31-24,*,2,1,18,18.00,0,50.0%,9.00,,0,0,0,,0,0,0,0,,,,,,,
52,2009,2009-10-04,4,4,25.138,JAX,,TEN,W 37-17,*,5,4,76,19.00,1,80.0%,15.20,,1,6,0,,0,0,0,0,,,,,,,
53,2009,2009-10-11,5,5,25.145,JAX,@,SEA,L 0-41,*,8,3,13,4.33,0,37.5%,1.63,,0,0,0,,0,0,0,0,,,,,,,
54,2009,2009-10-18,6,6,25.152,JAX,,STL,W 23-20,*,3,1,5,5.00,0,33.3%,1.67,,0,0,0,,0,0,0,0,,,,,,,
55,2009,2009-11-01,7,8,25.166,JAX,@,TEN,L 13-30,*,1,1,20,20.00,0,100.0%,20.00,,0,0,1,0,0,0,0,0,,,,,,,
56,2009,2009-11-08,8,9,25.173,JAX,,KAN,W 24-21,*,2,1,3,3.00,0,50.0%,1.50,,0,0,0,,0,0,0,0,,,,,,,
57,2009,2009-11-15,9,10,25.180,JAX,@,NYJ,W 24-22,*,4,2,58,29.00,0,50.0%,14.50,,0,0,0,,0,0,0,0,,,,,,,
58,2009,2009-11-22,10,11,25.187,JAX,,BUF,W 18-15,*,4,3,70,23.33,0,75.0%,17.50,,0,0,0,,0,0,0,0,,,,,,,
59,2009,2009-11-29,11,12,25.194,JAX,@,SFO,L 3-20,*,5,3,40,13.33,0,60.0%,8.00,,0,0,0,,0,0,0,0,,,,,,,
60,2009,2009-12-06,12,13,25.201,JAX,,HOU,W 23-18,*,1,1,47,47.00,0,100.0%,47.00,,0,0,0,,0,0,0,0,,,,,,,
61,2009,2009-12-13,13,14,25.208,JAX,,MIA,L 10-14,*,5,2,30,15.00,0,40.0%,6.00,,0,0,0,,0,0,0,0,,,,,,,
62,2009,2009-12-17,14,15,25.212,JAX,,IND,L 31-35,*,7,4,53,13.25,0,57.1%,7.57,,0,0,0,,0,0,0,0,,,,,,,
63,2009,2009-12-27,15,16,25.222,JAX,@,NWE,L 7-35,*,1,0,0,,0,0.0%,0.00,,0,0,0,,,0,0,0,,,,,,,
64,2009,2010-01-03,,17,,JAX,@,CLE,L 17-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
65,2010,2010-09-12,1,1,26.116,JAX,,DEN,W 24-17,*,2,2,31,15.50,2,100.0%,15.50,,2,12,0,,0,0,0,0,,,,,,,
66,2010,2010-09-19,2,2,26.123,JAX,@,SDG,L 13-38,*,9,5,70,14.00,0,55.6%,7.78,,0,0,0,,0,0,0,0,,,,,,,
67,2010,2010-09-26,3,3,26.130,JAX,,PHI,L 3-28,*,5,3,15,5.00,0,60.0%,3.00,,0,0,0,,0,0,0,0,,,,,,,
68,2010,2010-10-03,4,4,26.137,JAX,,IND,W 31-28,*,2,2,22,11.00,1,100.0%,11.00,,1,6,0,,0,0,0,0,,,,,,,
69,2010,2010-10-10,5,5,26.144,JAX,@,BUF,W 36-26,*,5,4,54,13.50,2,80.0%,10.80,,2,12,0,,0,0,0,0,,,,,,,
70,2010,2010-10-18,6,6,26.152,JAX,,TEN,L 3-30,*,6,4,39,9.75,0,66.7%,6.50,,0,0,1,1,0,0,0,0,,,,,,,
71,2010,2010-10-24,7,7,26.158,JAX,@,KAN,L 20-42,*,9,3,44,14.67,0,33.3%,4.89,,0,0,0,,0,0,0,0,,,,,,,
72,2010,2010-10-31,8,8,26.165,JAX,@,DAL,W 35-17,*,3,2,51,25.50,2,66.7%,17.00,,2,12,0,,0,0,0,0,,,,,,,
73,2010,2010-11-14,9,10,26.179,JAX,,HOU,W 31-24,*,6,5,53,10.60,0,83.3%,8.83,,0,0,0,,0,0,0,0,,,,,,,
74,2010,2010-11-21,10,11,26.186,JAX,,CLE,W 24-20,*,8,5,66,13.20,1,62.5%,8.25,,1,6,0,,0,0,0,0,,,,,,,
75,2010,2010-11-28,11,12,26.193,JAX,@,NYG,L 20-24,*,5,3,36,12.00,0,60.0%,7.20,,0,0,0,,0,0,0,0,,,,,,,
76,2010,2010-12-05,12,13,26.200,JAX,@,TEN,W 17-6,*,4,3,36,12.00,0,75.0%,9.00,,0,0,0,,0,0,0,0,,,,,,,
77,2010,2010-12-12,13,14,26.207,JAX,,OAK,W 38-31,*,4,4,57,14.25,1,100.0%,14.25,,1,6,0,,0,0,0,0,,,,,,,
78,2010,2010-12-19,14,15,26.214,JAX,@,IND,L 24-34,*,7,6,63,10.50,0,85.7%,9.00,,0,0,0,,0,0,0,0,,,,,,,
79,2010,2010-12-26,15,16,26.221,JAX,,WAS,L 17-20,*,7,3,37,12.33,0,42.9%,5.29,,0,0,0,,0,0,0,0,,,,,,,
80,2010,2011-01-02,16,17,26.228,JAX,@,HOU,L 17-34,*,7,4,26,6.50,1,57.1%,3.71,,1,6,1,1,0,0,0,0,,,,,,,
81,2011,2011-09-11,1,1,27.115,JAX,,TEN,W 16-14,*,3,2,28,14.00,0,66.7%,9.33,,0,0,0,,0,0,0,0,,,,,,,
82,2011,2011-09-18,,2,,JAX,@,NYJ,L 3-32,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
83,2011,2011-09-25,3,3,27.129,JAX,@,CAR,L 10-16,*,2,2,15,7.50,0,100.0%,7.50,,0,0,0,,0,1,0,0,,,,,,,
84,2011,2011-10-02,4,4,27.136,JAX,,NOR,L 10-23,*,7,3,38,12.67,0,42.9%,5.43,,0,0,0,,0,0,0,0,,,,,,,
85,2011,2011-10-09,5,5,27.143,JAX,,CIN,L 20-30,*,4,1,6,6.00,0,25.0%,1.50,,0,0,0,,0,0,0,0,,,,,,,
86,2011,2011-10-16,6,6,27.150,JAX,@,PIT,L 13-17,*,8,2,29,14.50,0,25.0%,3.63,,0,0,0,,0,0,0,0,,,,,,,
87,2011,2011-10-24,7,7,27.158,JAX,,BAL,W 12-7,*,3,1,13,13.00,0,33.3%,4.33,,0,0,0,,0,0,0,0,,,,,,,
88,2011,2011-10-30,8,8,27.164,JAX,@,HOU,L 14-24,*,9,4,45,11.25,0,44.4%,5.00,,0,0,0,,0,1,0,0,,,,,,,
89,2011,2011-11-13,9,10,27.178,JAX,@,IND,W 17-3,*,3,1,-4,-4.00,0,33.3%,-1.33,,0,0,0,,0,0,0,0,,,,,,,
90,2011,2011-11-20,10,11,27.185,JAX,@,CLE,L 10-14,*,11,7,64,9.14,0,63.6%,5.82,,0,0,0,,0,0,0,0,,,,,,,
91,2011,2011-11-27,11,12,27.192,JAX,,HOU,L 13-20,*,12,4,47,11.75,0,33.3%,3.92,,0,0,0,,0,0,0,0,,,,,,,
92,2011,2011-12-05,12,13,27.200,JAX,,SDG,L 14-38,*,4,3,27,9.00,0,75.0%,6.75,,0,0,0,,0,0,0,0,,,,,,,
93,2011,2011-12-11,13,14,27.206,JAX,,TAM,W 41-14,*,7,2,77,38.50,0,28.6%,11.00,,0,0,0,,0,0,0,0,,,,,,,
94,2011,2011-12-15,14,15,27.210,JAX,@,ATL,L 14-41,*,5,3,30,10.00,0,60.0%,6.00,,0,0,0,,0,0,0,0,,,,,,,
95,2011,2011-12-24,15,16,27.219,JAX,@,TEN,L 17-23,*,3,1,12,12.00,0,33.3%,4.00,,0,0,0,,0,0,0,0,,,,,,,
