Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
141,2014,2014-12-07,13,14,30.202,JAX,,HOU,L 13-27,*,4,3,69,23.00,0,75.0%,17.25,,0,0,0,0,0,0,0,0,64,90%,0,0%,0,0%,
142,2014,2014-12-14,14,15,30.209,JAX,@,BAL,L 12-20,*,3,2,22,11.00,0,66.7%,7.33,,0,0,0,0,0,0,0,0,60,88%,0,0%,0,0%,
143,2014,2014-12-18,15,16,30.213,JAX,,TEN,W 21-13,*,3,2,6,3.00,1,66.7%,2.00,,1,6,0,0,0,0,0,0,55,93%,0,0%,0,0%,
144,2014,2014-12-28,16,17,30.223,JAX,@,HOU,L 17-23,*,3,0,0,,0,0.0%,0.00,,0,0,0,0,0,0,0,0,53,93%,0,0%,0,0%,
145,2015,2015-09-13,1,1,31.117,JAX,,CAR,L 9-20,*,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,49,73%,0,0%,0,0%,
146,2015,2015-09-20,2,2,31.124,JAX,,MIA,W 23-20,*,4,0,0,,0,0.0%,0.00,,0,0,0,0,0,0,0,0,61,84%,0,0%,0,0%,
147,2015,2015-09-27,3,3,31.131,JAX,@,NWE,L 17-51,*,2,0,0,,0,0.0%,0.00,,0,0,0,0,0,0,0,0,41,72%,0,0%,0,0%,
148,2015,2015-10-04,4,4,31.138,JAX,@,IND,L 13-16,*,8,5,40,8.00,0,62.5%,5.00,,0,0,0,0,0,0,0,0,78,95%,0,0%,0,0%,
149,2015,2015-10-11,5,5,31.145,JAX,@,TAM,L 31-38,*,4,0,0,,0,0.0%,0.00,,0,0,0,0,0,0,0,0,36,61%,0,0%,0,0%,
150,2015,2015-10-18,6,6,31.152,JAX,,HOU,L 20-31,*,2,1,8,8.00,0,50.0%,4.00,,0,0,0,0,0,0,0,0,47,58%,0,0%,0,0%,
151,2015,2015-10-25,7,7,31.159,JAX,,BUF,W 34-31,*,2,2,13,6.50,0,100.0%,6.50,,0,0,0,0,0,0,0,0,48,72%,0,0%,0,0%,
152,2015,2015-11-08,8,9,31.173,JAX,@,NYJ,L 23-28,*,1,1,27,27.00,0,100.0%,27.00,,0,0,0,0,0,0,0,0,29,44%,0,0%,0,0%,
153,2015,2015-11-15,9,10,31.180,JAX,@,BAL,W 22-20,*,2,1,9,9.00,0,50.0%,4.50,,0,0,0,0,0,0,0,0,39,53%,0,0%,0,0%,
154,2015,2015-11-19,10,11,31.184,JAX,,TEN,W 19-13,*,2,0,0,,0,0.0%,0.00,,0,0,0,0,0,0,0,0,42,70%,0,0%,0,0%,
155,2015,2015-11-29,11,12,31.194,JAX,,SDG,L 25-31,*,2,1,24,24.00,0,50.0%,12.00,,0,0,0,0,0,0,0,0,21,30%,0,0%,0,0%,
156,2015,2015-12-06,12,13,31.201,JAX,@,TEN,L 39-42,*,1,1,7,7.00,0,100.0%,7.00,,0,0,0,0,0,0,0,0,35,58%,0,0%,0,0%,
157,2015,2015-12-13,13,14,31.208,JAX,,IND,W 51-16,*,2,1,14,14.00,0,50.0%,7.00,,0,0,0,0,0,0,0,0,49,75%,0,0%,0,0%,
158,2015,2015-12-20,14,15,31.215,JAX,,ATL,L 17-23,*,3,1,26,26.00,0,33.3%,8.67,,0,0,0,0,0,0,0,0,32,52%,0,0%,0,0%,
159,2015,2015-12-27,15,16,31.222,JAX,@,NOR,L 27-38,*,1,1,13,13.00,0,100.0%,13.00,,0,0,0,0,0,0,0,0,28,49%,0,0%,0,0%,
160,2015,2016-01-03,16,17,31.229,JAX,@,HOU,L 6-30,*,1,1,45,45.00,0,100.0%,45.00,,0,0,0,0,0,0,0,0,33,58%,0,0%,0,0%,
161,2016,2016-09-11,1,1,32.115,JAX,,GNB,L 23-27,*,2,2,48,24.00,0,100.0%,24.00,,0,0,0,0,0,0,0,0,36,50%,0,0%,0,0%,
162,2016,2016-09-18,2,2,32.122,JAX,@,SDG,L 14-38,*,3,2,17,8.50,1,66.7%,5.67,,1,6,0,0,0,0,0,0,22,33%,0,0%,0,0%,
163,2016,2016-09-25,3,3,32.129,JAX,,BAL,L 17-19,*,3,3,20,6.67,0,100.0%,6.67,,0,0,0,0,0,0,0,0,36,55%,0,0%,0,0%,
164,2016,2016-10-02,4,4,32.136,JAX,,IND,W 30-27,*,2,1,12,12.00,0,50.0%,6.00,,0,0,0,0,0,0,0,0,21,29%,0,0%,1,3%,
165,2016,2016-10-16,5,6,32.150,JAX,@,CHI,W 17-16,*,1,0,0,,0,0.0%,0.00,,0,0,0,0,0,0,0,0,25,42%,0,0%,3,11%,
166,2016,2016-10-23,6,7,32.157,JAX,,OAK,L 16-33,*,3,1,11,11.00,0,33.3%,3.67,,0,0,0,0,0,0,0,0,25,37%,0,0%,4,11%,
167,2016,2016-10-27,7,8,32.161,JAX,@,TEN,L 22-36,*,6,4,23,5.75,0,66.7%,3.83,,0,0,0,0,0,0,0,0,36,50%,0,0%,2,7%,
168,2016,2016-11-06,8,9,32.171,JAX,@,KAN,L 14-19,*,4,2,23,11.50,0,50.0%,5.75,,0,0,0,0,0,0,0,0,38,49%,0,0%,3,11%,
169,2016,2016-11-13,9,10,32.178,JAX,,HOU,L 21-24,*,4,3,-1,-0.33,0,75.0%,-0.25,,0,0,0,0,0,0,0,0,34,44%,0,0%,3,12%,
170,2016,2016-11-20,10,11,32.185,JAX,@,DET,L 19-26,*,2,2,16,8.00,0,100.0%,8.00,,0,0,0,0,0,0,0,0,6,9%,0,0%,0,0%,
171,2016,2016-11-27,,12,,JAX,@,BUF,L 21-28,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
172,2016,2016-12-04,,13,,JAX,,DEN,L 10-20,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
173,2016,2016-12-11,,14,,JAX,,MIN,L 16-25,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
174,2016,2016-12-18,,15,,JAX,@,HOU,L 20-21,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
175,2016,2016-12-24,,16,,JAX,,TEN,W 38-17,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
176,2016,2017-01-01,,17,,JAX,@,IND,L 20-24,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
177,2017,2017-09-10,1,1,33.114,JAX,@,HOU,W 29-7,*,2,0,0,,0,0.0%,0.00,,0,0,0,0,0,0,0,0,64,100%,0,0%,7,27%,
178,2017,2017-09-17,2,2,33.121,JAX,,TEN,L 16-37,*,2,0,0,,0,0.0%,0.00,,0,0,0,0,0,0,0,0,54,81%,0,0%,2,7%,
179,2017,2017-09-24,3,3,33.128,JAX,,BAL,W 44-7,*,5,4,62,15.50,3,80.0%,12.40,,3,18,0,0,0,0,0,0,39,53%,0,0%,9,29%,
180,2017,2017-10-01,4,4,33.135,JAX,@,NYJ,L 20-23,*,4,0,0,,0,0.0%,0.00,,0,0,0,0,0,0,0,0,69,88%,0,0%,5,14%,
181,2017,2017-10-08,5,5,33.142,JAX,@,PIT,W 30-9,*,2,1,14,14.00,0,50.0%,7.00,,0,0,0,0,0,0,0,0,45,83%,0,0%,5,19%,
182,2017,2017-10-15,6,6,33.149,JAX,,LAR,L 17-27,*,2,0,0,,0,0.0%,0.00,,0,0,0,0,0,0,0,0,52,75%,0,0%,6,17%,
183,2017,2017-10-22,7,7,33.156,JAX,@,IND,W 27-0,*,3,2,29,14.50,1,66.7%,9.67,,1,6,0,0,0,0,0,0,59,87%,0,0%,5,24%,
184,2017,2017-11-05,8,9,33.170,JAX,,CIN,W 23-7,*,6,3,49,16.33,0,50.0%,8.17,,0,0,0,0,0,0,0,0,62,78%,0,0%,5,21%,
185,2017,2017-11-12,9,10,33.177,JAX,,LAC,W 20-17,*,5,2,29,14.50,0,40.0%,5.80,,0,0,0,0,0,0,0,0,77,92%,0,0%,3,8%,
186,2017,2017-11-19,10,11,33.184,JAX,@,CLE,W 19-7,*,2,2,26,13.00,1,100.0%,13.00,,1,6,0,0,0,0,0,0,67,86%,0,0%,4,13%,
187,2017,2017-11-26,11,12,33.191,JAX,@,ARI,L 24-27,*,2,1,10,10.00,0,50.0%,5.00,,0,0,0,0,0,0,0,0,55,87%,0,0%,4,11%,
188,2017,2017-12-03,12,13,33.198,JAX,,IND,W 30-10,*,5,4,46,11.50,0,80.0%,9.20,1,0,2,0,0,0,0,0,0,55,85%,0,0%,5,21%,
189,2017,2017-12-10,13,14,33.205,JAX,,SEA,W 30-24,*,2,0,0,,0,0.0%,0.00,,0,0,0,0,0,0,0,0,62,94%,0,0%,7,22%,
190,2017,2017-12-17,14,15,33.212,JAX,,HOU,W 45-7,*,2,2,18,9.00,0,100.0%,9.00,,0,0,0,0,0,0,0,0,37,53%,0,0%,7,20%,
191,2017,2017-12-24,15,16,33.219,JAX,@,SFO,L 33-44,*,1,1,22,22.00,0,100.0%,22.00,,0,0,0,0,0,0,0,0,44,51%,0,0%,3,9%,
192,2017,2017-12-31,16,17,33.226,JAX,@,TEN,L 10-15,*,3,2,13,6.50,0,66.7%,4.33,,0,0,0,0,0,0,0,0,53,88%,0,0%,2,6%,
193,2018,2018-09-09,1,1,34.113,GNB,,CHI,W 24-23,,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,7,12%,0,0%,4,14%,
194,2018,2018-09-16,2,2,34.120,GNB,,MIN,T 29-29,,1,0,0,,0,0.0%,0.00,,0,0,0,0,0,0,0,0,14,18%,0,0%,8,22%,
195,2018,2018-09-23,3,3,34.127,GNB,@,WAS,L 17-31,,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,7,10%,0,0%,4,14%,
196,2018,2018-09-30,4,4,34.134,GNB,,BUF,W 22-0,,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,17,22%,0,0%,5,22%,
197,2018,2018-10-07,5,5,34.141,GNB,@,DET,L 23-31,,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,12,15%,0,0%,6,21%,
198,2018,2018-10-15,6,6,34.149,GNB,,SFO,W 33-30,*,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,22,31%,0,0%,7,21%,
199,2018,2018-10-28,7,8,34.162,GNB,@,LAR,L 27-29,*,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,12,23%,0,0%,5,15%,
200,2018,2018-11-04,8,9,34.169,GNB,@,NWE,L 17-31,,1,1,5,5.00,0,100.0%,5.00,,0,0,0,0,0,0,0,0,7,9%,0,0%,3,11%,
201,2018,2018-11-11,9,10,34.176,GNB,,MIA,W 31-12,,1,1,30,30.00,0,100.0%,30.00,,0,0,0,0,0,0,0,0,10,18%,0,0%,5,19%,
202,2018,2018-11-15,10,11,34.180,GNB,@,SEA,L 24-27,,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,10,20%,0,0%,5,16%,
203,2018,2018-11-25,11,12,34.190,GNB,@,MIN,L 17-24,*,1,1,4,4.00,0,100.0%,4.00,,0,0,0,0,0,0,0,0,23,43%,0,0%,3,11%,
204,2018,2018-12-02,12,13,34.197,GNB,,ARI,L 17-20,,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,8,11%,0,0%,4,13%,
205,2018,2018-12-09,13,14,34.204,GNB,,ATL,W 34-20,,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,16,25%,0,0%,6,21%,
206,2018,2018-12-16,14,15,34.211,GNB,@,CHI,L 17-24,*,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,11,16%,0,0%,3,11%,
207,2018,2018-12-23,15,16,34.218,GNB,@,NYJ,W 44-38,,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,10,11%,0,0%,6,16%,
208,2018,2018-12-30,16,17,34.225,GNB,,DET,L 0-31,,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,4,7%,0,0%,0,0%,
209,2019,2019-09-05,1,1,35.109,GNB,@,CHI,W 10-3,*,3,2,14,7.00,0,66.7%,4.67,,0,0,0,0,0,0,0,0,33,54%,0,0%,2,8%,
210,2019,2019-09-15,2,2,35.119,GNB,,MIN,W 21-16,*,1,0,0,,0,0.0%,0.00,,0,0,0,0,0,0,0,0,30,42%,0,0%,3,10%,
211,2019,2019-09-22,3,3,35.126,GNB,,DEN,W 27-16,*,2,1,19,19.00,0,50.0%,9.50,,0,0,0,0,0,0,0,0,30,56%,0,0%,6,23%,
212,2019,2019-09-26,4,4,35.130,GNB,,PHI,L 27-34,,2,2,19,9.50,0,100.0%,9.50,,0,0,0,0,0,0,0,0,17,22%,0,0%,5,19%,
213,2019,2019-10-06,5,5,35.140,GNB,@,DAL,W 34-24,,2,2,17,8.50,0,100.0%,8.50,,0,0,0,0,0,0,0,0,34,47%,0,0%,7,21%,
214,2019,2019-10-14,6,6,35.148,GNB,,DET,W 23-22,,2,2,50,25.00,0,100.0%,25.00,,0,0,0,0,0,0,0,0,29,39%,0,0%,6,19%,
215,2019,2019-10-20,7,7,35.154,GNB,,OAK,W 42-24,*,,,,,,0.0%,,,0,0,0,,,0,0,0,23,40%,0,0%,7,26%,
216,2019,2019-10-27,8,8,35.161,GNB,@,KAN,W 31-24,*,1,1,11,11.00,0,100.0%,11.00,,0,0,0,0,0,0,0,0,42,63%,0,0%,5,19%,
217,2019,2019-11-03,9,9,35.168,GNB,@,LAC,L 11-26,,,,,,,0.0%,,,0,0,0,,,0,0,0,17,34%,0,0%,1,4%,
218,2019,2019-11-10,10,10,35.175,GNB,,CAR,W 24-16,*,,,,,,0.0%,,,0,0,0,,,0,0,0,35,55%,0,0%,5,22%,
219,2019,2019-11-24,11,12,35.189,GNB,@,SFO,L 8-37,*,,,,,,0.0%,,,0,0,0,,,0,0,0,27,34%,0,0%,0,0%,
220,2019,2019-12-01,12,13,35.196,GNB,@,NYG,W 31-13,*,2,1,1,1.00,1,50.0%,0.50,,1,6,0,0,0,0,0,0,27,42%,0,0%,5,23%,
221,2019,2019-12-08,13,14,35.203,GNB,,WAS,W 20-15,*,1,1,5,5.00,0,100.0%,5.00,,0,0,0,0,0,0,0,0,38,63%,0,0%,5,20%,
222,2019,2019-12-15,14,15,35.210,GNB,,CHI,W 21-13,*,1,1,6,6.00,0,100.0%,6.00,,0,0,0,0,0,0,0,0,32,54%,0,0%,1,4%,
223,2019,2019-12-23,15,16,35.218,GNB,@,MIN,W 23-10,*,1,1,2,2.00,0,100.0%,2.00,,0,0,0,0,0,0,0,0,41,53%,0,0%,0,0%,
224,2019,2019-12-29,16,17,35.224,GNB,@,DET,W 23-20,,1,1,12,12.00,0,100.0%,12.00,,0,0,0,0,0,0,0,0,32,36%,0,0%,3,10%,
225,2020,2020-09-13,1,1,36.117,GNB,@,MIN,W 43-34,*,,,,,,0.0%,,,0,0,0,,,0,0,0,32,41%,0,0%,0,0%,
226,2020,2020-09-20,2,2,36.124,GNB,,DET,W 42-21,*,1,1,4,4.00,0,100.0%,4.00,,0,0,0,0,0,0,0,0,33,45%,0,0%,0,0%,
227,2020,2020-09-27,3,3,36.131,GNB,@,NOR,W 37-30,*,2,1,18,18.00,1,50.0%,9.00,,1,6,0,0,0,0,0,0,20,32%,0,0%,0,0%,
228,2020,2020-10-05,4,4,,GNB,,ATL,W 30-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
229,2020,2020-10-18,5,6,36.152,GNB,@,TAM,L 10-38,*,2,0,0,,0,0.0%,0.00,,0,0,0,0,0,0,0,0,21,33%,0,0%,0,0%,
230,2020,2020-10-25,6,7,36.159,GNB,@,HOU,W 35-20,*,3,1,9,9.00,0,33.3%,3.00,,0,0,0,0,0,0,0,0,31,50%,0,0%,0,0%,
231,2020,2020-11-01,7,8,36.166,GNB,,MIN,L 22-28,*,,,,,,0.0%,,,0,0,0,,,0,0,0,20,27%,0,0%,0,0%,
232,2020,2020-11-05,8,9,36.170,GNB,@,SFO,W 34-17,*,1,1,1,1.00,1,100.0%,1.00,,1,6,0,0,0,0,0,0,32,48%,0,0%,0,0%,
233,2020,2020-11-15,9,10,36.180,GNB,,JAX,W 24-20,*,,,,,,0.0%,,,0,0,0,,,0,0,0,26,40%,0,0%,0,0%,
234,2020,2020-11-22,10,11,36.187,GNB,@,IND,L 31-34,*,1,1,8,8.00,0,100.0%,8.00,,0,0,0,0,0,0,0,0,19,32%,0,0%,0,0%,
235,2020,2020-11-29,11,12,36.194,GNB,,CHI,W 41-25,*,4,2,16,8.00,1,50.0%,4.00,,1,6,0,0,0,0,0,0,33,46%,0,0%,0,0%,
236,2020,2020-12-06,12,13,36.201,GNB,,PHI,W 30-16,*,1,1,36,36.00,0,100.0%,36.00,,0,0,0,0,0,0,0,0,35,57%,0,0%,0,0%,
237,2020,2020-12-13,13,14,36.208,GNB,@,DET,W 31-24,*,1,1,6,6.00,0,100.0%,6.00,,0,0,0,0,0,0,0,0,38,57%,0,0%,0,0%,
238,2020,2020-12-19,14,15,36.214,GNB,,CAR,W 24-16,*,,,,,,0.0%,,,0,0,0,,,0,0,0,30,48%,0,0%,0,0%,
239,2020,2020-12-27,15,16,36.222,GNB,,TEN,W 40-14,*,,,,,,0.0%,,,0,0,0,,,0,0,0,31,47%,0,0%,0,0%,
240,2020,2021-01-03,16,17,36.229,GNB,@,CHI,W 35-16,*,1,1,9,9.00,0,100.0%,9.00,,0,0,0,0,0,0,0,0,21,46%,0,0%,0,0%,
241,2021,2021-09-12,1,1,37.116,GNB,@,NOR,L 3-38,*,1,1,19,19.00,0,100.0%,19.00,,0,0,0,0,0,0,0,0,15,26%,0,0%,0,0%,
242,2021,2021-09-20,2,2,37.124,GNB,,DET,W 35-17,*,,,,,,0.0%,,,0,0,,,,,,,36,55%,0,0%,0,0%,
243,2021,2021-09-26,3,3,37.130,GNB,@,SFO,W 30-28,*,,,,,,0.0%,,,0,0,,,,,,,25,40%,0,0%,0,0%,
244,2021,2021-10-03,4,4,37.137,GNB,,PIT,W 27-17,*,2,1,7,7.00,0,50.0%,3.50,,0,0,0,0,0,0,0,0,35,49%,0,0%,0,0%,
245,2021,2021-10-10,5,5,37.144,GNB,@,CIN,W 25-22,*,2,2,34,17.00,0,100.0%,17.00,,0,0,0,0,0,0,0,0,29,45%,0,0%,0,0%,
246,2021,2021-10-17,6,6,37.151,GNB,@,CHI,W 24-14,*,2,2,17,8.50,0,100.0%,8.50,,0,0,0,0,0,0,0,0,40,68%,0,0%,0,0%,
247,2021,2021-10-24,7,7,37.158,GNB,,WAS,W 24-10,*,3,3,31,10.33,0,100.0%,10.33,,0,0,0,0,0,0,0,0,21,38%,0,0%,0,0%,
248,2021,2021-10-28,8,8,37.162,GNB,@,ARI,W 24-21,*,1,0,0,,0,0.0%,0.00,,0,0,0,0,0,0,0,0,31,42%,0,0%,0,0%,
249,2021,2021-11-07,9,9,37.172,GNB,@,KAN,L 7-13,*,1,1,-1,-1.00,0,100.0%,-1.00,,0,0,0,0,0,0,0,0,29,46%,0,0%,0,0%,
250,2021,2021-11-14,10,10,37.179,GNB,,SEA,W 17-0,*,2,2,10,5.00,0,100.0%,5.00,,0,0,0,0,0,0,0,0,42,57%,0,0%,0,0%,
251,2021,2021-11-21,11,11,37.186,GNB,@,MIN,L 31-34,*,,,,,,0.0%,,,0,0,,,,,,,17,29%,0,0%,0,0%,
252,2021,2021-11-28,12,12,37.193,GNB,,LAR,W 36-28,*,3,2,4,2.00,0,66.7%,1.33,,0,0,1,0,0,0,0,0,33,40%,0,0%,0,0%,
253,2021,2021-12-12,13,14,37.207,GNB,,CHI,W 45-30,*,4,4,51,12.75,0,100.0%,12.75,,0,0,0,0,0,0,0,0,36,55%,0,0%,0,0%,
254,2021,2021-12-19,14,15,37.214,GNB,@,BAL,W 31-30,*,3,3,40,13.33,0,100.0%,13.33,,0,0,0,0,0,0,0,0,31,50%,0,0%,0,0%,
255,2021,2021-12-25,15,16,37.220,GNB,,CLE,W 24-22,*,3,2,2,1.00,0,66.7%,0.67,,0,0,0,0,0,0,0,0,25,42%,0,0%,0,0%,
256,2021,2022-01-02,16,17,37.228,GNB,,MIN,W 37-10,*,,,,,,0.0%,,,0,0,,,,,,,13,17%,0,0%,0,0%,
257,2021,2022-01-09,17,18,37.235,GNB,@,DET,L 30-37,*,1,0,0,,0,0.0%,0.00,,0,0,0,0,0,0,0,0,20,29%,0,0%,0,0%,
258,2022,2022-09-11,1,1,38.115,GNB,@,MIN,L 7-23,*,,,,,,0.0%,,,0,0,,,,,,,23,38%,0,0%,1,4%,
259,2022,2022-09-18,2,2,38.122,GNB,,CHI,W 27-10,*,,,,,,0.0%,,,0,0,,,,,,,31,46%,0,0%,5,23%,
260,2022,2022-09-25,3,3,38.129,GNB,@,TAM,W 14-12,*,,,,,,0.0%,,,0,0,,,,,,,22,35%,0,0%,2,8%,
261,2022,2022-10-02,4,4,38.136,GNB,,NWE,W 27-24,*,,,,,,0.0%,,,0,0,,,,,,,31,42%,0,0%,5,16%,
262,2022,2022-10-09,5,5,38.143,GNB,,NYG,L 22-27,*,1,1,2,2.00,1,100.0%,2.00,,1,6,0,0,0,0,0,0,32,51%,0,0%,4,15%,
263,2022,2022-10-16,6,6,38.150,GNB,,NYJ,L 10-27,*,,,,,,0.0%,,,0,0,,,,,,,27,37%,0,0%,3,10%,
264,2022,2022-10-23,7,7,38.157,GNB,@,WAS,L 21-23,*,,,,,,0.0%,,,0,0,,,,,,,23,43%,0,0%,3,10%,
265,2022,2022-10-30,8,8,38.164,GNB,@,BUF,L 17-27,*,,,,,,0.0%,,,0,0,,,,,,,22,33%,0,0%,4,18%,
266,2022,2022-11-06,9,9,38.171,GNB,@,DET,L 9-15,*,1,1,19,19.00,0,100.0%,19.00,,0,0,0,0,0,0,0,0,32,43%,0,0%,1,8%,
267,2022,2022-11-13,10,10,38.178,GNB,,DAL,W 31-28,*,1,1,-1,-1.00,0,100.0%,-1.00,,0,0,0,0,0,0,0,0,37,58%,0,0%,6,20%,
268,2022,2022-11-17,11,11,38.182,GNB,,TEN,L 17-27,*,,,,,,0.0%,,,0,0,,,,,,,16,26%,0,0%,2,9%,
269,2022,2022-11-27,12,12,38.192,GNB,@,PHI,L 33-40,*,,,,,,0.0%,,,0,0,,,,,,,19,39%,0,0%,6,19%,
270,2022,2022-12-04,13,13,38.199,GNB,@,CHI,W 28-19,*,1,0,0,,0,0.0%,0.00,1,0,2,0,0,0,0,0,0,28,42%,0,0%,4,17%,
271,2022,2022-12-19,14,15,38.214,GNB,,LAR,W 24-12,*,1,1,14,14.00,0,100.0%,14.00,,0,0,0,0,0,0,0,0,29,41%,0,0%,4,19%,
272,2022,2022-12-25,15,16,38.220,GNB,@,MIA,W 26-20,*,2,2,32,16.00,1,100.0%,16.00,,1,6,0,0,0,0,0,0,29,44%,0,0%,6,23%,
273,2022,2023-01-01,16,17,38.227,GNB,,MIN,W 41-17,*,,,,,,0.0%,,,0,0,,,,,,,23,37%,0,0%,7,25%,
274,2022,2023-01-08,17,18,38.234,GNB,,DET,L 16-20,*,,,,,,0.0%,,,0,0,,,,,,,27,45%,0,0%,5,20%,
275,2023,2023-09-10,1,1,39.114,CHI,,GNB,L 20-38,,,,,,,0.0%,,,0,0,,,,,,,5,7%,0,0%,2,7%,
276,2023,2023-09-17,2,2,39.121,CHI,@,TAM,L 17-27,*,,,,,,0.0%,,,0,0,,,,,,,8,15%,0,0%,0,0%,
277,2023,2023-09-24,3,3,39.128,CHI,@,KAN,L 10-41,,,,,,,0.0%,,,0,0,,,,,,,9,18%,0,0%,0,0%,
278,2023,2023-10-01,4,4,39.135,CHI,,DEN,L 28-31,,1,1,8,8.00,0,100.0%,8.00,,0,0,0,0,0,0,0,0,21,29%,0,0%,0,0%,
279,2023,2023-10-05,5,5,39.139,CHI,@,WAS,W 40-20,,,,,,,0.0%,,,0,0,,,,,,,22,34%,0,0%,0,0%,
280,2023,2023-10-15,6,6,39.149,CHI,,MIN,L 13-19,,,,,,,0.0%,,,0,0,,,,,,,16,24%,0,0%,0,0%,
281,2023,2023-10-22,7,7,39.156,CHI,,LVR,W 30-12,,1,1,16,16.00,0,100.0%,16.00,,0,0,0,0,0,0,0,0,23,32%,0,0%,0,0%,
282,2023,2023-10-29,8,8,39.163,CHI,@,LAC,L 13-30,*,,,,,,0.0%,,,0,0,,,,,,,17,26%,0,0%,0,0%,
283,2023,2023-11-05,9,9,39.170,CHI,@,NOR,L 17-24,,,,,,,0.0%,,,0,0,,,,,,,14,21%,0,0%,0,0%,
284,2023,2023-11-09,10,10,39.174,CHI,,CAR,W 16-13,,,,,,,0.0%,,,0,0,,,,,,,20,28%,0,0%,0,0%,
285,2023,2023-11-19,11,11,39.184,CHI,@,DET,L 26-31,,1,0,0,,0,0.0%,0.00,,0,0,0,0,0,0,0,0,30,40%,0,0%,1,4%,
286,2023,2023-11-27,12,12,39.192,CHI,@,MIN,W 12-10,,,,,,,0.0%,,,0,0,,,,,,,24,34%,0,0%,0,0%,
287,2023,2023-12-10,13,14,39.205,CHI,,DET,W 28-13,,1,1,4,4.00,0,100.0%,4.00,,0,0,0,0,0,0,0,0,18,25%,0,0%,0,0%,
288,2023,2023-12-17,14,15,39.212,CHI,@,CLE,L 17-20,*,,,,,,0.0%,,,0,0,,,,,,,25,34%,0,0%,1,3%,
289,2023,2023-12-24,15,16,39.219,CHI,,ARI,W 27-16,*,1,1,1,1.00,1,100.0%,1.00,,1,6,0,0,0,0,0,0,35,50%,0,0%,2,7%,
