Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
46,2021,2021-12-19,14,15,24.308,BUF,,CAR,W 31-14,,,,,,,,6,9%,0,0%,5,23%,
47,2021,2021-12-26,15,16,24.315,BUF,@,NWE,W 33-21,*,,,,,,,79,100%,0,0%,5,23%,
48,2021,2022-01-02,16,17,24.322,BUF,,ATL,W 29-15,*,,,,,,,71,93%,0,0%,3,16%,
49,2021,2022-01-09,17,18,24.329,BUF,,NYJ,W 27-10,*,,,,,,,82,100%,0,0%,5,15%,
50,2022,2022-09-08,1,1,25.206,BUF,@,LAR,W 31-10,*,,,,,,,59,100%,0,0%,5,26%,
51,2022,2022-09-19,2,2,25.217,BUF,,TEN,W 41-7,*,,,,,,,68,100%,0,0%,7,26%,
52,2022,2022-09-25,3,3,25.223,BUF,@,MIA,L 19-21,*,,,,,,,58,63%,0,0%,2,9%,
53,2022,2022-10-02,4,4,25.230,BUF,@,BAL,W 23-20,*,,,,,,,64,100%,0,0%,5,20%,
54,2022,2022-10-09,5,5,25.237,BUF,,PIT,W 38-3,*,,,,,,,56,100%,0,0%,7,28%,
55,2022,2022-10-16,6,6,25.244,BUF,@,KAN,W 24-20,*,,,,,,,73,100%,0,0%,4,17%,
56,2022,2022-10-30,7,8,25.258,BUF,,GNB,W 27-17,*,,,,,,,59,100%,0,0%,5,23%,
57,2022,2022-11-06,8,9,25.265,BUF,@,NYJ,L 17-20,*,0,0,0,1,0,0,62,100%,0,0%,4,17%,
58,2022,2022-11-13,9,10,25.272,BUF,,MIN,L 30-33,*,,,,,,,75,100%,0,0%,6,18%,
59,2022,2022-11-20,10,11,25.279,BUF,,CLE,W 31-23,*,,,,,,,64,98%,0,0%,7,23%,
60,2022,2022-11-24,11,12,25.283,BUF,@,DET,W 28-25,*,,,,,,,77,100%,0,0%,0,0%,
61,2022,2022-12-01,12,13,25.290,BUF,@,NWE,W 24-10,*,,,,,,,75,100%,0,0%,4,17%,
62,2022,2022-12-11,13,14,25.300,BUF,,NYJ,W 20-12,*,,,,,,,40,68%,0,0%,1,3%,
63,2022,2022-12-17,14,15,,BUF,,MIA,W 32-29,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
64,2022,2022-12-24,15,16,25.313,BUF,@,CHI,W 35-13,*,,,,,,,58,91%,0,0%,0,0%,
65,2022,2023-01-08,16,18,25.328,BUF,,NWE,W 35-23,*,,,,,,,59,100%,0,0%,5,19%,
