Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
28,2022,2022-11-20,11,11,,CHI,@,ATL,L 24-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
29,2022,2022-11-27,12,12,24.269,CHI,@,NYJ,L 10-31,*,,,,,,,,,,,,,57,100%,0,0%,1,4%,
30,2022,2022-12-04,13,13,24.276,CHI,,GNB,L 19-28,*,0.0,0,1,1,0,0,0,0,0,0,0,0,52,100%,0,0%,5,21%,
31,2022,2022-12-18,14,15,24.290,CHI,,PHI,L 20-25,*,,,,,,,,,,,,,4,7%,0,0%,0,0%,
32,2022,2022-12-24,15,16,,CHI,,BUF,L 13-35,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
33,2022,2023-01-01,16,17,24.304,CHI,@,DET,L 10-41,*,,,,,,,,,,,,,7,13%,0,0%,0,0%,
34,2022,2023-01-08,17,18,,CHI,,MIN,L 13-29,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
35,2023,2023-09-10,1,1,,CHI,,GNB,L 20-38,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
36,2023,2023-09-17,2,2,,CHI,@,TAM,L 17-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
37,2023,2023-09-24,3,3,,CHI,@,KAN,L 10-41,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
38,2023,2023-10-01,4,4,,CHI,,DEN,L 28-31,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
39,2023,2023-10-05,5,5,25.216,CHI,@,WAS,W 40-20,,,,,,,,,,,,,,37,58%,0,0%,4,13%,
40,2023,2023-10-15,6,6,25.226,CHI,,MIN,L 13-19,*,,,,,,,,,,,,,66,100%,0,0%,0,0%,
41,2023,2023-10-22,7,7,25.233,CHI,,LVR,W 30-12,*,,,,,,,,,,,,,71,100%,0,0%,5,22%,
42,2023,2023-10-29,8,8,25.240,CHI,@,LAC,L 13-30,*,,,,,,,,,,,,,66,100%,0,0%,1,5%,
43,2023,2023-11-05,9,9,25.247,CHI,@,NOR,L 17-24,*,,,,,,,,,,,,,68,100%,0,0%,4,17%,
44,2023,2023-11-09,10,10,25.251,CHI,,CAR,W 16-13,*,,,,,,,,,,,,,72,100%,0,0%,4,14%,
45,2023,2023-11-19,11,11,25.261,CHI,@,DET,L 26-31,*,,,,,,,,,,,,,75,100%,0,0%,6,23%,
46,2023,2023-11-27,12,12,25.269,CHI,@,MIN,W 12-10,*,,,,,,,,,,,,,63,90%,0,0%,2,10%,
47,2023,2023-12-10,13,14,25.282,CHI,,DET,W 28-13,*,,,,,,,,,,,,,71,100%,0,0%,5,21%,
48,2023,2023-12-17,14,15,25.289,CHI,@,CLE,L 17-20,*,0.0,0,0,0,0,0,0,0,0,1,0,0,25,34%,0,0%,1,3%,
49,2023,2023-12-24,15,16,,CHI,,ARI,W 27-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
50,2023,2023-12-31,16,17,25.303,CHI,,ATL,W 37-17,*,,,,,,,,,,,,,74,100%,0,0%,1,3%,
51,2023,2024-01-07,17,18,25.310,CHI,@,GNB,L 9-17,*,,,,,,,,,,,,,48,100%,0,0%,2,11%,
52,2024,2024-09-08,1,1,26.189,CHI,,TEN,W 24-17,*,0.0,0,0,0,0,0,0,0,0,1,0,0,56,100%,0,0%,4,14%,
53,2024,2024-09-15,2,2,26.196,CHI,@,HOU,L 13-19,*,,,,,,,,,,,,,70,100%,0,0%,3,10%,
54,2024,2024-09-22,3,3,26.203,CHI,@,IND,L 16-21,*,,,,,,,,,,,,,90,100%,0,0%,3,13%,
55,2024,2024-09-29,4,4,26.210,CHI,,LAR,W 24-18,*,,,,,,,,,,,,,11,18%,0,0%,0,0%,
56,2024,2024-10-06,5,5,26.217,CHI,,CAR,W 36-10,*,,,,,,,,,,,,,38,51%,0,0%,0,0%,
57,2024,2024-10-13,6,6,26.224,CHI,,JAX,W 35-16,*,0.0,0,0,0,0,0,0,0,0,1,0,0,63,95%,0,0%,0,0%,
58,2024,2024-10-27,7,8,26.238,CHI,@,WAS,L 15-18,*,0.0,0,0,0,0,0,0,0,0,0,0,0,46,73%,0,0%,1,4%,
59,2024,2024-11-03,8,9,26.245,CHI,@,ARI,L 9-29,*,,,,,,,,,,,,,74,100%,0,0%,3,11%,
60,2024,2024-11-10,9,10,26.252,CHI,,NWE,L 3-19,*,,,,,,,,,,,,,19,32%,0,0%,0,0%,
