Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2023,2023-09-10,1,1,22.222,CHI,,GNB,L 20-38,,5,20,4.00,1,7,6,35,5.83,0,85.7%,5.00,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,29,39%,0,0%,13,46%,
2,2023,2023-09-17,2,2,22.229,CHI,@,TAM,L 17-27,,4,32,8.00,0,2,2,10,5.00,0,100.0%,5.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,22,42%,0,0%,8,30%,
3,2023,2023-09-24,3,3,22.236,CHI,@,KAN,L 10-41,,8,38,4.75,0,2,2,11,5.50,0,100.0%,5.50,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,23,45%,0,0%,11,44%,
4,2023,2023-10-01,4,4,22.243,CHI,,DEN,L 28-31,,5,13,2.60,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,16,22%,0,0%,11,42%,
5,2023,2023-10-05,5,5,22.247,CHI,@,WAS,W 40-20,,3,19,6.33,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,9%,0,0%,5,17%,
6,2023,2023-10-15,6,6,,CHI,,MIN,L 13-19,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,2023,2023-10-22,7,7,,CHI,,LVR,W 30-12,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,2023,2023-10-29,8,8,22.271,CHI,@,LAC,L 13-30,,6,21,3.50,0,4,3,10,3.33,0,75.0%,2.50,1,0,0.00,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,24,36%,0,0%,11,50%,
9,2023,2023-11-05,9,9,22.278,CHI,@,NOR,L 17-24,,2,6,3.00,0,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,20,29%,0,0%,13,54%,
10,2023,2023-11-09,10,10,22.282,CHI,,CAR,W 16-13,,5,18,3.60,0,6,4,14,3.50,0,66.7%,2.33,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,30,42%,0,0%,16,57%,
11,2023,2023-11-19,11,11,22.292,CHI,@,DET,L 26-31,,6,30,5.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,25,33%,0,0%,13,50%,
12,2023,2023-11-27,12,12,22.300,CHI,@,MIN,W 12-10,,10,35,3.50,0,5,5,40,8.00,0,100.0%,8.00,0,0,,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,52,74%,0,0%,2,10%,
