Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
27,2020,2020-11-30,11,12,,SEA,@,PHI,W 23-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
28,2020,2020-12-06,12,13,,SEA,,NYG,L 12-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
29,2020,2020-12-13,13,14,,SEA,,NYJ,W 40-3,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
30,2020,2020-12-20,14,15,,SEA,@,WAS,W 20-15,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
31,2020,2020-12-27,15,16,,SEA,,LAR,W 20-9,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
32,2020,2021-01-03,16,17,,SEA,@,SFO,W 26-23,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
33,2021,2021-09-12,1,1,23.036,SEA,@,IND,W 28-16,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,2,4%,0,0%,18,75%,
34,2021,2021-09-19,2,2,23.043,SEA,,TEN,L 30-33,,0,0,,0,2,2,14,7.00,0,100.0%,7.00,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,14,26%,0,0%,23,64%,
35,2021,2021-09-26,3,3,23.050,SEA,@,MIN,L 17-30,,0,0,,0,3,3,48,16.00,0,100.0%,16.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,16,30%,0,0%,15,60%,
36,2021,2021-10-03,4,4,23.057,SEA,@,SFO,W 28-21,,1,5,5.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,9,16%,0,0%,24,77%,
37,2021,2021-10-07,5,5,23.061,SEA,,LAR,L 17-26,,1,5,5.00,0,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,8,12%,0,0%,18,64%,
38,2021,2021-10-17,6,6,23.071,SEA,@,PIT,L 20-23,,2,27,13.50,0,1,1,27,27.00,0,100.0%,27.00,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,5,8%,0,0%,22,65%,
39,2021,2021-10-25,7,7,23.079,SEA,,NOR,L 10-13,,1,14,14.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,12,21%,0,0%,17,68%,
40,2021,2021-10-31,8,8,23.085,SEA,,JAX,W 31-7,,4,9,2.25,0,1,1,3,3.00,0,100.0%,3.00,1,44,44.00,1,1,6,0.0,0,2,2,0,0,0,0,0,0,0,0,17,30%,0,0%,17,74%,
41,2021,2021-11-14,9,10,23.099,SEA,@,GNB,L 0-17,,1,2,2.00,0,4,3,23,7.67,0,75.0%,5.75,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,31,51%,0,0%,14,78%,
42,2021,2021-11-21,10,11,23.106,SEA,,ARI,L 13-23,,1,4,4.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,5,10%,0,0%,16,59%,
43,2021,2021-11-29,11,12,,SEA,@,WAS,L 15-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
44,2021,2021-12-05,12,13,23.120,SEA,,SFO,W 30-23,,3,80,26.67,1,5,4,10,2.50,0,80.0%,2.00,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,1,1,0,21,30%,0,0%,20,69%,
45,2021,2021-12-12,13,14,,SEA,@,HOU,W 33-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
46,2021,2021-12-21,14,15,,SEA,@,LAR,L 10-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
47,2021,2021-12-26,15,16,23.141,SEA,,CHI,L 24-25,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,4,7%,0,0%,17,68%,
48,2021,2022-01-02,16,17,23.148,SEA,,DET,W 51-29,,6,27,4.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,24,33%,0,0%,19,59%,
49,2021,2022-01-09,17,18,23.155,SEA,@,ARI,W 38-30,,1,4,4.00,0,3,1,23,23.00,0,33.3%,7.67,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,1,0,0,0,13,22%,0,0%,20,63%,
50,2022,2022-09-12,1,1,24.036,SEA,,DEN,W 17-16,,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,19,35%,0,0%,10,53%,
51,2022,2022-09-18,2,2,24.042,SEA,@,SFO,L 7-27,,2,9,4.50,0,4,4,33,8.25,0,100.0%,8.25,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,22,45%,0,0%,16,70%,
52,2022,2022-09-25,3,3,24.049,SEA,,ATL,L 23-27,,1,7,7.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,3%,0,0%,1,4%,
53,2022,2022-10-02,4,4,,SEA,@,DET,W 48-45,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
54,2022,2022-10-09,5,5,,SEA,@,NOR,L 32-39,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
55,2022,2022-10-16,6,6,,SEA,,ARI,W 19-9,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
56,2022,2022-10-23,7,7,,SEA,@,LAC,W 37-23,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
57,2022,2022-10-30,8,8,24.084,SEA,,NYG,W 27-13,,2,10,5.00,0,1,1,21,21.00,0,100.0%,21.00,0,0,,0,0,0,0.0,0,2,2,0,0,0,0,1,0,0,0,14,22%,0,0%,22,74%,
58,2022,2022-11-06,9,9,24.091,SEA,@,ARI,W 31-21,,1,7,7.00,0,3,3,25,8.33,0,100.0%,8.33,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,21,29%,0,0%,19,70%,
59,2022,2022-11-13,10,10,24.098,SEA,@,TAM,L 16-21,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,8,15%,0,0%,15,71%,
60,2022,2022-11-27,11,12,24.112,SEA,,LVR,L 34-40,,2,8,4.00,0,3,2,45,22.50,1,66.7%,15.00,0,0,,0,1,6,0.0,0,1,1,0,0,0,0,0,0,0,0,13,20%,0,0%,21,62%,
61,2022,2022-12-04,12,13,,SEA,@,LAR,W 27-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
62,2022,2022-12-11,13,14,24.126,SEA,,CAR,L 24-30,*,9,26,2.89,0,3,2,8,4.00,0,66.7%,2.67,0,0,,0,0,0,0.0,0,2,2,0,0,0,0,0,0,0,0,49,91%,0,0%,7,25%,
63,2022,2022-12-15,14,15,24.130,SEA,,SFO,L 13-21,,1,5,5.00,0,4,4,25,6.25,0,100.0%,6.25,0,0,,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,16,25%,0,0%,15,54%,
64,2022,2022-12-24,15,16,24.139,SEA,@,KAN,L 10-24,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,1,1%,0,0%,4,17%,
65,2022,2023-01-01,16,17,,SEA,,NYJ,W 23-6,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
66,2022,2023-01-08,17,18,,SEA,,LAR,W 19-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
67,2023,2023-09-10,1,1,25.034,CHI,,GNB,L 20-38,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,0,0%,19,68%,
68,2023,2023-09-17,2,2,25.041,CHI,@,TAM,L 17-27,,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,,,,,,,0,0%,0,0%,17,63%,
69,2023,2023-09-24,3,3,25.048,CHI,@,KAN,L 10-41,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,4%,0,0%,16,64%,
70,2023,2023-10-01,4,4,25.055,CHI,,DEN,L 28-31,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,15,58%,
71,2023,2023-10-05,5,5,25.059,CHI,@,WAS,W 40-20,,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,,,,,,,0,0%,0,0%,6,20%,
72,2023,2023-10-15,6,6,,CHI,,MIN,L 13-19,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
73,2023,2023-10-22,7,7,25.076,CHI,,LVR,W 30-12,,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,3,4%,0,0%,14,61%,
74,2023,2023-10-29,8,8,25.083,CHI,@,LAC,L 13-30,,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,,,,,,,1,2%,0,0%,15,68%,
75,2023,2023-11-05,9,9,25.090,CHI,@,NOR,L 17-24,,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,,,,,,,0,0%,0,0%,13,54%,
76,2023,2023-11-09,10,10,25.094,CHI,,CAR,W 16-13,,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,,,,,,,0,0%,0,0%,17,61%,
77,2023,2023-11-19,11,11,25.104,CHI,@,DET,L 26-31,,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,,,,,,,0,0%,0,0%,16,62%,
78,2023,2023-11-27,12,12,25.112,CHI,@,MIN,W 12-10,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,0,0%,12,60%,
79,2023,2023-12-10,13,14,25.125,CHI,,DET,W 28-13,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,17,71%,
80,2023,2023-12-17,14,15,25.132,CHI,@,CLE,L 17-20,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,26,74%,
81,2023,2023-12-24,15,16,25.139,CHI,,ARI,W 27-16,,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,,,,,,,0,0%,0,0%,20,69%,
82,2023,2023-12-31,16,17,25.146,CHI,,ATL,W 37-17,,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,,,,,,,0,0%,0,0%,19,59%,
83,2023,2024-01-07,17,18,25.153,CHI,@,GNB,L 9-17,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,11,61%,
84,2024,2024-09-08,1,1,26.032,CHI,,TEN,W 24-17,,2,10,5.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,11,20%,0,0%,21,72%,
85,2024,2024-09-15,2,2,26.039,CHI,@,HOU,L 13-19,,1,6,6.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,20,29%,0,0%,22,73%,
86,2024,2024-09-22,3,3,,CHI,@,IND,L 16-21,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
87,2024,2024-09-29,4,4,,CHI,,LAR,W 24-18,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
88,2024,2024-10-06,5,5,,CHI,,CAR,W 36-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
89,2024,2024-10-13,6,6,,CHI,,JAX,W 35-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
90,2024,2024-10-27,7,8,26.081,CHI,@,WAS,L 15-18,,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,,,,,,,0,0%,0,0%,17,65%,
91,2024,2024-11-03,8,9,26.088,CHI,@,ARI,L 9-29,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,18,64%,
92,2024,2024-11-10,9,10,26.095,CHI,,NWE,L 3-19,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,20,74%,
