Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
118,2020,2020-10-25,6,7,28.181,LAC,,JAX,W 39-29,,13,10,125,12.50,0,76.9%,9.62,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,85%,0,0%,0,0%,
119,2020,2020-11-01,7,8,28.188,LAC,@,DEN,L 30-31,*,12,9,67,7.44,1,75.0%,5.58,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,98%,0,0%,0,0%,
120,2020,2020-11-08,8,9,28.195,LAC,,LVR,L 26-31,*,11,9,103,11.44,1,81.8%,9.36,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,99%,0,0%,0,0%,
121,2020,2020-11-15,9,10,28.202,LAC,@,MIA,L 21-29,*,7,3,39,13.00,1,42.9%,5.57,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,86%,0,0%,0,0%,
122,2020,2020-11-22,10,11,28.209,LAC,,NYJ,W 34-28,*,19,16,145,9.06,1,84.2%,7.63,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,78,95%,0,0%,0,0%,
123,2020,2020-11-29,11,12,28.216,LAC,@,BUF,L 17-27,*,10,4,40,10.00,1,40.0%,4.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,94%,0,0%,0,0%,
124,2020,2020-12-06,12,13,28.223,LAC,,NWE,L 0-45,*,11,5,48,9.60,0,45.5%,4.36,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,86%,0,0%,0,0%,
125,2020,2020-12-13,13,14,28.230,LAC,,ATL,W 20-17,*,11,9,52,5.78,1,81.8%,4.73,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,78%,0,0%,0,0%,
126,2020,2020-12-17,14,15,28.234,LAC,@,LVR,W 30-27,*,3,1,17,17.00,0,33.3%,5.67,1,-1,-1.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,36%,0,0%,0,0%,
127,2020,2020-12-27,15,16,,LAC,,DEN,W 19-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
