Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2018,2018-09-09,1,1,21.148,CAR,,DAL,W 16-8,,0,0,0,,0,0.0%,,1,3,3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,15,15.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,25%,0,0%,14,64%,
2,2018,2018-09-16,2,2,21.155,CAR,@,ATL,L 24-31,,2,1,51,51.00,1,50.0%,25.50,1,7,7.00,0,0,0,,0,0,0,,0,0,,,1,26,26.00,0,2,9,4.50,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,17,25%,0,0%,19,68%,
3,2018,2018-09-23,3,3,21.162,CAR,,CIN,W 31-21,,2,1,3,3.00,0,50.0%,1.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,4,4.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,33,49%,0,0%,13,50%,
4,2018,2018-10-07,4,5,21.176,CAR,,NYG,W 33-31,,4,4,49,12.25,0,100.0%,12.25,1,18,18.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,29,41%,0,0%,3,9%,
5,2018,2018-10-14,5,6,21.183,CAR,@,WAS,L 17-23,,5,4,59,14.75,0,80.0%,11.80,1,18,18.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,1.00,0,,0,0,0.0,0,0,0,,,2,2,0,0,0,0,27,45%,0,0%,12,50%,
6,2018,2018-10-21,6,7,21.190,CAR,@,PHI,W 21-17,,5,3,29,9.67,0,60.0%,5.80,0,0,,0,0,0,,0,0,0,,0,0,,,1,18,18.00,0,1,3,3.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,27,46%,0,0%,10,45%,
7,2018,2018-10-28,7,8,21.197,CAR,,BAL,W 36-21,*,6,5,90,18.00,0,83.3%,15.00,2,39,19.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,46,71%,0,0%,2,7%,
8,2018,2018-11-04,8,9,21.204,CAR,,TAM,W 42-28,*,2,1,16,16.00,0,50.0%,8.00,1,32,32.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,53,85%,0,0%,0,0%,
9,2018,2018-11-08,9,10,21.208,CAR,@,PIT,L 21-52,*,5,4,20,5.00,0,80.0%,4.00,1,5,5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,49,86%,0,0%,0,0%,
10,2018,2018-11-18,10,11,21.218,CAR,@,DET,L 19-20,*,8,7,157,22.43,1,87.5%,19.63,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,45,78%,0,0%,1,4%,
11,2018,2018-11-25,11,12,21.225,CAR,,SEA,L 27-30,*,9,8,91,11.38,0,88.9%,10.11,1,7,7.00,0,0,0,,0,0,0,,0,0,,,3,75,25.00,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,54,92%,0,0%,6,22%,
12,2018,2018-12-02,12,13,21.232,CAR,@,TAM,L 17-24,*,8,4,44,11.00,0,50.0%,5.50,2,21,10.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,66,94%,0,0%,1,4%,
13,2018,2018-12-09,13,14,21.239,CAR,@,CLE,L 20-26,*,8,5,67,13.40,0,62.5%,8.38,1,0,0.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,67,91%,0,0%,0,0%,
14,2018,2018-12-17,14,15,21.247,CAR,,NOR,L 9-12,*,3,2,12,6.00,0,66.7%,4.00,1,22,22.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,57,98%,0,0%,0,0%,
15,2018,2018-12-23,15,16,21.253,CAR,,ATL,L 10-24,*,7,2,19,9.50,0,28.6%,2.71,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,87,95%,0,0%,0,0%,
16,2018,2018-12-30,16,17,21.260,CAR,@,NOR,W 33-14,*,8,4,81,20.25,0,50.0%,10.13,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,59,82%,0,0%,5,20%,
17,2019,2019-09-08,1,1,22.147,CAR,,LAR,L 27-30,*,10,7,76,10.86,0,70.0%,7.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,62,94%,0,0%,0,0%,
18,2019,2019-09-12,2,2,22.151,CAR,,TAM,L 14-20,*,14,9,89,9.89,0,64.3%,6.36,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,71,95%,0,0%,0,0%,
19,2019,2019-09-22,3,3,22.161,CAR,@,ARI,W 38-20,*,2,1,52,52.00,1,50.0%,26.00,1,12,12.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,45,75%,0,0%,0,0%,
20,2019,2019-09-29,4,4,22.168,CAR,@,HOU,W 16-10,*,5,3,44,14.67,0,60.0%,8.80,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,88%,0,0%,0,0%,
21,2019,2019-10-06,5,5,22.175,CAR,,JAX,W 34-27,*,8,6,91,15.17,0,75.0%,11.38,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,61,97%,0,0%,0,0%,
22,2019,2019-10-13,6,6,22.182,CAR,@,TAM,W 37-26,*,10,7,73,10.43,0,70.0%,7.30,1,13,13.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,60,88%,0,0%,1,3%,
23,2019,2019-10-27,7,8,22.196,CAR,@,SFO,L 13-51,*,9,5,38,7.60,0,55.6%,4.22,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,63,93%,0,0%,0,0%,
24,2019,2019-11-03,8,9,22.203,CAR,,TEN,W 30-20,*,10,7,101,14.43,0,70.0%,10.10,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,67,94%,0,0%,1,3%,
25,2019,2019-11-10,9,10,22.210,CAR,@,GNB,L 16-24,*,11,9,120,13.33,0,81.8%,10.91,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,72,100%,0,0%,4,17%,
26,2019,2019-11-17,10,11,22.217,CAR,,ATL,L 3-29,*,15,8,95,11.88,0,53.3%,6.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,6.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,73,99%,0,0%,3,13%,
27,2019,2019-11-24,11,12,22.224,CAR,@,NOR,L 31-34,*,9,6,126,21.00,2,66.7%,14.00,1,8,8.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,61,82%,0,0%,3,10%,
28,2019,2019-12-01,12,13,22.231,CAR,,WAS,L 21-29,*,12,6,75,12.50,1,50.0%,6.25,1,-3,-3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,35,11.67,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,70,96%,0,0%,5,15%,
29,2019,2019-12-08,13,14,22.238,CAR,@,ATL,L 20-40,*,6,4,81,20.25,0,66.7%,13.50,1,0,0.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,70,99%,0,0%,0,0%,
30,2019,2019-12-15,14,15,22.245,CAR,,SEA,L 24-30,*,12,8,113,14.13,0,66.7%,9.42,1,10,10.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,70,97%,0,0%,0,0%,
31,2019,2019-12-22,15,16,22.252,CAR,@,IND,L 6-38,*,2,1,1,1.00,0,50.0%,0.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,9%,0,0%,0,0%,
32,2019,2019-12-29,,17,,CAR,,NOR,L 10-42,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
33,2020,2020-09-13,1,1,23.152,CAR,,LVR,L 30-34,*,9,4,54,13.50,0,44.4%,6.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,58,87%,0,0%,0,0%,
34,2020,2020-09-20,2,2,23.159,CAR,@,TAM,L 17-31,*,13,8,120,15.00,0,61.5%,9.23,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,65,89%,0,0%,1,4%,
35,2020,2020-09-27,3,3,23.166,CAR,@,LAC,W 21-16,*,4,2,65,32.50,0,50.0%,16.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,88%,0,0%,0,0%,
