Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
26,2021,2021-11-21,10,11,22.311,DET,@,CLE,L 10-13,,14,136,9.71,1,4,3,0,0.00,0,75.0%,0.00,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,35,73%,0,0%,0,0%,
27,2021,2021-11-25,11,12,22.315,DET,,CHI,L 14-16,*,3,0,0.00,0,3,3,9,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,,,,0,0,1,0,0,0,0,0,10,20%,0,0%,0,0%,
28,2021,2021-12-05,12,13,,DET,,MIN,W 29-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
29,2021,2021-12-12,13,14,,DET,@,DEN,L 10-38,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
30,2021,2021-12-19,14,15,,DET,,ARI,W 30-12,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
31,2021,2021-12-26,15,16,,DET,@,ATL,L 16-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
32,2021,2022-01-02,16,17,22.353,DET,@,SEA,L 29-51,,4,32,8.00,0,3,2,7,3.50,0,66.7%,2.33,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,36,57%,0,0%,0,0%,
33,2021,2022-01-09,17,18,22.360,DET,,GNB,W 37-30,*,7,30,4.29,1,5,4,16,4.00,0,80.0%,3.20,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,32,54%,0,0%,0,0%,
34,2022,2022-09-11,1,1,23.240,DET,,PHI,L 35-38,*,15,144,9.60,1,3,3,31,10.33,0,100.0%,10.33,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,46,67%,0,0%,0,0%,
35,2022,2022-09-18,2,2,23.247,DET,,WAS,W 36-27,*,5,56,11.20,0,5,2,31,15.50,1,40.0%,6.20,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,31,51%,0,0%,0,0%,
