Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
1,2023,2023-09-10,1,1,21.340,CHI,,GNB,L 20-38,*,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,23,38%,2,7%
2,2023,2023-09-17,2,2,21.347,CHI,@,TAM,L 17-27,,0.0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,33,46%,7,26%
3,2023,2023-09-24,3,3,21.354,CHI,@,KAN,L 10-41,,0.0,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,26,34%,6,24%
4,2023,2023-10-01,4,4,21.361,CHI,,DEN,L 28-31,,,,,,,,,,,,,,,,,,0,0%,10,21%,6,23%
5,2023,2023-10-05,5,5,22.000,CHI,@,WAS,W 40-20,,0.0,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0%,33,47%,3,10%
6,2023,2023-10-15,6,6,22.010,CHI,,MIN,L 13-19,,,,,,,,,,,,,,,,,,0,0%,16,28%,4,15%
7,2023,2023-10-22,7,7,22.017,CHI,,LVR,W 30-12,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,27,42%,3,13%
8,2023,2023-10-29,8,8,22.024,CHI,@,LAC,L 13-30,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,30,43%,6,27%
9,2023,2023-11-05,9,9,22.031,CHI,@,NOR,L 17-24,,,,,,,,,,,,,,,,,,0,0%,14,22%,5,21%
10,2023,2023-11-09,10,10,22.035,CHI,,CAR,W 16-13,,0.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,29,48%,6,21%
11,2023,2023-11-19,11,11,22.045,CHI,@,DET,L 26-31,,0.0,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0%,30,48%,2,8%
12,2023,2023-11-27,12,12,22.053,CHI,@,MIN,W 12-10,,0.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,20,36%,2,10%
13,2023,2023-12-10,13,14,22.066,CHI,,DET,W 28-13,,0.5,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,27,42%,2,8%
14,2023,2023-12-17,14,15,22.073,CHI,@,CLE,L 17-20,,0.5,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,30,43%,5,14%
15,2023,2023-12-24,15,16,22.080,CHI,,ARI,W 27-16,,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,30,49%,3,10%
16,2023,2023-12-31,16,17,22.087,CHI,,ATL,W 37-17,,1.5,3,2,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0%,25,42%,5,16%
17,2023,2024-01-07,17,18,22.094,CHI,@,GNB,L 9-17,,,,,,,,,,,,,,,,,,0,0%,29,48%,4,22%
18,2024,2024-09-08,1,1,22.339,CHI,,TEN,W 24-17,*,1.0,2,2,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,42,66%,4,14%
19,2024,2024-09-15,2,2,22.346,CHI,@,HOU,L 13-19,*,1.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,43,69%,5,17%
20,2024,2024-09-22,3,3,22.353,CHI,@,IND,L 16-21,*,0.0,3,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,49,88%,3,13%
21,2024,2024-09-29,4,4,22.360,CHI,,LAR,W 24-18,*,1.0,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,42,69%,5,19%
22,2024,2024-10-06,5,5,23.001,CHI,,CAR,W 36-10,*,1.0,0,2,2,0,4,0,0,0,0,0,0,0,1,0,0,0,0%,32,53%,4,15%
23,2024,2024-10-13,6,6,23.008,CHI,,JAX,W 35-16,*,0.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,42,68%,5,21%
24,2024,2024-10-27,7,8,23.022,CHI,@,WAS,L 15-18,*,0.0,4,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,54,73%,7,27%
25,2024,2024-11-03,8,9,23.029,CHI,@,ARI,L 9-29,*,0.0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,46,79%,6,21%
26,2024,2024-11-10,9,10,23.036,CHI,,NWE,L 3-19,*,0.0,3,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,49,77%,7,26%
