Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
24,2021,2022-01-09,17,18,,HOU,,TEN,L 25-28,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
25,2022,2022-09-11,1,1,27.051,HOU,,IND,T 20-20,*,0,0,,0,0,0,0.0,11,4,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,92,100%,3,9%,
26,2022,2022-09-18,2,2,27.058,HOU,@,DEN,L 9-16,*,0,0,,0,0,0,0.0,6,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,72,100%,2,8%,
27,2022,2022-09-25,3,3,27.065,HOU,@,CHI,L 20-23,*,0,0,,0,0,0,0.0,6,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,63,100%,3,10%,
28,2022,2022-10-02,4,4,27.072,HOU,,LAC,L 24-34,*,0,0,,0,0,0,0.0,5,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,70,100%,5,17%,
29,2022,2022-10-09,5,5,27.079,HOU,@,JAX,W 13-6,*,0,0,,0,0,0,0.0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,75,100%,2,10%,
30,2022,2022-10-23,6,7,27.093,HOU,@,LVR,L 20-38,*,0,0,,0,0,0,0.0,9,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,56,100%,3,11%,
31,2022,2022-10-30,7,8,27.100,HOU,,TEN,L 10-17,*,0,0,,0,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,18,31%,12,44%,
32,2022,2022-11-03,8,9,27.104,HOU,,PHI,L 17-29,*,0,0,,0,0,0,0.0,7,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,50,77%,3,13%,
33,2022,2022-11-13,9,10,27.114,HOU,@,NYG,L 16-24,*,0,0,,0,0,0,0.0,10,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,59,86%,3,10%,
34,2022,2022-11-20,10,11,27.121,HOU,,WAS,L 10-23,*,0,0,,0,0,0,0.0,4,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,52,76%,3,11%,
35,2022,2022-11-27,11,12,27.128,HOU,@,MIA,L 15-30,*,0,0,,0,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,61,80%,6,20%,
36,2022,2022-12-04,12,13,27.135,HOU,,CLE,L 14-27,*,0,0,,0,0,0,0.0,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,51,81%,6,19%,
37,2022,2022-12-11,13,14,27.142,HOU,@,DAL,L 23-27,*,0,0,,0,0,0,0.0,2,3,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0%,58,82%,3,11%,
38,2022,2022-12-18,14,15,27.149,HOU,,KAN,L 24-30,*,0,0,,0,0,0,0.0,5,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,47,61%,4,14%,
39,2022,2022-12-24,15,16,27.155,HOU,@,TEN,W 19-14,*,0,0,,0,0,0,1.0,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,52,85%,7,29%,
40,2022,2023-01-01,16,17,27.163,HOU,,JAX,L 3-31,*,0,0,,0,0,0,0.0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,44,70%,4,16%,
41,2022,2023-01-08,17,18,27.170,HOU,@,IND,W 32-31,*,0,0,,0,0,0,0.0,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,51,70%,2,7%,
42,2023,2023-09-10,1,1,28.050,GNB,@,CHI,W 38-20,,0,0,,0,0,0,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,14,19%,20,72%,
43,2023,2023-09-17,2,2,28.057,GNB,@,ATL,L 24-25,,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,17,63%,
44,2023,2023-09-24,3,3,28.064,GNB,,NOR,W 18-17,,,,,,0,0,,,,,,,,,,,,,,,,,0,0%,0,0%,18,72%,
45,2023,2023-09-28,4,4,28.068,GNB,,DET,L 20-34,,,,,,0,0,,,,,,,,,,,,,,,,,0,0%,2,3%,21,70%,
46,2023,2023-10-09,5,5,28.079,GNB,@,LVR,L 13-17,,0,0,,0,0,0,0.0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,31,48%,16,67%,
47,2023,2023-10-22,6,7,28.092,GNB,@,DEN,L 17-19,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,32,54%,17,68%,
48,2023,2023-10-29,7,8,28.099,GNB,,MIN,L 10-24,*,0,0,,0,0,0,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,72,100%,9,39%,
49,2023,2023-11-05,8,9,28.106,GNB,,LAR,W 20-3,*,0,0,,0,0,0,1.0,5,4,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0%,58,100%,8,35%,
50,2023,2023-11-12,9,10,28.113,GNB,@,PIT,L 19-23,*,0,0,,0,0,0,0.0,7,1,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,65,100%,11,38%,
