Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2017,2017-09-10,1,1,23.077,LAR,,IND,W 46-9,*,1,1,39,39.00,0,100.0%,39.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,29,45%,0,0%,0,0%,
2,2017,2017-09-17,2,2,23.084,LAR,,WAS,L 20-27,,3,3,95,31.67,0,100.0%,31.67,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,16,32%,0,0%,0,0%,
3,2017,2017-09-21,3,3,23.088,LAR,@,SFO,W 41-39,,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,11,17%,0,0%,1,3%,
4,2017,2017-10-01,4,4,23.098,LAR,@,DAL,W 35-30,,3,1,8,8.00,0,33.3%,2.67,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,21,30%,0,0%,0,0%,
5,2017,2017-10-08,5,5,23.105,LAR,,SEA,L 10-16,,3,1,8,8.00,0,33.3%,2.67,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,26,35%,0,0%,0,0%,
6,2017,2017-10-15,6,6,23.112,LAR,@,JAX,W 27-17,,3,1,4,4.00,1,33.3%,1.33,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,18,31%,0,0%,1,3%,
7,2017,2017-10-22,7,7,23.119,LAR,,ARI,W 33-0,,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,18,22%,0,0%,4,17%,
8,2017,2017-11-05,8,9,23.133,LAR,@,NYG,W 51-17,,2,1,44,44.00,0,50.0%,22.00,1,13,13.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,15,23%,0,0%,2,6%,
9,2017,2017-11-12,9,10,23.140,LAR,,HOU,W 33-7,*,2,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,20,30%,0,0%,0,0%,
10,2017,2017-11-19,10,11,23.147,LAR,@,MIN,L 7-24,,2,1,8,8.00,0,50.0%,4.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,19,32%,0,0%,1,4%,
11,2017,2017-11-26,11,12,23.154,LAR,,NOR,W 26-20,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,24,31%,0,0%,1,3%,
