Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sfty,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2018,2018-09-09,1,1,20.130,BUF,@,BAL,L 3-47,*,,0,0,1.0,3,4,7,0,1,0,0,0,2,0,0,1,0,0,0,0,0%,80,100%,7,21%,
2,2018,2018-09-16,2,2,20.137,BUF,,LAC,L 20-31,*,,0,0,0.0,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,56,100%,5,17%,
3,2018,2018-09-23,3,3,20.144,BUF,@,MIN,W 27-6,*,,0,0,0.0,7,3,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0%,66,100%,0,0%,
4,2018,2018-09-30,4,4,20.151,BUF,@,GNB,L 0-22,*,,0,0,0.0,5,1,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0%,76,100%,6,26%,
5,2018,2018-10-07,5,5,20.158,BUF,,TEN,W 13-12,*,,0,0,0.0,4,4,8,0,1,0,0,0,1,0,0,1,0,0,0,0,0%,54,100%,4,19%,
6,2018,2018-10-14,6,6,20.165,BUF,@,HOU,L 13-20,*,,0,0,0.0,7,2,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,61,100%,4,14%,
7,2018,2018-10-21,7,7,20.172,BUF,@,IND,L 5-37,*,,0,0,0.0,7,0,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0%,66,100%,6,25%,
8,2018,2018-10-29,8,8,20.180,BUF,,NWE,L 6-25,*,,0,0,0.0,6,2,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0%,44,58%,4,14%,
9,2018,2018-11-04,,9,,BUF,,CHI,L 9-41,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,2018,2018-11-11,10,10,20.193,BUF,@,NYJ,W 41-10,*,,0,0,0.0,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,53,95%,2,6%,
