Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct,Status
39,2020,2020-12-13,13,14,25.138,LAC,,ATL,W 20-17,,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,0,0,0,0%,0,0%,5,24%,
40,2020,2020-12-17,14,15,25.142,LAC,@,LVR,W 30-27,,3,3,100.0,1,3,33.3,0,6,0.0,0,0,0,0,0,0,0%,0,0%,6,21%,
41,2020,2020-12-27,15,16,25.152,LAC,,DEN,W 19-16,,1,1,100.0,4,4,100.0,0,13,0.0,0,0,0,0,0,0,0%,0,0%,6,20%,
42,2020,2021-01-03,16,17,25.159,LAC,@,KAN,W 38-21,,4,4,100.0,,,,0,4,0.0,0,0,0,0,0,0,0%,0,0%,4,18%,
43,2021,2021-09-12,1,1,26.046,TEN,,ARI,L 13-38,,1,2,50.0,,1,0.0,0,1,0.0,0,0,0,0,0,0,0%,0,0%,6,22%,
44,2021,2021-10-17,6,6,26.081,IND,,HOU,W 31-3,,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,0,0,0,0%,0,0%,5,21%,
45,2021,2021-10-24,7,7,26.088,IND,@,SFO,W 30-18,,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,0,0,0,0%,0,0%,4,14%,
46,2021,2021-10-31,8,8,26.095,IND,,TEN,L 31-34,,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,0,0,0,0%,0,0%,5,16%,
47,2021,2021-11-04,9,9,26.099,IND,,NYJ,W 45-30,,6,6,100.0,1,1,100.0,0,9,0.0,0,0,0,0,0,0,0%,0,0%,7,23%,
48,2021,2021-11-14,10,10,26.109,IND,,JAX,W 23-17,,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,0,0,0,0%,0,0%,5,16%,
49,2021,2021-11-21,11,11,26.116,IND,@,BUF,W 41-15,,5,5,100.0,2,2,100.0,0,11,0.0,0,0,0,0,0,0,0%,0,0%,7,30%,
50,2021,2021-11-28,12,12,26.123,IND,,TAM,L 31-38,,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,0,0,0,0%,0,0%,5,16%,
51,2021,2021-12-05,13,13,26.130,IND,@,HOU,W 31-0,,4,4,100.0,1,2,50.0,0,7,0.0,0,0,0,0,0,0,0%,0,0%,6,27%,
52,2021,2021-12-18,14,15,26.143,IND,,NWE,W 27-17,,3,3,100.0,2,3,66.7,0,9,0.0,0,0,0,0,0,0,0%,0,0%,7,28%,
53,2021,2021-12-25,15,16,26.150,IND,@,ARI,W 22-16,,2,2,100.0,2,3,66.7,0,8,0.0,0,0,0,0,0,0,0%,0,0%,5,21%,
54,2021,2022-01-02,16,17,26.158,IND,,LVR,L 20-23,,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,0,0,0,0%,0,0%,4,15%,
55,2021,2022-01-09,17,18,26.165,IND,@,JAX,L 11-26,,,,,1,1,100.0,0,3,0.0,0,0,0,0,0,0,0%,0,0%,1,5%,
