Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
31,2013,2013-12-22,15,16,23.289,CIN,,MIN,W 42-14,,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,52,67%,0,0%,6,22%,
32,2013,2013-12-29,16,17,23.296,CIN,,BAL,W 34-17,*,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,51,75%,0,0%,6,20%,
33,2014,2014-09-07,1,1,24.183,CIN,@,BAL,W 23-16,*,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,66,100%,0,0%,6,21%,
34,2014,2014-09-14,2,2,24.190,CIN,,ATL,W 24-10,*,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,34,48%,0,0%,3,11%,
35,2014,2014-09-21,,3,,CIN,,TEN,W 33-7,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
36,2014,2014-10-05,,5,,CIN,@,NWE,L 17-43,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
37,2014,2014-10-12,,6,,CIN,,CAR,T 37-37,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
38,2014,2014-10-19,6,7,24.225,CIN,@,IND,L 0-27,*,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,56,100%,0,0%,0,0%,
39,2014,2014-10-26,7,8,24.232,CIN,,BAL,W 27-24,*,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,51,74%,0,0%,4,16%,
40,2014,2014-11-02,,9,,CIN,,JAX,W 33-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
41,2014,2014-11-06,9,10,24.243,CIN,,CLE,L 3-24,*,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,68,100%,0,0%,1,4%,
42,2014,2014-11-16,10,11,24.253,CIN,@,NOR,W 27-10,*,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,56,92%,0,0%,5,25%,
43,2014,2014-11-23,11,12,24.260,CIN,@,HOU,W 22-13,*,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,81,100%,0,0%,4,15%,
44,2014,2014-11-30,12,13,24.267,CIN,@,TAM,W 14-13,*,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,61,100%,0,0%,2,8%,
45,2014,2014-12-07,13,14,24.274,CIN,,PIT,L 21-42,*,0,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,61,100%,0,0%,3,9%,
46,2014,2014-12-14,14,15,24.281,CIN,@,CLE,W 30-0,*,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,71,96%,0,0%,6,26%,
47,2014,2014-12-22,15,16,24.289,CIN,,DEN,W 37-28,*,0,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,63,100%,0,0%,7,19%,
48,2014,2014-12-28,16,17,24.295,CIN,@,PIT,L 17-27,*,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,70,99%,0,0%,4,15%,
49,2015,2015-09-13,1,1,25.189,CIN,@,OAK,W 33-13,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,68,100%,0,0%,6,21%,
50,2015,2015-09-20,2,2,25.196,CIN,,SDG,W 24-19,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,66,100%,0,0%,5,20%,
51,2015,2015-09-27,3,3,25.203,CIN,@,BAL,W 28-24,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,72,99%,0,0%,4,15%,
52,2015,2015-10-04,4,4,25.210,CIN,,KAN,W 36-21,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,54,100%,0,0%,5,17%,
53,2015,2015-10-11,5,5,25.217,CIN,,SEA,W 27-24,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,84,99%,0,0%,5,16%,
54,2015,2015-10-18,6,6,25.224,CIN,@,BUF,W 34-21,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,61,100%,0,0%,5,18%,
55,2015,2015-11-01,7,8,25.238,CIN,@,PIT,W 16-10,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,66,99%,0,0%,5,19%,
56,2015,2015-11-05,8,9,25.242,CIN,,CLE,W 31-10,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,59,88%,0,0%,3,12%,
57,2015,2015-11-16,9,10,25.253,CIN,,HOU,L 6-10,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,67,100%,0,0%,3,11%,
58,2015,2015-11-22,10,11,25.259,CIN,@,ARI,L 31-34,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,76,100%,0,0%,5,15%,
59,2015,2015-11-29,11,12,25.266,CIN,,STL,W 31-7,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,59,100%,0,0%,5,21%,
60,2015,2015-12-06,12,13,25.273,CIN,@,CLE,W 37-3,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,53,93%,0,0%,7,32%,
61,2015,2015-12-13,13,14,25.280,CIN,,PIT,L 20-33,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,58,100%,0,0%,5,17%,
62,2015,2015-12-20,14,15,25.287,CIN,@,SFO,W 24-14,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,64,100%,0,0%,4,13%,
63,2015,2015-12-28,15,16,25.295,CIN,@,DEN,L 17-20,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,72,100%,0,0%,4,14%,
64,2015,2016-01-03,16,17,25.301,CIN,,BAL,W 24-16,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,61,100%,0,0%,4,14%,
65,2016,2016-09-11,1,1,26.187,CIN,@,NYJ,W 23-22,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,57,100%,0,0%,6,21%,
66,2016,2016-09-18,2,2,26.194,CIN,@,PIT,L 16-24,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,75,99%,0,0%,4,12%,
67,2016,2016-09-25,3,3,26.201,CIN,,DEN,L 17-29,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,67,100%,0,0%,3,11%,
68,2016,2016-09-29,4,4,26.205,CIN,,MIA,W 22-7,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,70,100%,0,0%,6,21%,
69,2016,2016-10-09,5,5,26.215,CIN,@,DAL,L 14-28,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,70,100%,0,0%,3,14%,
70,2016,2016-10-16,6,6,26.222,CIN,@,NWE,L 17-35,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,68,100%,0,0%,3,11%,
71,2016,2016-10-23,7,7,26.229,CIN,,CLE,W 31-17,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,61,100%,0,0%,7,26%,
72,2016,2016-10-30,8,8,26.236,CIN,,WAS,T 27-27,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,88,100%,0,0%,5,16%,
73,2016,2016-11-14,9,10,26.251,CIN,@,NYG,L 20-21,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,58,100%,0,0%,4,14%,
74,2016,2016-11-20,10,11,26.257,CIN,,BUF,L 12-16,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,73,100%,0,0%,2,8%,
75,2016,2016-11-27,11,12,26.264,CIN,@,BAL,L 14-19,*,0,0,0,,0,0.0%,,0.0,0,0,0,0,0,0,0,0,0,0,0,75,100%,0,0%,3,10%,
76,2016,2016-12-04,12,13,26.271,CIN,,PHI,W 32-14,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,64,100%,0,0%,7,28%,
77,2016,2016-12-11,13,14,26.278,CIN,@,CLE,W 23-10,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,71,100%,0,0%,5,19%,
78,2016,2016-12-18,14,15,26.285,CIN,,PIT,L 20-24,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,58,100%,0,0%,4,15%,
79,2016,2016-12-24,15,16,26.291,CIN,@,HOU,L 10-12,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,63,100%,0,0%,3,11%,
80,2016,2017-01-01,16,17,26.299,CIN,,BAL,W 27-10,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,68,100%,0,0%,5,20%,
81,2017,2017-09-10,1,1,27.186,CLE,,PIT,L 18-21,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,66,100%,0,0%,2,8%,
82,2017,2017-09-17,2,2,27.193,CLE,@,BAL,L 10-24,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,71,100%,0,0%,2,8%,
83,2017,2017-09-24,3,3,27.200,CLE,@,IND,L 28-31,*,1,1,-4,-4.00,0,100.0%,-4.00,0.0,0,0,0,,,0,0,0,0,0,0,77,100%,0,0%,4,12%,
84,2017,2017-10-01,4,4,27.207,CLE,,CIN,L 7-31,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,65,100%,0,0%,2,8%,
85,2017,2017-10-08,5,5,27.214,CLE,,NYJ,L 14-17,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,76,100%,0,0%,4,19%,
86,2017,2017-10-15,6,6,27.221,CLE,@,HOU,L 17-33,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,67,100%,0,0%,3,9%,
87,2017,2017-10-22,7,7,27.228,CLE,,TEN,L 9-12,*,0,0,0,,0,0.0%,,0.0,0,0,0,0,0,0,0,0,0,0,0,73,100%,0,0%,3,12%,
88,2017,2017-10-29,8,8,27.235,CLE,,MIN,L 16-33,*,0,0,0,,0,0.0%,,0.0,0,0,0,0,0,0,0,0,0,0,0,59,100%,0,0%,4,12%,
89,2017,2017-11-12,9,10,27.249,CLE,@,DET,L 24-38,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,81,100%,0,0%,4,13%,
90,2017,2017-11-19,10,11,27.256,CLE,,JAX,L 7-19,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,55,100%,0,0%,1,3%,
91,2017,2017-11-26,11,12,27.263,CLE,@,CIN,L 16-30,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,70,100%,0,0%,5,19%,
