Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct
1.0,2024.0,2024-09-08,1.0,1.0,24.033,DET,,LAR,W 26-20,,,,,,,,0.0,0%,0.0,0%,8.0,31%
2.0,2024.0,2024-09-15,2.0,2.0,24.04,DET,,TAM,L 16-20,,,,,,,,1.0,1%,0.0,0%,7.0,27%
3.0,2024.0,2024-09-22,3.0,3.0,24.047,DET,@,ARI,W 20-13,,,,,,,,0.0,0%,0.0,0%,8.0,35%
4.0,2024.0,2024-09-30,4.0,4.0,24.055,DET,,SEA,W 42-29,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0%,0.0,0%,9.0,31%
5.0,2024.0,2024-10-13,5.0,6.0,24.068,DET,@,DAL,W 47-9,,,,,,,,0.0,0%,0.0,0%,9.0,32%
6.0,2024.0,2024-10-20,6.0,7.0,24.075,DET,@,MIN,W 31-29,,,,,,,,0.0,0%,0.0,0%,10.0,32%
7.0,2024.0,2024-10-27,7.0,8.0,24.082,DET,,TEN,W 52-14,,,,,,,,0.0,0%,0.0,0%,13.0,39%
8.0,2024.0,2024-11-03,8.0,9.0,24.089,DET,@,GNB,W 24-14,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0%,0.0,0%,8.0,36%
9.0,2024.0,2024-11-10,9.0,10.0,24.096,DET,@,HOU,W 26-23,,,,,,,,0.0,0%,0.0,0%,8.0,27%
10.0,2024.0,2024-11-17,10.0,11.0,24.103,DET,,JAX,W 52-6,,,,,,,,0.0,0%,0.0,0%,8.0,31%
11.0,2024.0,2024-11-24,11.0,12.0,24.11,DET,@,IND,W 24-6,,,,,,,,0.0,0%,0.0,0%,8.0,33%
