Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
23,2019,2019-10-17,,7,,DEN,,KAN,L 6-30,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
24,2019,2019-10-27,,8,,DEN,@,IND,L 13-15,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
25,2019,2019-11-03,,9,,DEN,,CLE,W 24-19,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
26,2019,2019-11-17,10,11,25.359,DEN,@,MIN,L 23-27,*,8,4,77,19.25,0,50.0%,9.63,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,57,72%,0,0%,1,4%,
27,2019,2019-11-24,11,12,26.001,DEN,@,BUF,L 3-20,,3,1,3,3.00,0,33.3%,1.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,32,65%,0,0%,0,0%,
28,2019,2019-12-01,12,13,26.008,DEN,,LAC,W 23-20,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,31,55%,0,0%,0,0%,
29,2019,2019-12-08,13,14,26.015,DEN,@,HOU,W 38-24,,3,2,50,25.00,0,66.7%,16.67,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,37,63%,0,0%,1,4%,
30,2019,2019-12-15,14,15,26.022,DEN,@,KAN,L 3-23,,7,3,26,8.67,0,42.9%,3.71,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,40,68%,0,0%,0,0%,
31,2019,2019-12-22,15,16,26.029,DEN,,DET,W 27-17,*,6,5,48,9.60,0,83.3%,8.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,66%,0,0%,0,0%,
32,2019,2019-12-29,16,17,26.036,DEN,,OAK,W 16-15,,2,1,14,14.00,0,50.0%,7.00,0,0,,0,1,-14,-14.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,35,57%,0,0%,2,7%,
33,2020,2020-09-14,1,1,26.296,DEN,,TEN,L 14-16,*,5,4,29,7.25,0,80.0%,5.80,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,50,85%,0,0%,0,0%,
34,2020,2020-09-20,2,2,26.302,DEN,@,PIT,L 21-26,*,5,2,24,12.00,0,40.0%,4.80,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,50,65%,0,0%,4,13%,
35,2020,2020-09-27,3,3,26.309,DEN,,TAM,L 10-28,*,4,4,43,10.75,1,100.0%,10.75,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,53,84%,0,0%,0,0%,
36,2020,2020-10-01,4,4,26.313,DEN,@,NYJ,W 37-28,*,7,6,113,18.83,1,85.7%,16.14,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,53,76%,0,0%,0,0%,
37,2020,2020-10-18,5,6,26.330,DEN,@,NWE,W 18-12,*,8,4,101,25.25,0,50.0%,12.63,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,92%,0,0%,1,4%,
38,2020,2020-10-25,6,7,26.337,DEN,,KAN,L 16-43,*,4,3,44,14.67,0,75.0%,11.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,66%,0,0%,0,0%,
