Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Num,Pct,Num,Pct,Num,Pct,Status
45,2023,2023-11-23,11,12,25.027,DET,,GNB,L 22-29,,53,63%,0,0%,1,4%,
46,2023,2023-12-03,12,13,25.037,DET,@,NOR,W 33-28,,0,0%,0,0%,5,17%,
47,2023,2023-12-10,13,14,25.044,DET,@,CHI,L 13-28,*,65,100%,0,0%,2,8%,
48,2023,2023-12-16,14,15,25.050,DET,,DEN,W 42-17,,0,0%,0,0%,6,21%,
49,2023,2023-12-24,15,16,25.058,DET,@,MIN,W 30-24,,0,0%,0,0%,5,19%,
50,2023,2023-12-30,16,17,25.064,DET,@,DAL,L 19-20,,0,0%,0,0%,3,12%,
51,2023,2024-01-07,17,18,25.072,DET,,MIN,W 30-20,,0,0%,0,0%,5,18%,
52,2024,2024-09-08,1,1,25.317,DET,,LAR,W 26-20,,0,0%,0,0%,4,15%,
53,2024,2024-09-15,2,2,25.324,DET,,TAM,L 16-20,,1,1%,0,0%,4,15%,
54,2024,2024-09-22,3,3,25.331,DET,@,ARI,W 20-13,,0,0%,0,0%,3,13%,
55,2024,2024-09-30,4,4,25.339,DET,,SEA,W 42-29,*,53,100%,0,0%,6,21%,
56,2024,2024-10-13,5,6,25.352,DET,@,DAL,W 47-9,,14,21%,0,0%,9,32%,
57,2024,2024-10-20,6,7,25.359,DET,@,MIN,W 31-29,*,57,100%,0,0%,5,16%,
58,2024,2024-10-27,7,8,26.000,DET,,TEN,W 52-14,,6,13%,0,0%,8,24%,
59,2024,2024-11-03,8,9,26.007,DET,@,GNB,W 24-14,,0,0%,0,0%,4,18%,
60,2024,2024-11-10,9,10,26.014,DET,@,HOU,W 26-23,,0,0%,0,0%,4,13%,
61,2024,2024-11-17,10,11,26.021,DET,,JAX,W 52-6,,16,20%,0,0%,8,31%,
62,2024,2024-11-24,11,12,,DET,@,IND,W 24-6,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
