Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1.0,2024.0,2024-09-08,1.0,1.0,23.04,DET,,LAR,W 26-20,,,,,,,,,,,0.0%,,,,,,,,,,,,,,2,3%,0,0%,18,69%,
2.0,2024.0,2024-09-15,2.0,2.0,23.047,DET,,TAM,L 16-20,,0,0,,0,1,1,17,17.00,0,100.0%,17.00,0.0,0,0,0,0,0,0,0,0,0,0,0,4,5%,0,0%,18,70%,
3.0,2024.0,2024-09-22,3.0,3.0,23.054,DET,@,ARI,W 20-13,,,,,,,,,,,0.0%,,,,,,,,,,,,,,1,1%,0,0%,14,61%,
4.0,2024.0,2024-09-30,4.0,4.0,23.062,DET,,SEA,W 42-29,,,,,,,,,,,0.0%,,,,,,,,,,,,,,0,0%,0,0%,19,66%,
5.0,2024.0,2024-10-13,5.0,6.0,23.075,DET,@,DAL,W 47-9,,1,5,5.00,0,0,0,0,,0,0.0%,,0.0,1,0,1,0,0,0,0,0,0,0,0,1,1%,0,0%,16,57%,
6.0,2024.0,2024-10-20,6.0,7.0,23.082,DET,@,MIN,W 31-29,,0,0,,0,0,0,0,,0,0.0%,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,21,68%,
7.0,2024.0,2024-10-27,7.0,8.0,23.089,DET,,TEN,W 52-14,,0,0,,0,0,0,0,,0,0.0%,,0.0,1,0,1,0,0,0,0,1,0,0,0,1,2%,0,0%,22,67%,
8.0,2024.0,2024-11-03,8.0,9.0,,DET,@,GNB,W 24-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9.0,2024.0,2024-11-10,9.0,10.0,23.103,DET,@,HOU,W 26-23,,0,0,,0,0,0,0,,0,0.0%,,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0%,0,0%,20,67%,
10.0,2024.0,2024-11-17,10.0,11.0,23.11,DET,,JAX,W 52-6,,5,9,1.80,0,0,0,0,,0,0.0%,,0.0,0,0,0,0,0,0,0,0,0,0,0,10,13%,0,0%,17,65%,
11.0,2024.0,2024-11-24,11.0,12.0,23.117,DET,@,IND,W 24-6,,,,,,,,,,,0.0%,,,,,,,,,,,,,,1,1%,0,0%,20,83%,
