Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2016,2016-12-04,12,13,22.118,DEN,@,JAX,W 20-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,4,40,10.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,11,33%,
2,2016,2016-12-11,13,14,22.125,DEN,@,TEN,L 10-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,21,10.50,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,11,44%,
3,2016,2016-12-18,,15,,DEN,,NWE,L 3-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,2016,2016-12-25,15,16,22.139,DEN,@,KAN,L 10-33,,1,0,0,,0,0.0%,0.00,0,0,,0,4,113,28.25,0,1,0,0.00,0,0,0,0.0,0,0,0,0,0,2,1,0,1,0,0,8,13%,0,0%,11,35%,
5,2016,2017-01-01,16,17,22.146,DEN,,OAK,W 24-6,,1,0,0,,0,0.0%,0.00,0,0,,0,2,24,12.00,0,4,50,12.50,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,11,15%,0,0%,10,38%,
6,2017,2017-09-10,1,1,23.033,NYJ,@,BUF,L 12-21,,0,0,0,,0,0.0%,,0,0,,0,2,45,22.50,0,3,27,9.00,0,0,0,0.0,0,0,0,,,2,0,0,2,0,0,0,0%,0,0%,10,38%,
7,2017,2017-09-17,2,2,23.040,NYJ,@,OAK,L 20-45,,0,0,0,,0,0.0%,,0,0,,0,1,40,40.00,0,2,11,5.50,0,0,0,0.0,0,0,0,,,1,1,0,0,0,0,0,0%,0,0%,11,37%,
8,2017,2017-11-19,10,11,23.103,NYG,,KAN,W 12-9,,1,1,12,12.00,0,100.0%,12.00,1,-1,-1.00,0,1,6,6.00,0,2,8,4.00,0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,2,3%,0,0%,16,62%,
9,2017,2017-11-23,11,12,23.107,NYG,@,WAS,L 10-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,8,4.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,1,2%,0,0%,21,70%,
10,2017,2017-12-03,12,13,23.117,NYG,@,OAK,L 17-24,,0,0,0,,0,0.0%,,0,0,,0,2,32,16.00,0,2,10,5.00,0,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0%,0,0%,17,61%,
