Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
21,2022,2022-10-02,4,4,,DET,,SEA,L 45-48,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
22,2022,2022-10-09,5,5,22.350,DET,@,NWE,L 0-29,*,6,4,18,4.50,0,66.7%,3.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,21,32%,0,0%,0,0%,
23,2022,2022-10-23,6,7,22.364,DET,@,DAL,L 6-24,*,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,10,17%,0,0%,0,0%,
24,2022,2022-10-30,7,8,23.006,DET,,MIA,L 27-31,*,10,7,69,9.86,0,70.0%,6.90,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,57,95%,0,0%,0,0%,
25,2022,2022-11-06,8,9,23.013,DET,,GNB,W 15-9,*,9,4,55,13.75,0,44.4%,6.11,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,60,97%,0,0%,0,0%,
26,2022,2022-11-13,9,10,23.020,DET,@,CHI,W 31-30,*,11,10,119,11.90,0,90.9%,10.82,1,2,2.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,50,81%,0,0%,0,0%,
27,2022,2022-11-20,10,11,23.027,DET,@,NYG,W 31-18,*,8,7,76,10.86,0,87.5%,9.50,1,4,4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,60,90%,0,0%,1,4%,
28,2022,2022-11-24,11,12,23.031,DET,,BUF,L 25-28,*,10,9,122,13.56,1,90.0%,12.20,1,7,7.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,62,87%,0,0%,0,0%,
29,2022,2022-12-04,12,13,23.041,DET,,JAX,W 40-14,*,12,11,114,10.36,2,91.7%,9.50,1,2,2.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,66,87%,0,0%,0,0%,
30,2022,2022-12-11,13,14,23.048,DET,,MIN,W 34-23,*,9,6,68,11.33,0,66.7%,7.56,1,6,6.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,61,87%,0,0%,1,3%,
