Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
102,2020,2020-10-18,6,6,27.055,CHI,@,CAR,W 23-16,*,9,5,53,10.60,0,55.6%,5.89,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,58,88%,0,0%,0,0%,
103,2020,2020-10-26,7,7,27.063,CHI,@,LAR,L 10-24,*,4,4,70,17.50,0,100.0%,17.50,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,50,79%,0,0%,0,0%,
104,2020,2020-11-01,8,8,27.069,CHI,,NOR,L 23-26,*,7,6,87,14.50,1,85.7%,12.43,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,68,97%,0,0%,0,0%,
105,2020,2020-11-08,9,9,27.076,CHI,@,TEN,L 17-24,*,9,7,81,11.57,0,77.8%,9.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,73,95%,0,0%,0,0%,
106,2020,2020-11-16,10,10,27.084,CHI,,MIN,L 13-19,*,9,6,43,7.17,0,66.7%,4.78,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,90%,0,0%,0,0%,
107,2020,2020-11-29,11,12,27.097,CHI,@,GNB,L 25-41,*,13,8,74,9.25,2,61.5%,5.69,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,64,94%,0,0%,0,0%,
108,2020,2020-12-06,12,13,27.104,CHI,,DET,L 30-34,*,7,6,75,12.50,0,85.7%,10.71,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,74%,0,0%,1,3%,
109,2020,2020-12-13,13,14,27.111,CHI,,HOU,W 36-7,*,13,9,123,13.67,1,69.2%,9.46,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,45,75%,0,0%,0,0%,
110,2020,2020-12-20,14,15,27.118,CHI,@,MIN,W 33-27,*,5,4,83,20.75,0,80.0%,16.60,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,57,89%,0,0%,0,0%,
111,2020,2020-12-27,15,16,27.125,CHI,@,JAX,W 41-17,*,13,10,103,10.30,0,76.9%,7.92,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,49,68%,0,0%,1,3%,
112,2020,2021-01-03,16,17,27.132,CHI,,GNB,L 16-35,*,5,2,37,18.50,0,40.0%,7.40,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,71,95%,0,0%,0,0%,
113,2021,2021-09-12,1,1,28.019,CHI,@,LAR,L 14-34,*,11,6,35,5.83,0,54.5%,3.18,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,63,91%,0,0%,0,0%,
114,2021,2021-09-19,2,2,28.026,CHI,,CIN,W 20-17,*,4,2,24,12.00,1,50.0%,6.00,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,52,80%,0,0%,1,5%,
115,2021,2021-09-26,3,3,28.033,CHI,@,CLE,L 6-26,*,6,2,27,13.50,0,33.3%,4.50,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,40,89%,0,0%,0,0%,
116,2021,2021-10-03,4,4,28.040,CHI,,DET,W 24-14,*,3,3,63,21.00,0,100.0%,21.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,40,69%,0,0%,0,0%,
117,2021,2021-10-10,5,5,28.047,CHI,@,LVR,W 20-9,*,5,4,32,8.00,0,80.0%,6.40,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,83%,0,0%,0,0%,
118,2021,2021-10-17,6,6,28.054,CHI,,GNB,L 14-24,*,7,4,53,13.25,0,57.1%,7.57,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,92%,0,0%,0,0%,
119,2021,2021-10-24,7,7,28.061,CHI,@,TAM,L 3-38,*,4,2,16,8.00,0,50.0%,4.00,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,62,94%,0,0%,0,0%,
120,2021,2021-10-31,8,8,28.068,CHI,,SFO,L 22-33,*,4,3,21,7.00,0,75.0%,5.25,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,80%,0,0%,0,0%,
121,2021,2021-11-08,9,9,28.076,CHI,@,PIT,L 27-29,*,6,4,68,17.00,0,66.7%,11.33,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,48,77%,0,0%,0,0%,
122,2021,2021-11-21,10,11,,CHI,,BAL,L 13-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
123,2021,2021-11-25,11,12,,CHI,@,DET,W 16-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
124,2021,2021-12-05,12,13,,CHI,,ARI,L 22-33,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
125,2021,2021-12-12,13,14,28.110,CHI,@,GNB,L 30-45,*,6,2,14,7.00,0,33.3%,2.33,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,48,77%,0,0%,0,0%,
126,2021,2021-12-20,14,15,,CHI,,MIN,L 9-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
127,2021,2021-12-26,15,16,,CHI,@,SEA,W 25-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
128,2021,2022-01-02,16,17,28.131,CHI,,NYG,W 29-3,,6,4,35,8.75,0,66.7%,5.83,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,46,70%,0,0%,0,0%,
129,2021,2022-01-09,17,18,28.138,CHI,@,MIN,L 17-31,*,4,2,22,11.00,0,50.0%,5.50,0,0,,0,1,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,53,65%,0,0%,0,0%,
130,2022,2022-09-08,1,1,29.015,LAR,,BUF,L 10-31,*,2,1,12,12.00,0,50.0%,6.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,65,97%,0,0%,0,0%,
131,2022,2022-09-18,2,2,29.025,LAR,,ATL,W 31-27,*,5,4,53,13.25,1,80.0%,10.60,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,57,90%,0,0%,0,0%,
132,2022,2022-09-25,3,3,29.032,LAR,@,ARI,W 20-12,*,5,2,23,11.50,0,40.0%,4.60,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,44,92%,0,0%,0,0%,
133,2022,2022-10-03,4,4,29.040,LAR,@,SFO,L 9-24,*,6,2,7,3.50,0,33.3%,1.17,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,73,99%,0,0%,0,0%,
134,2022,2022-10-09,5,5,29.046,LAR,,DAL,L 10-22,*,5,3,12,4.00,0,60.0%,2.40,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,54,83%,0,0%,0,0%,
135,2022,2022-10-16,6,6,29.053,LAR,,CAR,W 24-10,*,6,5,63,12.60,1,83.3%,10.50,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,56,86%,0,0%,0,0%,
136,2022,2022-10-30,7,8,29.067,LAR,,SFO,L 14-31,*,7,5,54,10.80,0,71.4%,7.71,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,54,93%,0,0%,0,0%,
137,2022,2022-11-06,8,9,29.074,LAR,@,TAM,L 13-16,*,5,3,24,8.00,0,60.0%,4.80,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,89%,0,0%,0,0%,
138,2022,2022-11-13,9,10,29.081,LAR,,ARI,L 17-27,*,6,4,44,11.00,0,66.7%,7.33,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,55,92%,0,0%,0,0%,
139,2022,2022-11-20,10,11,29.088,LAR,@,NOR,L 20-27,*,5,4,47,11.75,1,80.0%,9.40,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,53,83%,0,0%,0,0%,
140,2022,2022-11-27,11,12,,LAR,@,KAN,L 10-26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
141,2022,2022-12-04,12,13,,LAR,,SEA,L 23-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
142,2022,2022-12-08,13,14,,LAR,,LVR,W 17-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
143,2022,2022-12-19,14,15,,LAR,@,GNB,L 12-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
144,2022,2022-12-25,15,16,,LAR,,DEN,W 51-14,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
145,2022,2023-01-01,16,17,,LAR,@,LAC,L 10-31,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
146,2022,2023-01-08,17,18,,LAR,@,SEA,L 16-19,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
147,2023,2023-09-10,1,1,30.017,PIT,,SFO,L 7-30,*,8,5,64,12.80,0,62.5%,8.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,89%,0,0%,0,0%,
148,2023,2023-09-18,2,2,30.025,PIT,,CLE,W 26-22,*,3,2,12,6.00,0,66.7%,4.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,87%,0,0%,0,0%,
149,2023,2023-09-24,3,3,30.031,PIT,@,LVR,W 23-18,*,4,4,24,6.00,0,100.0%,6.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,50,81%,0,0%,1,3%,
150,2023,2023-10-01,4,4,30.038,PIT,@,HOU,L 6-30,*,2,1,8,8.00,0,50.0%,4.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,50,85%,0,0%,0,0%,
151,2023,2023-10-08,5,5,30.045,PIT,,BAL,W 17-10,*,9,5,29,5.80,0,55.6%,3.22,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,57,86%,0,0%,0,0%,
152,2023,2023-10-22,6,7,30.059,PIT,@,LAR,W 24-17,*,1,1,7,7.00,0,100.0%,7.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,38,64%,0,0%,0,0%,
153,2023,2023-10-29,7,8,30.066,PIT,,JAX,L 10-20,*,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,46,69%,0,0%,0,0%,
154,2023,2023-11-02,8,9,30.070,PIT,,TEN,W 20-16,*,2,1,10,10.00,0,50.0%,5.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,72%,0,0%,0,0%,
155,2023,2023-11-12,9,10,30.080,PIT,,GNB,W 23-19,*,,,,,,0.0%,,,,,,,0,0,,,,,,,,,,,,,50,77%,0,0%,0,0%,
156,2023,2023-11-19,10,11,30.087,PIT,@,CLE,L 10-13,*,4,3,20,6.67,0,75.0%,5.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,78%,0,0%,0,0%,
157,2023,2023-11-26,11,12,30.094,PIT,@,CIN,W 16-10,*,1,1,11,11.00,0,100.0%,11.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,63%,0,0%,1,4%,
158,2023,2023-12-03,12,13,30.101,PIT,,ARI,L 10-24,*,3,3,19,6.33,0,100.0%,6.33,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,33,54%,0,0%,0,0%,
159,2023,2023-12-07,13,14,30.105,PIT,,NWE,L 18-21,*,3,1,21,21.00,0,33.3%,7.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,41,59%,0,0%,0,0%,
160,2023,2023-12-16,14,15,30.114,PIT,@,IND,L 13-30,*,3,3,19,6.33,0,100.0%,6.33,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,36,62%,0,0%,0,0%,
161,2023,2023-12-23,15,16,30.121,PIT,,CIN,W 34-11,*,4,4,36,9.00,0,100.0%,9.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,40,68%,0,0%,0,0%,
162,2023,2023-12-31,16,17,30.129,PIT,@,SEA,W 30-23,*,,,,,,0.0%,,,,,,,0,0,,,,,,,,,,,,,48,67%,0,0%,1,4%,
163,2023,2024-01-06,17,18,30.135,PIT,@,BAL,W 17-10,*,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,42,68%,0,0%,1,4%,
164,2024,2024-09-08,1,1,,DET,,LAR,W 26-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
165,2024,2024-09-15,2,2,,DET,,TAM,L 16-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
166,2024,2024-09-22,3,3,31.029,DET,@,ARI,W 20-13,,,,,,,0.0%,,,,,,,0,0,,,,,,,,,,,,,1,1%,0,0%,0,0%,
167,2024,2024-09-30,4,4,,DET,,SEA,W 42-29,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
168,2024,2024-10-13,5,6,31.050,DET,@,DAL,W 47-9,,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,9,13%,0,0%,0,0%,
169,2024,2024-10-20,6,7,,DET,@,MIN,W 31-29,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
170,2024,2024-10-27,7,8,31.064,DET,,TEN,W 52-14,,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,21,44%,0,0%,0,0%,
171,2024,2024-11-03,8,9,31.071,DET,@,GNB,W 24-14,,1,1,2,2.00,0,100.0%,2.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,11,19%,0,0%,0,0%,
172,2024,2024-11-10,9,10,31.078,DET,@,HOU,W 26-23,,,,,,,0.0%,,,,,,,0,0,,,,,,,,,,,,,4,6%,0,0%,0,0%,
173,2024,2024-11-17,10,11,31.085,DET,,JAX,W 52-6,,2,1,7,7.00,0,50.0%,3.50,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,11,14%,0,0%,0,0%,
174,2024,2024-11-24,11,12,31.092,DET,@,IND,W 24-6,,,,,,,0.0%,,,,,,,0,0,,,,,,,,,,,,,4,6%,0,0%,0,0%,
