Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
1,2023,2023-09-07,1,1,23.016,DET,@,KAN,W 21-20,,0.0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,25,38%,15,56%
2,2023,2023-09-17,2,2,23.026,DET,,SEA,L 31-37,,0.0,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,23,32%,13,47%
3,2023,2023-09-24,3,3,23.033,DET,,ATL,W 20-6,*,1.0,3,3,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,38,57%,13,48%
4,2023,2023-09-28,4,4,23.037,DET,@,GNB,W 34-20,,0.0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,35,61%,15,50%
5,2023,2023-10-08,5,5,23.047,DET,,CAR,W 42-24,,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,32,45%,14,52%
6,2023,2023-10-15,6,6,23.054,DET,@,TAM,W 20-6,*,0.0,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,29,52%,7,28%
7,2023,2023-10-22,7,7,23.061,DET,@,BAL,L 6-38,*,0.0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,54,90%,11,52%
8,2023,2023-10-30,8,8,23.069,DET,,LVR,W 26-14,*,0.0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,31,67%,1,4%
9,2023,2023-11-12,9,10,23.082,DET,@,LAC,W 41-38,*,0.0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,39,54%,2,7%
10,2023,2023-11-19,10,11,23.089,DET,,CHI,W 31-26,*,0.0,5,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,46,61%,10,38%
11,2023,2023-11-23,11,12,23.093,DET,,GNB,L 22-29,*,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,31,55%,9,39%
12,2023,2023-12-03,12,13,23.103,DET,@,NOR,W 33-28,*,0.0,4,5,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0%,53,79%,5,17%
13,2023,2023-12-10,13,14,23.110,DET,@,CHI,L 13-28,*,0.0,6,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,42,59%,11,46%
14,2023,2023-12-16,14,15,23.116,DET,,DEN,W 42-17,,0.0,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,33,52%,14,48%
15,2023,2023-12-24,15,16,23.124,DET,@,MIN,W 30-24,*,0.0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,47,85%,6,23%
16,2023,2023-12-30,16,17,23.130,DET,@,DAL,L 19-20,*,0.0,2,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,40,62%,14,54%
17,2023,2024-01-07,17,18,23.138,DET,,MIN,W 30-20,*,1.0,7,5,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,41,56%,13,46%
18,2024,2024-09-08,1,1,24.017,DET,,LAR,W 26-20,*,0.0,2,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,44,56%,9,35%
19,2024,2024-09-15,2,2,24.024,DET,,TAM,L 16-20,*,0.0,4,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0%,35,73%,8,31%
20,2024,2024-09-22,3,3,24.031,DET,@,ARI,W 20-13,*,0.0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,59,100%,8,35%
21,2024,2024-09-30,4,4,24.039,DET,,SEA,W 42-29,*,0.0,6,1,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0%,61,68%,3,10%
22,2024,2024-10-13,5,6,24.052,DET,@,DAL,W 47-9,*,0.0,1,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,48,70%,0,0%
23,2024,2024-10-20,6,7,24.059,DET,@,MIN,W 31-29,*,1.0,5,2,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,47,78%,11,35%
24,2024,2024-10-27,7,8,24.066,DET,,TEN,W 52-14,*,0.0,6,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,72,95%,15,45%
25,2024,2024-11-03,8,9,24.073,DET,@,GNB,W 24-14,*,0.0,6,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,60,92%,11,50%
26,2024,2024-11-10,9,10,24.080,DET,@,HOU,W 26-23,*,0.0,5,2,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,68,100%,4,13%
27,2024,2024-11-17,10,11,24.087,DET,,JAX,W 52-6,*,0.5,3,6,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,45,94%,1,4%
28,2024,2024-11-24,11,12,24.094,DET,@,IND,W 24-6,*,0.0,5,4,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0%,55,100%,4,17%
