Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2021,2021-09-12,1,1,20.338,DET,,SFO,L 33-41,*,,,,,,0.0%,,,,,,,,92,100%,0,0%,4,13%,
2,2021,2021-09-20,2,2,20.346,DET,@,GNB,L 17-35,*,,,,,,0.0%,,,,,,,,57,100%,0,0%,3,13%,
3,2021,2021-09-26,3,3,20.352,DET,,BAL,L 17-19,*,,,,,,0.0%,,,,,,,,63,100%,0,0%,3,11%,
4,2021,2021-10-03,4,4,20.359,DET,@,CHI,L 14-24,*,,,,,,0.0%,,,,,,,,71,100%,0,0%,2,10%,
5,2021,2021-10-10,5,5,21.001,DET,@,MIN,L 17-19,*,,,,,,0.0%,,,,,,,,68,100%,0,0%,0,0%,
6,2021,2021-10-17,6,6,21.008,DET,,CIN,L 11-34,*,,,,,,0.0%,,,,,,,,63,100%,0,0%,1,4%,
7,2021,2021-10-24,7,7,21.015,DET,@,LAR,L 19-28,*,,,,,,0.0%,,,,,,,,69,100%,0,0%,5,20%,
8,2021,2021-10-31,8,8,21.022,DET,,PHI,L 6-44,*,,,,,,0.0%,,,,,,,,58,94%,0,0%,1,4%,
9,2021,2021-11-14,9,10,21.036,DET,@,PIT,T 16-16,*,,,,,,0.0%,,,,,,,,71,100%,0,0%,4,12%,
10,2021,2021-11-21,10,11,21.043,DET,@,CLE,L 10-13,*,,,,,,0.0%,,,,,,,,48,100%,0,0%,2,9%,
11,2021,2021-11-25,11,12,21.047,DET,,CHI,L 14-16,*,,,,,,0.0%,,,,,,,,49,100%,0,0%,1,4%,
12,2021,2021-12-05,12,13,21.057,DET,,MIN,W 29-27,*,,,,,,0.0%,,,,,,,,72,100%,0,0%,0,0%,
13,2021,2021-12-12,13,14,21.064,DET,@,DEN,L 10-38,*,,,,,,0.0%,,,,,,,,63,100%,0,0%,0,0%,
14,2021,2021-12-19,14,15,21.071,DET,,ARI,W 30-12,*,,,,,,0.0%,,,,,,,,65,100%,0,0%,0,0%,
15,2021,2021-12-26,15,16,21.078,DET,@,ATL,L 16-20,*,,,,,,0.0%,,,,,,,,67,100%,0,0%,0,0%,
16,2021,2022-01-02,16,17,21.085,DET,@,SEA,L 29-51,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,63,100%,0,0%,0,0%,
17,2021,2022-01-09,17,18,,DET,,GNB,W 37-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
18,2022,2022-09-11,1,1,21.337,DET,,PHI,L 35-38,*,,,,,,0.0%,,,,,,,,69,100%,0,0%,5,16%,
19,2022,2022-09-18,2,2,21.344,DET,,WAS,W 36-27,*,,,,,,0.0%,,,,,,,,61,100%,0,0%,6,19%,
20,2022,2022-09-25,3,3,21.351,DET,@,MIN,L 24-28,*,,,,,,0.0%,,,,,,,,78,100%,0,0%,6,21%,
21,2022,2022-10-02,4,4,21.358,DET,,SEA,L 45-48,*,,,,,,0.0%,,,,,,,,74,100%,0,0%,5,15%,
22,2022,2022-10-09,5,5,22.000,DET,@,NWE,L 0-29,*,,,,,,0.0%,,,,,,,,66,100%,0,0%,0,0%,
23,2022,2022-10-23,6,7,22.014,DET,@,DAL,L 6-24,*,0,0,0,,0,0.0%,,0,0,1,0,0,0,59,100%,0,0%,2,9%,
24,2022,2022-10-30,7,8,22.021,DET,,MIA,L 27-31,*,,,,,,0.0%,,,,,,,,60,100%,0,0%,5,20%,
25,2022,2022-11-06,8,9,22.028,DET,,GNB,W 15-9,*,,,,,,0.0%,,,,,,,,62,100%,0,0%,2,15%,
26,2022,2022-11-13,9,10,22.035,DET,@,CHI,W 31-30,*,,,,,,0.0%,,,,,,,,62,100%,0,0%,5,17%,
27,2022,2022-11-20,10,11,22.042,DET,@,NYG,W 31-18,*,,,,,,0.0%,,,,,,,,67,100%,0,0%,5,19%,
28,2022,2022-11-24,11,12,22.046,DET,,BUF,L 25-28,*,,,,,,0.0%,,,,,,,,71,100%,0,0%,4,15%,
29,2022,2022-12-04,12,13,22.056,DET,,JAX,W 40-14,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,76,100%,0,0%,8,31%,
30,2022,2022-12-11,13,14,22.063,DET,,MIN,W 34-23,*,1,1,9,9.00,0,100.0%,9.00,0,0,0,0,0,0,70,100%,0,0%,7,24%,
31,2022,2022-12-18,14,15,22.070,DET,@,NYJ,W 20-17,*,,,,,,0.0%,,,,,,,,68,100%,0,0%,5,18%,
32,2022,2022-12-24,15,16,22.076,DET,@,CAR,L 23-37,*,,,,,,0.0%,,,,,,,,66,100%,0,0%,3,10%,
33,2022,2023-01-01,16,17,22.084,DET,,CHI,W 41-10,*,,,,,,0.0%,,,,,,,,71,100%,0,0%,7,23%,
34,2022,2023-01-08,17,18,22.091,DET,@,GNB,W 20-16,*,,,,,,0.0%,,,,,,,,62,100%,0,0%,6,24%,
35,2023,2023-09-07,1,1,22.333,DET,@,KAN,W 21-20,*,,,,,,0.0%,,,,,,,,70,100%,0,0%,3,11%,
36,2023,2023-09-17,2,2,22.343,DET,,SEA,L 31-37,*,,,,,,0.0%,,,,,,,,66,100%,0,0%,5,18%,
37,2023,2023-09-24,3,3,22.350,DET,,ATL,W 20-6,*,,,,,,0.0%,,,,,,,,70,100%,0,0%,4,15%,
38,2023,2023-09-28,4,4,22.354,DET,@,GNB,W 34-20,*,,,,,,0.0%,,,,,,,,75,100%,0,0%,7,23%,
39,2023,2023-10-08,5,5,22.364,DET,,CAR,W 42-24,*,,,,,,0.0%,,,,,,,,60,100%,0,0%,6,22%,
40,2023,2023-10-15,6,6,23.006,DET,@,TAM,W 20-6,*,,,,,,0.0%,,,,,,,,70,100%,0,0%,5,20%,
41,2023,2023-10-22,7,7,23.013,DET,@,BAL,L 6-38,*,0,0,0,,0,0.0%,,0,0,0,1,0,0,75,100%,0,0%,0,0%,
42,2023,2023-10-30,8,8,23.021,DET,,LVR,W 26-14,*,,,,,,0.0%,,,,,,,,86,100%,0,0%,7,28%,
43,2023,2023-11-12,9,10,23.034,DET,@,LAC,W 41-38,*,,,,,,0.0%,,,,,,,,66,100%,0,0%,7,23%,
44,2023,2023-11-19,10,11,23.041,DET,,CHI,W 31-26,*,,,,,,0.0%,,,,,,,,62,100%,0,0%,3,12%,
