Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct,Status
1,2017,2017-10-29,7,8,23.039,DET,,PIT,L 15-20,,0,0,0,,0,0.0%,,0.0,0,0,0,,,10,14%,0,0%,5,19%,
2,2019,2019-10-20,7,7,25.030,HOU,@,IND,L 23-30,,,,,,,0.0%,,,,,,,,25,40%,0,0%,6,21%,
3,2019,2019-10-27,8,8,25.037,HOU,,OAK,W 27-24,,,,,,,0.0%,,,,,,,,14,18%,0,0%,5,17%,
4,2019,2019-11-03,9,9,25.044,HOU,@,JAX,W 26-3,,,,,,,0.0%,,,,,,,,0,0%,0,0%,6,27%,
5,2019,2019-11-17,,11,,DET,,DAL,L 27-35,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,2019,2019-12-15,14,15,25.086,DET,,TAM,L 17-38,,,,,,,0.0%,,,,,,,,2,3%,0,0%,9,30%,
7,2019,2019-12-22,15,16,25.093,DET,@,DEN,L 17-27,,,,,,,0.0%,,,,,,,,2,4%,1,1%,8,30%,
8,2019,2019-12-29,16,17,25.100,DET,,GNB,L 20-23,,,,,,,0.0%,,,,,,,,2,3%,0,0%,10,32%,
9,2020,2020-11-15,9,10,26.056,DET,,WAS,W 30-27,,,,,,,0.0%,,,,,,,,0,0%,0,0%,6,19%,
10,2020,2020-12-13,13,14,26.084,DET,,GNB,L 24-31,,,,,,,0.0%,,,,,,,,2,3%,0,0%,6,23%,
11,2020,2020-12-20,14,15,26.091,DET,@,TEN,L 25-46,,,,,,,0.0%,,,,,,,,0,0%,0,0%,10,38%,
12,2020,2020-12-26,15,16,26.097,DET,,TAM,L 7-47,,,,,,,0.0%,,,,,,,,0,0%,0,0%,9,30%,
13,2020,2021-01-03,16,17,26.105,DET,,MIN,L 35-37,,0,0,0,,0,0.0%,,0.0,0,1,1,0,0,1,2%,9,11%,11,37%,
14,2021,2021-10-17,6,6,,LVR,@,DEN,W 34-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,2021,2021-10-24,7,7,,LVR,,PHI,W 33-22,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,2021,2021-11-21,10,11,,DET,@,CLE,L 10-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,2021,2021-11-25,11,12,,DET,,CHI,L 14-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
18,2021,2021-12-05,12,13,,DET,,MIN,W 29-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
19,2021,2021-12-12,13,14,,DET,@,DEN,L 10-38,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
20,2021,2021-12-19,14,15,27.090,DET,,ARI,W 30-12,,,,,,,0.0%,,,,,,,,0,0%,0,0%,6,24%,
21,2021,2021-12-26,15,16,,DET,@,ATL,L 16-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
22,2021,2022-01-02,16,17,,DET,@,SEA,L 29-51,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
23,2021,2022-01-09,17,18,,DET,,GNB,W 37-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
24,2022,2022-09-11,1,1,,DET,,PHI,L 35-38,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
25,2022,2022-09-18,2,2,27.363,DET,,WAS,W 36-27,*,,,,,,0.0%,,,,,,,,61,100%,0,0%,6,19%,
26,2022,2022-09-25,3,3,28.005,DET,@,MIN,L 24-28,*,,,,,,0.0%,,,,,,,,78,100%,0,0%,6,21%,
27,2022,2022-10-02,4,4,28.012,DET,,SEA,L 45-48,*,,,,,,0.0%,,,,,,,,74,100%,0,0%,5,15%,
28,2022,2022-10-09,5,5,28.019,DET,@,NWE,L 0-29,,,,,,,0.0%,,,,,,,,1,2%,0,0%,0,0%,
29,2022,2022-10-23,6,7,28.033,DET,@,DAL,L 6-24,,,,,,,0.0%,,,,,,,,8,14%,0,0%,2,9%,
30,2022,2022-10-30,7,8,28.040,DET,,MIA,L 27-31,,,,,,,0.0%,,,,,,,,0,0%,0,0%,5,20%,
31,2022,2022-11-06,8,9,28.047,DET,,GNB,W 15-9,*,0,0,0,,0,0.0%,,0.0,1,0,1,0,0,8,13%,0,0%,2,15%,
32,2022,2022-11-13,9,10,28.054,DET,@,CHI,W 31-30,,,,,,,0.0%,,,,,,,,5,8%,0,0%,5,17%,
33,2022,2022-11-20,10,11,28.061,DET,@,NYG,W 31-18,,,,,,,0.0%,,,,,,,,54,81%,0,0%,5,19%,
34,2022,2022-11-24,11,12,28.065,DET,,BUF,L 25-28,*,,,,,,0.0%,,,,,,,,71,100%,0,0%,4,15%,
35,2022,2022-12-04,12,13,28.075,DET,,JAX,W 40-14,,,,,,,0.0%,,,,,,,,4,5%,0,0%,8,31%,
36,2022,2022-12-11,13,14,28.082,DET,,MIN,W 34-23,,,,,,,0.0%,,,,,,,,3,4%,0,0%,7,24%,
37,2022,2022-12-18,14,15,28.089,DET,@,NYJ,W 20-17,,,,,,,0.0%,,,,,,,,3,4%,0,0%,5,18%,
38,2022,2022-12-24,15,16,28.095,DET,@,CAR,L 23-37,,,,,,,0.0%,,,,,,,,2,3%,0,0%,3,10%,
39,2022,2023-01-01,16,17,28.103,DET,,CHI,W 41-10,,,,,,,0.0%,,,,,,,,13,18%,0,0%,7,23%,
40,2022,2023-01-08,17,18,28.110,DET,@,GNB,W 20-16,,,,,,,0.0%,,,,,,,,2,3%,0,0%,6,24%,
41,2023,2023-09-24,3,3,29.004,DET,,ATL,W 20-6,,,,,,,0.0%,,,,,,,,16,23%,0,0%,3,11%,
42,2023,2023-09-28,4,4,,DET,@,GNB,W 34-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
43,2023,2023-10-08,5,5,,DET,,CAR,W 42-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
44,2023,2023-10-15,6,6,29.025,DET,@,TAM,W 20-6,,,,,,,0.0%,,,,,,,,4,6%,0,0%,0,0%,
