Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct
1.0,2024.0,2024-09-08,1.0,1.0,25.189,DET,,LAR,W 26-20,,2,2,100.0,2.0,2.0,100.0,0,8,0.0,0,0,0,0,0,0.0,0%,0.0,0%,9.0,35%
2.0,2024.0,2024-09-15,2.0,2.0,25.196,DET,,TAM,L 16-20,,1,1,100.0,3.0,3.0,100.0,0,10,0.0,0,0,0,0,0,1.0,1%,0.0,0%,9.0,35%
3.0,2024.0,2024-09-22,3.0,3.0,25.203,DET,@,ARI,W 20-13,,2,3,66.7,,,,0,2,0.0,0,0,0,0,0,0.0,0%,0.0,0%,7.0,30%
4.0,2024.0,2024-09-30,4.0,4.0,25.211,DET,,SEA,W 42-29,,6,6,100.0,,,,0,6,0.0,1,0,1,0,0,0.0,0%,0.0,0%,14.0,48%
5.0,2024.0,2024-10-13,5.0,6.0,25.224,DET,@,DAL,W 47-9,,5,5,100.0,4.0,4.0,100.0,0,17,0.0,1,0,1,0,0,0.0,0%,0.0,0%,19.0,68%
6.0,2024.0,2024-10-20,6.0,7.0,25.231,DET,@,MIN,W 31-29,,4,4,100.0,1.0,1.0,100.0,0,7,0.0,0,0,0,0,0,0.0,0%,0.0,0%,11.0,35%
7.0,2024.0,2024-10-27,7.0,8.0,25.238,DET,,TEN,W 52-14,,7,7,100.0,1.0,1.0,100.0,0,10,0.0,0,0,0,0,0,0.0,0%,0.0,0%,17.0,52%
8.0,2024.0,2024-11-03,8.0,9.0,25.245,DET,@,GNB,W 24-14,,3,3,100.0,1.0,1.0,100.0,0,6,0.0,0,0,0,0,0,0.0,0%,0.0,0%,9.0,41%
9.0,2024.0,2024-11-10,9.0,10.0,25.252,DET,@,HOU,W 26-23,,2,2,100.0,2.0,2.0,100.0,0,8,0.0,0,0,0,0,0,0.0,0%,0.0,0%,9.0,30%
10.0,2024.0,2024-11-17,10.0,11.0,25.259,DET,,JAX,W 52-6,,7,7,100.0,1.0,1.0,100.0,0,10,0.0,0,0,0,0,0,0.0,0%,0.0,0%,17.0,65%
11.0,2024.0,2024-11-24,11.0,12.0,25.266,DET,@,IND,W 24-6,,3,3,100.0,1.0,1.0,100.0,0,6,0.0,0,0,0,0,0,0.0,0%,0.0,0%,9.0,38%
