Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2018,2018-09-09,1,1,22.092,ARI,,WAS,L 6-24,,0,0,,0,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,16,80%,
2,2018,2018-09-16,2,2,22.099,ARI,@,LAR,L 0-34,,0,0,,0,0,0,0,,0,0.0%,,0.0,3,0,3,,,0,0,0,0,0,0,0,0%,0,0%,15,83%,
3,2018,2018-09-23,3,3,22.106,ARI,,CHI,L 14-16,,0,0,,0,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,15,68%,
4,2018,2018-09-30,4,4,22.113,ARI,,SEA,L 17-20,,0,0,,0,0,0,0,,0,0.0%,,0.0,3,0,3,,,0,0,0,0,0,0,0,0%,0,0%,16,57%,
5,2018,2018-10-07,5,5,22.120,ARI,@,SFO,W 28-18,,0,0,,0,0,0,0,,0,0.0%,,0.0,1,0,1,,,0,0,0,0,0,0,0,0%,0,0%,21,78%,
6,2018,2018-10-14,6,6,22.127,ARI,@,MIN,L 17-27,,0,0,,0,0,0,0,,0,0.0%,,0.0,2,0,2,,,0,0,0,0,0,0,0,0%,0,0%,21,72%,
7,2018,2018-10-18,7,7,22.131,ARI,,DEN,L 10-45,,0,0,,0,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,23,72%,
8,2018,2018-10-28,8,8,22.141,ARI,,SFO,W 18-15,,0,0,,0,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,21,81%,
9,2018,2018-11-11,9,10,22.155,ARI,@,KAN,L 14-26,,0,0,,0,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,19,76%,
10,2018,2018-11-18,10,11,22.162,ARI,,OAK,L 21-23,,0,0,,0,0,0,0,,0,0.0%,,0.0,2,0,2,,,0,0,0,0,0,0,0,0%,0,0%,24,73%,
11,2018,2018-11-25,11,12,22.169,ARI,@,LAC,L 10-45,,0,0,,0,0,0,0,,0,0.0%,,0.0,2,1,3,,,0,0,0,0,0,0,0,0%,1,1%,25,89%,
12,2018,2018-12-02,12,13,22.176,ARI,@,GNB,W 20-17,,0,0,,0,0,0,0,,0,0.0%,,0.0,0,1,1,,,0,0,0,0,0,0,0,0%,1,1%,27,87%,
13,2018,2018-12-09,13,14,22.183,ARI,,DET,L 3-17,*,0,0,,0,0,0,0,,0,0.0%,,0.0,0,1,1,,,0,0,0,0,0,0,0,0%,14,23%,22,92%,
14,2018,2018-12-16,14,15,22.190,ARI,@,ATL,L 14-40,,0,0,,0,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,2,3%,31,94%,
15,2018,2018-12-23,15,16,22.197,ARI,,LAR,L 9-31,,0,0,,0,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,23,88%,
16,2018,2018-12-30,16,17,22.204,ARI,@,SEA,L 24-27,,0,0,,0,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,28,85%,
17,2019,2019-09-08,1,1,23.091,ARI,,DET,T 27-27,,0,0,,0,0,0,0,,0,0.0%,,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0%,0,0%,34,85%,
18,2019,2019-09-15,2,2,23.098,ARI,@,BAL,L 17-23,,0,0,,0,0,0,0,,0,0.0%,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,24,86%,
19,2019,2019-09-22,,3,,ARI,,CAR,L 20-38,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
20,2019,2019-09-29,4,4,23.112,ARI,,SEA,L 10-27,,,,,,,,,,,0.0%,,,,,,,,0,,,0,0,0,0,0%,0,0%,22,85%,
21,2019,2019-10-06,,5,,ARI,@,CIN,W 26-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
22,2019,2019-10-13,,6,,ARI,,ATL,W 34-33,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
23,2019,2019-10-20,,7,,ARI,@,NYG,W 27-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
24,2019,2019-10-27,8,8,23.140,ARI,@,NOR,L 9-31,,,,,,,,,,,0.0%,,,,,,,,0,,,0,0,0,0,0%,0,0%,23,82%,
25,2019,2019-10-31,9,9,23.144,ARI,,SFO,L 25-28,,0,0,,0,0,0,0,,0,0.0%,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,23,88%,
26,2019,2019-11-10,10,10,23.154,ARI,@,TAM,L 27-30,,0,0,,0,0,0,0,,0,0.0%,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,27,84%,
27,2019,2019-11-17,11,11,23.161,ARI,@,SFO,L 26-36,,,,,,,,,,,0.0%,,,,,,,,0,,,0,0,0,0,0%,0,0%,21,81%,
28,2019,2019-12-01,12,13,23.175,ARI,,LAR,L 7-34,,,,,,,,,,,0.0%,,,,,,,,0,,,0,0,0,0,0%,0,0%,27,96%,
29,2019,2019-12-08,13,14,23.182,ARI,,PIT,L 17-23,,,,,,,,,,,0.0%,,,,,,,,0,,,0,0,0,0,0%,0,0%,21,84%,
30,2019,2019-12-15,14,15,23.189,ARI,,CLE,W 38-24,,0,0,,0,0,0,0,,0,0.0%,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,0,0%,21,78%,
31,2019,2019-12-22,15,16,23.196,ARI,@,SEA,W 27-13,,0,0,,0,0,0,0,,0,0.0%,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,1,2%,27,77%,
32,2019,2019-12-29,16,17,23.203,ARI,@,LAR,L 24-31,,,,,,,,,,,0.0%,,,,,,,,0,,,0,0,0,0,0%,3,4%,23,79%,
