Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7,Opp,Result,Status
1.0,2024.0,2024-09-08,1.0,1.0,,DET,,LAR,W 26-20,Did Not Play
2.0,2024.0,2024-09-15,2.0,2.0,,DET,,TAM,L 16-20,Did Not Play
3.0,2024.0,2024-09-22,3.0,3.0,,DET,@,ARI,W 20-13,Did Not Play
4.0,2024.0,2024-09-30,4.0,4.0,,DET,,SEA,W 42-29,Did Not Play
5.0,2024.0,2024-10-13,5.0,6.0,,DET,@,DAL,W 47-9,Did Not Play
6.0,2024.0,2024-10-20,6.0,7.0,,DET,@,MIN,W 31-29,Did Not Play
7.0,2024.0,2024-10-27,7.0,8.0,,DET,,TEN,W 52-14,Did Not Play
8.0,2024.0,2024-11-03,8.0,9.0,,DET,@,GNB,W 24-14,Did Not Play
9.0,2024.0,2024-11-10,9.0,10.0,,DET,@,HOU,W 26-23,Did Not Play
10.0,2024.0,2024-11-17,10.0,11.0,,DET,,JAX,W 52-6,Did Not Play
11.0,2024.0,2024-11-24,11.0,12.0,,DET,@,IND,W 24-6,Did Not Play
