Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Num,Pct,Num,Pct,Num,Pct,Status
1,2016,2016-09-11,1,1,22.019,DET,@,IND,W 39-35,*,0,0,0,,0,0.0%,,0,0,65,100%,0,0%,6,18%,
2,2016,2016-09-18,2,2,22.026,DET,,TEN,L 15-16,*,0,0,0,,0,0.0%,,0,0,79,100%,0,0%,3,13%,
3,2016,2016-09-25,3,3,22.033,DET,@,GNB,L 27-34,*,0,0,0,,0,0.0%,,0,0,68,100%,0,0%,6,21%,
4,2016,2016-10-02,4,4,22.040,DET,@,CHI,L 14-17,*,0,0,0,,0,0.0%,,0,0,63,100%,0,0%,2,9%,
5,2016,2016-10-09,5,5,22.047,DET,,PHI,W 24-23,*,0,0,0,,0,0.0%,,0,0,61,100%,0,0%,4,17%,
6,2016,2016-10-16,6,6,22.054,DET,,LAR,W 31-28,*,0,0,0,,0,0.0%,,0,0,62,100%,0,0%,5,21%,
7,2016,2016-10-23,7,7,22.061,DET,,WAS,W 20-17,*,0,0,0,,0,0.0%,,0,0,53,100%,0,0%,5,23%,
8,2016,2016-10-30,8,8,22.068,DET,@,HOU,L 13-20,*,0,0,0,,0,0.0%,,0,0,61,100%,0,0%,4,15%,
9,2016,2016-11-06,9,9,22.075,DET,@,MIN,W 22-16,*,0,0,0,,0,0.0%,,0,0,66,100%,0,0%,4,15%,
10,2016,2016-11-20,10,11,22.089,DET,,JAX,W 26-19,*,0,0,0,,0,0.0%,,0,0,57,100%,0,0%,5,16%,
11,2016,2016-11-24,11,12,22.093,DET,,MIN,W 16-13,*,0,0,0,,0,0.0%,,0,0,61,100%,0,0%,4,17%,
12,2016,2016-12-04,12,13,22.103,DET,@,NOR,W 28-13,*,0,0,0,,0,0.0%,,0,0,70,100%,0,0%,6,23%,
13,2016,2016-12-11,13,14,22.110,DET,,CHI,W 20-17,*,0,0,0,,0,0.0%,,0,0,72,100%,0,0%,4,18%,
14,2016,2016-12-18,14,15,22.117,DET,@,NYG,L 6-17,*,0,0,0,,0,0.0%,,0,0,62,100%,0,0%,2,8%,
15,2016,2016-12-26,15,16,22.125,DET,@,DAL,L 21-42,*,0,0,0,,0,0.0%,,0,0,71,100%,0,0%,4,13%,
16,2016,2017-01-01,16,17,22.131,DET,,GNB,L 24-31,*,0,0,0,,0,0.0%,,0,0,66,100%,0,0%,5,18%,
17,2017,2017-09-10,,1,,DET,,ARI,W 35-23,,,,,,,,,,,,,,,,,
18,2017,2017-09-18,,2,,DET,@,NYG,W 24-10,,,,,,,,,,,,,,,,,
19,2017,2017-09-24,,3,,DET,,ATL,L 26-30,,,,,,,,,,,,,,,,,
20,2017,2017-10-01,,4,,DET,@,MIN,W 14-7,,,,,,,,,,,,,,,,,
21,2017,2017-10-08,,5,,DET,,CAR,L 24-27,,,,,,,,,,,,,,,,,
22,2017,2017-10-15,,6,,DET,@,NOR,L 38-52,,,,,,,,,,,,,,,,,
23,2017,2017-10-29,,8,,DET,,PIT,L 15-20,,,,,,,,,,,,,,,,,
24,2017,2017-11-06,,9,,DET,@,GNB,W 30-17,,,,,,,,,,,,,,,,,
25,2017,2017-11-12,9,10,23.081,DET,,CLE,W 38-24,*,0,0,0,,0,0.0%,,0,0,36,69%,0,0%,0,0%,
26,2017,2017-11-19,10,11,23.088,DET,@,CHI,W 27-24,*,0,0,0,,0,0.0%,,0,0,63,100%,0,0%,0,0%,
27,2017,2017-11-23,11,12,23.092,DET,,MIN,L 23-30,*,0,0,0,,0,0.0%,,0,0,59,100%,0,0%,0,0%,
28,2017,2017-12-03,12,13,23.102,DET,@,BAL,L 20-44,*,0,0,0,,0,0.0%,,0,0,63,100%,0,0%,3,9%,
29,2017,2017-12-10,13,14,23.109,DET,@,TAM,W 24-21,*,0,0,0,,0,0.0%,,0,0,68,100%,0,0%,4,17%,
30,2017,2017-12-16,14,15,23.115,DET,,CHI,W 20-10,*,0,0,0,,0,0.0%,,0,0,63,100%,0,0%,4,17%,
31,2017,2017-12-24,15,16,23.123,DET,@,CIN,L 17-26,*,0,0,0,,0,0.0%,,0,0,61,100%,0,0%,4,13%,
32,2017,2017-12-31,16,17,23.130,DET,,GNB,W 35-11,*,0,0,0,,0,0.0%,,0,0,58,100%,0,0%,5,18%,
33,2018,2018-09-10,1,1,24.018,DET,,NYJ,L 17-48,*,0,0,0,,0,0.0%,,0,0,70,100%,0,0%,5,16%,
34,2018,2018-09-16,2,2,24.024,DET,@,SFO,L 27-30,*,0,0,0,,0,0.0%,,0,0,77,100%,0,0%,5,15%,
35,2018,2018-09-23,3,3,24.031,DET,,NWE,W 26-10,*,0,0,0,,0,0.0%,,0,0,73,100%,0,0%,6,24%,
