Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2022,2022-09-11,1,1,23.166,DET,,PHI,L 35-38,*,0,0,0,,0,0.0%,,0.0,4,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,46,60%,17,55%,
2,2022,2022-09-18,2,2,23.173,DET,,WAS,W 36-27,*,0,0,0,,0,0.0%,,0.0,6,2,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,54,73%,10,31%,
3,2022,2022-09-25,3,3,23.180,DET,@,MIN,L 24-28,*,0,0,0,,0,0.0%,,0.0,7,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,55,76%,3,11%,
4,2022,2022-10-02,4,4,23.187,DET,,SEA,L 45-48,*,0,0,0,,0,0.0%,,0.0,9,2,11,1,1,0,0,0,0,0,0,1,0,0,0,0,0%,55,79%,3,9%,
5,2022,2022-10-09,5,5,23.194,DET,@,NWE,L 0-29,*,0,0,0,,0,0.0%,,0.0,4,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,50,83%,2,11%,
6,2022,2022-10-23,6,7,23.208,DET,@,DAL,L 6-24,*,0,0,0,,0,0.0%,,0.0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,46,73%,4,18%,
7,2022,2022-10-30,7,8,23.215,DET,,MIA,L 27-31,*,0,0,0,,0,0.0%,,1.0,5,2,7,1,1,0,0,0,1,0,0,0,1,2,0,0,0%,46,68%,3,12%,
8,2022,2022-11-06,8,9,23.222,DET,,GNB,W 15-9,*,0,0,0,,0,0.0%,,0.0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,19,26%,3,23%,
9,2022,2022-11-13,9,10,,DET,@,CHI,W 31-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,2022,2022-11-20,10,11,23.236,DET,@,NYG,W 31-18,*,0,0,0,,0,0.0%,,0.0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,28,37%,5,19%,
11,2022,2022-11-24,11,12,23.240,DET,,BUF,L 25-28,,0,0,0,,0,0.0%,,0.0,4,2,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0%,38,49%,2,8%,
12,2022,2022-12-04,12,13,23.250,DET,,JAX,W 40-14,*,0,0,0,,0,0.0%,,0.0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,22,39%,0,0%,
13,2022,2022-12-11,13,14,23.257,DET,,MIN,W 34-23,*,0,0,0,,0,0.0%,,0.0,3,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,33,51%,4,14%,
14,2022,2022-12-18,14,15,23.264,DET,@,NYJ,W 20-17,*,0,0,0,,0,0.0%,,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,36,57%,4,14%,
15,2022,2022-12-24,15,16,23.270,DET,@,CAR,L 23-37,*,0,0,0,,0,0.0%,,0.0,3,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,42,62%,4,14%,
16,2022,2023-01-01,16,17,23.278,DET,,CHI,W 41-10,*,0,0,0,,0,0.0%,,0.0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,26,50%,3,10%,
17,2022,2023-01-08,17,18,23.285,DET,@,GNB,W 20-16,*,0,0,0,,0,0.0%,,0.0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,18,30%,4,16%,
18,2023,2023-09-07,1,1,24.162,DET,@,KAN,W 21-20,,0,0,0,,0,0.0%,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,14,22%,20,74%,
19,2023,2023-09-17,2,2,24.172,DET,,SEA,L 31-37,,0,0,0,,0,0.0%,,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,16,22%,16,57%,
20,2023,2023-09-24,3,3,24.179,DET,,ATL,W 20-6,,0,0,0,,0,0.0%,,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,20,30%,20,74%,
21,2023,2023-09-28,4,4,24.183,DET,@,GNB,W 34-20,,,,,,,0.0%,,,,,,,,,,,,,,,,,,0,0%,7,12%,21,70%,
22,2023,2023-10-08,5,5,24.193,DET,,CAR,W 42-24,,0,0,0,,0,0.0%,,0.0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0%,0,0%,17,63%,
23,2023,2023-10-15,6,6,24.200,DET,@,TAM,W 20-6,,,,,,,0.0%,,,,,,,,,,,,,,,,,,0,0%,0,0%,17,68%,
24,2023,2023-10-22,7,7,24.207,DET,@,BAL,L 6-38,*,0,0,0,,0,0.0%,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3%,1,2%,12,57%,
25,2023,2023-10-30,8,8,24.215,DET,,LVR,W 26-14,,,,,,,0.0%,,,,,,,,,,,,,,,,,,1,1%,0,0%,15,60%,
26,2023,2023-11-12,9,10,24.228,DET,@,LAC,W 41-38,,0,0,0,,0,0.0%,,0.0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,5,8%,5,7%,16,53%,
27,2023,2023-11-19,10,11,24.235,DET,,CHI,W 31-26,,0,0,0,,0,0.0%,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,10%,1,1%,17,65%,
28,2023,2023-11-23,11,12,24.239,DET,,GNB,L 22-29,,1,1,6,6.00,0,100.0%,6.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7%,2,4%,16,70%,
29,2023,2023-12-03,12,13,24.249,DET,@,NOR,W 33-28,*,0,0,0,,0,0.0%,,0.0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,31,46%,21,70%,
30,2023,2023-12-10,13,14,24.256,DET,@,CHI,L 13-28,,,,,,,0.0%,,,,,,,,,,,,,,,,,,0,0%,1,1%,22,92%,
31,2023,2023-12-16,14,15,24.262,DET,,DEN,W 42-17,,0,0,0,,0,0.0%,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,5,8%,22,76%,
32,2023,2023-12-24,15,16,24.270,DET,@,MIN,W 30-24,*,0,0,0,,0,0.0%,,0.0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,17,31%,17,65%,
33,2023,2023-12-30,16,17,24.276,DET,@,DAL,L 19-20,,,,,,,0.0%,,,,,,,,,,,,,,,,,,0,0%,0,0%,19,73%,
34,2023,2024-01-07,17,18,24.284,DET,,MIN,W 30-20,,0,0,0,,0,0.0%,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,19,68%,
35,2024,2024-09-08,1,1,25.163,DET,,LAR,W 26-20,,0,0,0,,0,0.0%,,0.0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,14,18%,22,85%,
36,2024,2024-09-15,2,2,25.170,DET,,TAM,L 16-20,,0,0,0,,0,0.0%,,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,19,40%,22,85%,
37,2024,2024-09-22,3,3,25.177,DET,@,ARI,W 20-13,*,0,0,0,,0,0.0%,,0.0,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,51,86%,19,83%,
38,2024,2024-09-30,4,4,25.185,DET,,SEA,W 42-29,*,0,0,0,,0,0.0%,,1.0,4,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,31,34%,23,79%,
39,2024,2024-10-13,5,6,25.198,DET,@,DAL,W 47-9,,0,0,0,,0,0.0%,,0.0,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0%,33,48%,19,68%,
40,2024,2024-10-20,6,7,25.205,DET,@,MIN,W 31-29,*,0,0,0,,0,0.0%,,1.0,5,2,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,32,53%,23,74%,
41,2024,2024-10-27,7,8,25.212,DET,,TEN,W 52-14,,,,,,,0.0%,,,,,,,,,,,,,,,,,,0,0%,0,0%,3,9%,
42,2024,2024-11-03,8,9,,DET,@,GNB,W 24-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
43,2024,2024-11-10,9,10,,DET,@,HOU,W 26-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
44,2024,2024-11-17,10,11,25.233,DET,,JAX,W 52-6,*,0,0,0,,0,0.0%,,0.0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,43,90%,11,42%,
45,2024,2024-11-24,11,12,25.240,DET,@,IND,W 24-6,*,0,0,0,,0,0.0%,,0.0,7,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,49,89%,0,0%,
