Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
63,2022,2022-12-18,14,15,25.194,CHI,,PHI,L 20-25,*,12,53,4.42,1,3,3,38,12.67,1,100.0%,12.67,0,0,,0,0,0,,0,0,,,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,40,68%,0,0%,0,0%,
64,2022,2022-12-24,15,16,25.200,CHI,,BUF,L 13-35,*,16,62,3.88,0,4,4,22,5.50,0,100.0%,5.50,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,42,67%,0,0%,0,0%,
65,2022,2023-01-01,16,17,25.208,CHI,@,DET,L 10-41,*,6,24,4.00,0,3,2,12,6.00,0,66.7%,4.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,28,54%,0,0%,0,0%,
66,2022,2023-01-08,17,18,25.215,CHI,,MIN,L 13-29,*,7,21,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,24,47%,0,0%,0,0%,
67,2023,2023-09-07,1,1,26.092,DET,@,KAN,W 21-20,*,21,74,3.52,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,55,79%,0,0%,0,0%,
68,2023,2023-09-17,2,2,26.102,DET,,SEA,L 31-37,*,16,67,4.19,1,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,1,1,0,0,0,0,30,45%,0,0%,0,0%,
69,2023,2023-09-24,3,3,,DET,,ATL,W 20-6,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
70,2023,2023-09-28,4,4,26.113,DET,@,GNB,W 34-20,*,32,121,3.78,3,2,2,20,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,,,,3,18,0.0,0,0,0,0,0,0,0,0,0,0,0,53,71%,0,0%,0,0%,
71,2023,2023-10-08,5,5,26.123,DET,,CAR,W 42-24,*,19,109,5.74,1,6,2,20,10.00,0,33.3%,3.33,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,45,75%,0,0%,0,0%,
72,2023,2023-10-15,6,6,26.130,DET,@,TAM,W 20-6,*,6,14,2.33,0,1,1,19,19.00,0,100.0%,19.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,18,26%,0,0%,0,0%,
73,2023,2023-10-22,7,7,,DET,@,BAL,L 6-38,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
74,2023,2023-10-30,8,8,,DET,,LVR,W 26-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
75,2023,2023-11-12,9,10,26.158,DET,@,LAC,W 41-38,*,12,116,9.67,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,25,38%,0,0%,0,0%,
76,2023,2023-11-19,10,11,26.165,DET,,CHI,W 31-26,*,12,76,6.33,1,2,2,22,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,25,40%,0,0%,0,0%,
77,2023,2023-11-23,11,12,26.169,DET,,GNB,L 22-29,*,15,71,4.73,1,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,1,1,8,0.0,0,0,0,0,0,0,0,0,0,0,0,23,27%,0,0%,0,0%,
78,2023,2023-12-03,12,13,26.179,DET,@,NOR,W 33-28,*,18,56,3.11,1,2,1,-1,-1.00,0,50.0%,-0.50,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,36,62%,0,0%,0,0%,
79,2023,2023-12-10,13,14,26.186,DET,@,CHI,L 13-28,*,10,66,6.60,0,3,3,19,6.33,0,100.0%,6.33,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,23,35%,0,0%,0,0%,
80,2023,2023-12-16,14,15,26.192,DET,,DEN,W 42-17,*,17,85,5.00,0,3,2,-3,-1.50,0,66.7%,-1.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,34,52%,0,0%,0,0%,
81,2023,2023-12-24,15,16,26.200,DET,@,MIN,W 30-24,*,17,55,3.24,1,2,2,14,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,31,39%,0,0%,0,0%,
82,2023,2023-12-30,16,17,26.206,DET,@,DAL,L 19-20,*,14,65,4.64,1,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,27,39%,0,0%,0,0%,
83,2023,2024-01-07,17,18,26.214,DET,,MIN,W 30-20,*,10,40,4.00,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,28,49%,0,0%,0,0%,
84,2024,2024-09-08,1,1,27.093,DET,,LAR,W 26-20,*,17,91,5.35,1,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,30,49%,0,0%,0,0%,
85,2024,2024-09-15,2,2,27.100,DET,,TAM,L 16-20,*,11,35,3.18,1,4,4,35,8.75,0,100.0%,8.75,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,30,35%,0,0%,0,0%,
86,2024,2024-09-22,3,3,27.107,DET,@,ARI,W 20-13,*,23,105,4.57,1,3,3,17,5.67,0,100.0%,5.67,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,35,51%,0,0%,0,0%,
87,2024,2024-09-30,4,4,27.115,DET,,SEA,W 42-29,*,12,40,3.33,1,1,1,40,40.00,0,100.0%,40.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,21,40%,0,0%,0,0%,
88,2024,2024-10-13,5,6,27.128,DET,@,DAL,W 47-9,*,12,80,6.67,2,1,1,0,0.00,0,100.0%,0.00,0,0,,0,0,0,,0,0,,,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,21,31%,0,0%,0,0%,
89,2024,2024-10-20,6,7,27.135,DET,@,MIN,W 31-29,*,9,31,3.44,0,4,3,39,13.00,0,75.0%,9.75,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,22,39%,0,0%,0,0%,
90,2024,2024-10-27,7,8,27.142,DET,,TEN,W 52-14,*,9,33,3.67,1,1,1,5,5.00,0,100.0%,5.00,1,1,100.00,3,1,0,118.7,0,0,3.00,23.00,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,23,48%,0,0%,0,0%,
91,2024,2024-11-03,8,9,27.149,DET,@,GNB,W 24-14,*,17,73,4.29,0,3,3,23,7.67,0,100.0%,7.67,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,32,56%,0,0%,0,0%,
92,2024,2024-11-10,9,10,27.156,DET,@,HOU,W 26-23,*,12,32,2.67,1,2,1,24,24.00,0,50.0%,12.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,1,0,0,1,0,0,26,40%,0,0%,0,0%,
93,2024,2024-11-17,10,11,27.163,DET,,JAX,W 52-6,*,15,75,5.00,2,3,3,20,6.67,0,100.0%,6.67,0,0,,0,0,0,,0,0,,,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,31,39%,0,0%,0,0%,
94,2024,2024-11-24,11,12,27.170,DET,@,IND,W 24-6,*,8,37,4.63,1,3,3,36,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,1,0,0,21,29%,0,0%,0,0%,
