Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct
23,2021,2021-10-24,7,7,25.053,DET,@,LAR,L 19-28,,1,1,100.00,17,0,0,118.7,0,0,17.00,17.00,0.0,0,0,0,0,0,0,0,0,0,0,0,1,36,36.00,0,36,36.0,0,0.0%,0,0.0%,0,0,0%,0,0%,8,32%
24,2021,2021-10-31,8,8,25.060,DET,,PHI,L 6-44,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,3,140,46.67,12,128,42.7,0,0.0%,2,66.7%,0,0,0%,0,0%,4,16%
25,2021,2021-11-14,9,10,25.074,DET,@,PIT,T 16-16,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,10,464,46.40,54,370,37.0,2,20.0%,1,10.0%,0,0,0%,0,0%,15,44%
26,2021,2021-11-21,10,11,25.081,DET,@,CLE,L 10-13,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,6,280,46.67,12,228,38.0,2,33.3%,2,33.3%,0,0,0%,0,0%,8,36%
27,2021,2021-11-25,11,12,25.085,DET,,CHI,L 14-16,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,6,300,50.00,39,241,40.2,1,16.7%,0,0.0%,0,0,0%,0,0%,12,50%
28,2021,2021-12-05,12,13,25.095,DET,,MIN,W 29-27,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,3,166,55.33,23,143,47.7,0,0.0%,0,0.0%,0,0,0%,0,0%,14,52%
29,2021,2021-12-12,13,14,25.102,DET,@,DEN,L 10-38,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,2,106,53.00,13,93,46.5,0,0.0%,0,0.0%,0,0,0%,0,0%,7,32%
30,2021,2021-12-19,14,15,25.109,DET,,ARI,W 30-12,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,3,133,44.33,18,115,38.3,0,0.0%,1,33.3%,0,0,0%,0,0%,16,64%
31,2021,2021-12-26,15,16,25.116,DET,@,ATL,L 16-20,,1,1,100.00,21,0,0,118.7,0,0,21.00,21.00,0.0,0,0,0,0,0,0,0,0,0,0,0,2,109,54.50,13,96,48.0,0,0.0%,1,50.0%,0,0,0%,0,0%,12,52%
32,2021,2022-01-02,16,17,25.123,DET,@,SEA,L 29-51,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,3,132,44.00,5,127,42.3,0,0.0%,0,0.0%,0,0,0%,0,0%,10,31%
33,2021,2022-01-09,17,18,25.130,DET,,GNB,W 37-30,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,2,97,48.50,23,74,37.0,0,0.0%,0,0.0%,0,0,0%,0,0%,18,64%
34,2022,2022-09-11,1,1,26.010,DET,,PHI,L 35-38,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,4,185,46.25,13,172,43.0,0,0.0%,2,50.0%,0,0,0%,0,0%,9,29%
35,2022,2022-09-18,2,2,26.017,DET,,WAS,W 36-27,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,5,277,55.40,33,244,48.8,0,0.0%,1,20.0%,0,0,0%,0,0%,11,34%
36,2022,2022-09-25,3,3,26.024,DET,@,MIN,L 24-28,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,3,134,44.67,9,125,41.7,0,0.0%,1,33.3%,0,0,0%,0,0%,9,32%
37,2022,2022-10-02,4,4,26.031,DET,,SEA,L 45-48,,1,1,100.00,6,0,0,91.7,0,0,6.00,6.00,0.0,0,0,0,0,0,0,0,0,0,0,0,2,97,48.50,7,90,45.0,0,0.0%,0,0.0%,0,0,0%,0,0%,8,24%
38,2022,2022-10-09,5,5,26.038,DET,@,NWE,L 0-29,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,2,88,44.00,12,76,38.0,0,0.0%,1,50.0%,0,0,0%,0,0%,3,16%
39,2022,2022-10-23,6,7,26.052,DET,@,DAL,L 6-24,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,1,0,0,3,144,48.00,66,58,19.3,1,33.3%,0,0.0%,0,0,0%,0,0%,8,37%
40,2022,2022-10-30,7,8,26.059,DET,,MIA,L 27-31,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,2,117,58.50,46,71,35.5,0,0.0%,0,0.0%,0,0,0%,0,0%,13,52%
41,2022,2022-11-06,8,9,26.066,DET,,GNB,W 15-9,,0,0,,0,0,0,,0,0,,,0.0,0,1,1,0,0,0,0,0,0,0,0,3,136,45.33,10,126,42.0,0,0.0%,1,33.3%,0,0,0%,0,0%,8,62%
42,2022,2022-11-13,9,10,26.073,DET,@,CHI,W 31-30,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,4,185,46.25,44,141,35.3,0,0.0%,0,0.0%,0,0,0%,0,0%,15,52%
43,2022,2022-11-20,10,11,26.080,DET,@,NYG,W 31-18,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,5,241,48.20,10,211,42.2,1,20.0%,1,20.0%,0,0,0%,0,0%,15,58%
44,2022,2022-11-24,11,12,26.084,DET,,BUF,L 25-28,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,2,103,51.50,0,103,51.5,0,0.0%,2,100.0%,0,0,0%,0,0%,12,46%
45,2022,2022-12-04,12,13,26.094,DET,,JAX,W 40-14,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,17,65%
