Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Num,Pct,Num,Pct,Num,Pct,Status
38,2023,2023-09-24,3,3,,DET,,ATL,W 20-6,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
39,2023,2023-09-28,4,4,,DET,@,GNB,W 34-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
40,2023,2023-10-08,5,5,,DET,,CAR,W 42-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
41,2023,2023-10-15,6,6,25.198,DET,@,TAM,W 20-6,,0,0,0,,0,0.0%,,2,38,19.00,0,0.0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,19,76%,
42,2023,2023-10-22,7,7,25.205,DET,@,BAL,L 6-38,,0,0,0,,0,0.0%,,1,19,19.00,0,0.0,0,0,0,0,0,0,0,0,0,0,0%,10,17%,21,100%,
43,2023,2023-10-30,8,8,25.213,DET,,LVR,W 26-14,,0,0,0,,0,0.0%,,2,31,15.50,0,0.0,0,1,1,0,0,0,0,0,0,0,0%,0,0%,17,68%,
44,2023,2023-11-12,9,10,25.226,DET,@,LAC,W 41-38,,0,0,0,,0,0.0%,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0%,1,1%,22,73%,
45,2023,2023-11-19,10,11,25.233,DET,,CHI,W 31-26,,,,,,,0.0%,,,,,,,,,,,,,,,,0,0%,0,0%,23,88%,
46,2023,2023-11-23,11,12,25.237,DET,,GNB,L 22-29,,0,0,0,,0,0.0%,,4,98,24.50,0,0.0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,20,87%,
47,2023,2023-12-03,12,13,25.247,DET,@,NOR,W 33-28,,0,0,0,,0,0.0%,,3,58,19.33,0,0.0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,25,83%,
48,2023,2023-12-10,13,14,25.254,DET,@,CHI,L 13-28,,0,0,0,,0,0.0%,,0,0,,0,0.0,1,1,2,0,0,0,0,0,0,0,0%,0,0%,22,92%,
49,2023,2023-12-16,14,15,25.260,DET,,DEN,W 42-17,*,0,0,0,,0,0.0%,,0,0,,0,0.0,2,1,3,0,0,0,0,0,1,0,0%,44,69%,8,28%,
50,2023,2023-12-24,15,16,25.268,DET,@,MIN,W 30-24,*,0,0,0,,0,0.0%,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0%,25,45%,5,19%,
51,2023,2023-12-30,16,17,25.274,DET,@,DAL,L 19-20,,1,1,31,31.00,0,100.0%,31.00,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,23,88%,
52,2023,2024-01-07,17,18,25.282,DET,,MIN,W 30-20,,,,,,,0.0%,,,,,,,,,,,,,,,,0,0%,0,0%,19,68%,
53,2024,2024-09-08,1,1,26.161,DET,,LAR,W 26-20,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,1,1,0,0,0,0,0,0,0,0%,0,0%,16,62%,
54,2024,2024-09-15,2,2,26.168,DET,,TAM,L 16-20,,,,,,,0.0%,,,,,,,,,,,,,,,,0,0%,0,0%,17,66%,
55,2024,2024-09-22,3,3,26.175,DET,@,ARI,W 20-13,,,,,,,0.0%,,,,,,,,,,,,,,,,0,0%,0,0%,17,74%,
56,2024,2024-09-30,4,4,26.183,DET,,SEA,W 42-29,,,,,,,0.0%,,,,,,,,,,,,,,,,0,0%,0,0%,23,79%,
57,2024,2024-10-13,5,6,26.196,DET,@,DAL,W 47-9,,0,0,0,,0,0.0%,,1,34,34.00,0,0.0,1,0,1,0,0,0,0,0,1,0,0%,15,22%,19,68%,
58,2024,2024-10-20,6,7,26.203,DET,@,MIN,W 31-29,,0,0,0,,0,0.0%,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0%,0,0%,26,84%,
59,2024,2024-10-27,7,8,26.210,DET,,TEN,W 52-14,,0,0,0,,0,0.0%,,1,72,72.00,0,0.0,1,3,4,0,0,0,0,0,0,0,0%,15,20%,24,73%,
60,2024,2024-11-03,8,9,26.217,DET,@,GNB,W 24-14,,0,0,0,,0,0.0%,,1,30,30.00,0,0.0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,17,77%,
61,2024,2024-11-10,9,10,26.224,DET,@,HOU,W 26-23,,,,,,,0.0%,,,,,,,,,,,,,,,,0,0%,0,0%,26,87%,
62,2024,2024-11-17,10,11,26.231,DET,,JAX,W 52-6,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0%,3,6%,17,65%,
63,2024,2024-11-24,11,12,26.238,DET,@,IND,W 24-6,,0,0,0,,0,0.0%,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0%,6,11%,20,83%,
