Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2020,2020-09-13,1,1,21.083,LAR,,DAL,W 20-17,*,14,39,2.79,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,0,0,0,0,0,0,24,33%,0,0%,0,0%,
2,2020,2020-09-20,2,2,21.090,LAR,@,PHI,W 37-19,*,3,13,4.33,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0,0,0,0,0,0,3,4%,0,0%,0,0%,
3,2020,2020-09-27,3,3,,LAR,@,BUF,L 32-35,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,2020,2020-10-04,4,4,,LAR,,NYG,W 17-9,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,2020,2020-10-11,5,5,21.111,LAR,@,WAS,W 30-10,,9,61,6.78,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0,0,0,0,0,0,13,19%,0,0%,0,0%,
6,2020,2020-10-18,6,6,21.118,LAR,@,SFO,L 16-24,,,,,,,,,,,0.0%,,,,,,0,0,0,,,0,0,0,1,2%,0,0%,0,0%,
7,2020,2020-10-26,7,7,21.126,LAR,,CHI,W 24-10,,,,,,,,,,,0.0%,,,,,,0,0,0,,,0,0,0,3,4%,0,0%,0,0%,
8,2020,2020-11-01,8,8,21.132,LAR,@,MIA,L 17-28,,9,35,3.89,0,1,1,19,19.00,0,100.0%,19.00,0,0,,0,0,0,0,0,0,0,0,0,20,21%,0,0%,0,0%,
9,2020,2020-11-15,9,10,21.146,LAR,,SEA,W 23-16,,10,38,3.80,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0,0,0,0,0,0,18,26%,0,0%,0,0%,
10,2020,2020-11-23,10,11,21.154,LAR,@,TAM,W 27-24,,5,15,3.00,0,1,1,4,4.00,1,100.0%,4.00,0,0,,0,1,6,0,0,0,0,0,0,12,17%,0,0%,0,0%,
11,2020,2020-11-29,11,12,21.160,LAR,,SFO,L 20-23,,9,84,9.33,1,0,0,0,,0,0.0%,,0,0,,0,1,6,0,0,0,0,0,0,17,27%,0,0%,0,0%,
12,2020,2020-12-06,12,13,21.167,LAR,@,ARI,W 38-28,,21,72,3.43,1,1,1,22,22.00,0,100.0%,22.00,0,0,,0,1,6,0,0,0,0,0,0,52,63%,0,0%,0,0%,
13,2020,2020-12-10,13,14,21.171,LAR,,NWE,W 24-3,*,29,171,5.90,0,3,2,23,11.50,0,66.7%,7.67,0,0,,0,0,0,0,0,0,0,0,0,50,79%,0,0%,0,0%,
14,2020,2020-12-20,14,15,21.181,LAR,,NYJ,L 20-23,*,15,63,4.20,0,3,1,-1,-1.00,0,33.3%,-0.33,0,0,,0,0,0,0,0,0,0,0,0,36,61%,0,0%,0,0%,
15,2020,2020-12-27,15,16,,LAR,@,SEA,L 9-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,2020,2021-01-03,16,17,21.195,LAR,,ARI,W 18-7,*,21,34,1.62,0,4,4,52,13.00,0,100.0%,13.00,0,0,,0,0,0,1,1,0,0,0,0,48,66%,0,0%,0,0%,
17,2021,2021-09-12,1,1,,LAR,,CHI,W 34-14,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
18,2021,2021-09-19,2,2,,LAR,@,IND,W 27-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
19,2021,2021-09-26,3,3,,LAR,,TAM,W 34-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
20,2021,2021-10-03,4,4,,LAR,,ARI,L 20-37,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
