Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2019,2019-09-08,1,1,24.080,MIN,,ATL,W 28-12,*,0,0,0,,0,0.0%,,0.0,0,0,0,0,0,0,0,0,1,0,0,53,98%,0,0%,0,0%,
2,2019,2019-09-15,2,2,24.087,MIN,@,GNB,L 16-21,*,0,0,0,,0,0.0%,,0.0,0,0,0,0,0,0,0,0,0,0,0,65,100%,0,0%,0,0%,
3,2019,2019-09-22,3,3,24.094,MIN,,OAK,W 34-14,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,62,100%,0,0%,3,12%,
4,2019,2019-09-29,4,4,24.101,MIN,@,CHI,L 6-16,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,60,100%,0,0%,0,0%,
5,2019,2019-10-06,5,5,24.108,MIN,@,NYG,W 28-10,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,67,100%,0,0%,0,0%,
6,2019,2019-10-13,6,6,24.115,MIN,,PHI,W 38-20,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,70,99%,0,0%,2,7%,
7,2019,2019-10-20,7,7,24.122,MIN,@,DET,W 42-30,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,73,100%,0,0%,0,0%,
8,2019,2019-10-24,8,8,24.126,MIN,,WAS,W 19-9,*,0,0,0,,0,0.0%,,0.0,0,0,0,0,0,0,0,0,0,0,0,72,100%,0,0%,0,0%,
9,2019,2019-11-03,9,9,24.136,MIN,@,KAN,L 23-26,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,70,100%,0,0%,0,0%,
10,2019,2019-11-10,10,10,24.143,MIN,@,DAL,W 28-24,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,72,100%,0,0%,1,4%,
11,2019,2019-11-17,11,11,24.150,MIN,,DEN,W 27-23,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,62,100%,0,0%,0,0%,
12,2019,2019-12-02,12,13,24.165,MIN,@,SEA,L 30-37,*,0,0,0,,0,0.0%,,0.0,0,0,0,0,0,0,0,0,0,0,0,54,100%,0,0%,2,6%,
13,2019,2019-12-08,13,14,24.171,MIN,,DET,W 20-7,*,1,1,-4,-4.00,0,100.0%,-4.00,0.0,0,0,0,0,0,0,0,0,0,0,0,72,100%,0,0%,4,15%,
14,2019,2019-12-15,14,15,24.178,MIN,@,LAC,W 39-10,*,0,0,0,,0,0.0%,,0.0,0,0,0,0,0,0,0,0,0,0,0,65,100%,0,0%,0,0%,
15,2019,2019-12-23,15,16,24.186,MIN,,GNB,L 10-23,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,54,100%,0,0%,0,0%,
16,2019,2019-12-29,16,17,24.192,MIN,,CHI,L 19-21,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,18,37%,0,0%,1,4%,
17,2020,2020-09-13,1,1,25.085,MIN,,GNB,L 34-43,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,52,100%,0,0%,0,0%,
18,2020,2020-09-20,2,2,25.092,MIN,@,IND,L 11-28,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,54,100%,0,0%,0,0%,
19,2020,2020-09-27,3,3,25.099,MIN,,TEN,L 30-31,*,0,0,0,,0,0.0%,,0.0,0,0,0,0,0,1,0,0,1,-14,0,65,100%,0,0%,0,0%,
20,2020,2020-10-04,4,4,25.106,MIN,@,HOU,W 31-23,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,66,100%,0,0%,0,0%,
21,2020,2020-10-11,5,5,25.113,MIN,@,SEA,L 26-27,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,87,100%,0,0%,0,0%,
22,2020,2020-10-18,6,6,25.120,MIN,,ATL,L 23-40,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,56,100%,0,0%,0,0%,
23,2020,2020-11-01,7,8,25.134,MIN,@,GNB,W 28-22,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,52,100%,0,0%,0,0%,
24,2020,2020-11-08,8,9,25.141,MIN,,DET,W 34-20,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,58,100%,0,0%,0,0%,
25,2020,2020-11-16,9,10,25.149,MIN,@,CHI,W 19-13,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,73,99%,0,0%,0,0%,
26,2020,2020-11-22,10,11,25.155,MIN,,DAL,L 28-31,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,64,98%,0,0%,0,0%,
27,2020,2020-11-29,11,12,25.162,MIN,,CAR,W 28-27,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,73,100%,0,0%,0,0%,
28,2020,2020-12-06,12,13,25.169,MIN,,JAX,W 27-24,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,91,100%,0,0%,0,0%,
29,2020,2020-12-13,13,14,25.176,MIN,@,TAM,L 14-26,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,79,100%,0,0%,1,5%,
30,2020,2020-12-20,14,15,25.183,MIN,,CHI,L 27-33,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,68,100%,0,0%,0,0%,
31,2020,2020-12-25,15,16,25.188,MIN,@,NOR,L 33-52,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,64,100%,0,0%,0,0%,
32,2020,2021-01-03,16,17,25.197,MIN,@,DET,W 37-35,*,0,0,0,,0,0.0%,,0.0,0,0,0,0,0,0,0,0,1,2,0,80,100%,0,0%,0,0%,
33,2021,2021-09-12,1,1,26.084,MIN,@,CIN,L 24-27,*,,,,,,0.0%,,,,,,,,,,,,,,83,100%,0,0%,0,0%,
34,2021,2021-09-19,2,2,26.091,MIN,@,ARI,L 33-34,*,,,,,,0.0%,,,,,,,,,,,,,,61,100%,0,0%,0,0%,
35,2021,2021-09-26,3,3,26.098,MIN,,SEA,W 30-17,*,,,,,,0.0%,,,,,,,,,,,,,,75,100%,0,0%,0,0%,
36,2021,2021-10-03,4,4,26.105,MIN,,CLE,L 7-14,*,,,,,,0.0%,,,,,,,,,,,,,,67,100%,0,0%,0,0%,
