Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Num,Pct,Num,Pct,Num,Pct,Status
1.0,2024.0,2024-09-08,1.0,1.0,23.243,MIN,@,NYG,W 28-6,,4,4,100.0,,,,0,4,0,0%,0,0%,9,38%,
2.0,2024.0,2024-09-15,2.0,2.0,23.25,MIN,,SFO,W 23-17,,2,2,100.0,3,3,100.0,0,11,0,0%,0,0%,10,43%,
3.0,2024.0,2024-09-22,3.0,3.0,23.257,MIN,,HOU,W 34-7,,4,4,100.0,2,2,100.0,0,10,0,0%,0,0%,13,50%,
4.0,2024.0,2024-09-29,4.0,4.0,23.264,MIN,@,GNB,W 31-29,,4,4,100.0,1,1,100.0,0,7,0,0%,0,0%,11,38%,
5.0,2024.0,2024-10-06,5.0,5.0,23.271,MIN,,NYJ,W 23-17,,2,2,100.0,3,3,100.0,0,11,0,0%,0,0%,11,38%,
6.0,2024.0,2024-10-20,6.0,7.0,23.285,MIN,,DET,L 29-31,,2,2,100.0,3,3,100.0,0,11,0,0%,0,0%,12,39%,
7.0,2024.0,2024-10-24,7.0,8.0,23.289,MIN,@,LAR,L 20-30,,2,2,100.0,2,2,100.0,0,8,0,0%,0,0%,9,36%,
8.0,2024.0,2024-11-03,8.0,9.0,23.299,MIN,,IND,W 21-13,,3,3,100.0,,2,0.0,0,3,0,0%,0,0%,9,41%,
9.0,2024.0,2024-11-10,9.0,10.0,,MIN,@,JAX,W 12-7,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10.0,2024.0,2024-11-17,10.0,11.0,,MIN,@,TEN,W 23-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11.0,2024.0,2024-11-24,11.0,12.0,,MIN,@,CHI,W 30-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
