Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct
13,2022,2022-12-11,13,14,22.193,MIN,@,DET,L 23-34,,0,0,,0,0,0,,0,0,,,3,159,53.00,48,111,37.0,0,0.0%,1,33.3%,0,0,0%,0,0%,7,24%
14,2022,2022-12-17,14,15,22.199,MIN,,IND,W 39-36,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,5,231,46.20,0,231,38.5,0,0.0%,2,40.0%,1,0,0%,0,0%,12,28%
15,2022,2022-12-24,15,16,22.206,MIN,,NYG,W 27-24,,0,0,,0,0,0,,0,0,,,5,241,48.20,8,213,42.6,1,20.0%,1,20.0%,0,0,0%,0,0%,10,34%
16,2022,2023-01-01,16,17,22.214,MIN,@,GNB,L 17-41,,0,0,,0,0,0,,0,0,,,2,95,47.50,25,70,35.0,0,0.0%,0,0.0%,0,0,0%,0,0%,7,25%
17,2022,2023-01-08,17,18,22.221,MIN,@,CHI,W 29-13,,0,0,,0,0,0,,0,0,,,1,35,35.00,-2,37,37.0,0,0.0%,0,0.0%,0,0,0%,0,0%,8,35%
18,2023,2023-09-10,1,1,23.101,MIN,,TAM,L 17-20,,0,0,,0,0,0,,0,0,,,5,257,51.40,29,228,45.6,0,0.0%,0,0.0%,0,0,0%,0,0%,8,29%
19,2023,2023-09-14,2,2,23.105,MIN,@,PHI,L 28-34,,0,0,,0,0,0,,0,0,,,3,157,52.33,2,155,51.7,0,0.0%,2,66.7%,0,0,0%,0,0%,7,24%
20,2023,2023-09-24,3,3,23.115,MIN,,LAC,L 24-28,,0,0,,0,0,0,,0,0,,,3,145,48.33,0,105,35.0,2,66.7%,1,33.3%,0,0,0%,0,0%,7,28%
21,2023,2023-10-01,4,4,23.122,MIN,@,CAR,W 21-13,,0,0,,0,0,0,,0,0,,,4,216,54.00,47,169,42.3,0,0.0%,0,0.0%,0,0,0%,0,0%,7,32%
22,2023,2023-10-08,5,5,23.129,MIN,,KAN,L 20-27,,0,0,,0,0,0,,0,0,,,1,54,54.00,8,46,46.0,0,0.0%,0,0.0%,0,0,0%,0,0%,6,25%
23,2023,2023-10-15,6,6,23.136,MIN,@,CHI,W 19-13,,0,0,,0,0,0,,0,0,,,5,249,49.80,12,217,43.4,1,20.0%,0,0.0%,0,0,0%,0,0%,10,38%
24,2023,2023-10-23,7,7,23.144,MIN,,SFO,W 22-17,,0,0,,0,0,0,,0,0,,,1,42,42.00,0,22,22.0,1,100.0%,0,0.0%,0,0,0%,0,0%,7,32%
25,2023,2023-10-29,8,8,23.150,MIN,@,GNB,W 24-10,,0,0,,0,0,0,,0,0,,,2,87,43.50,25,62,31.0,0,0.0%,1,50.0%,0,0,0%,0,0%,8,35%
26,2023,2023-11-05,9,9,23.157,MIN,@,ATL,W 31-28,,0,0,,0,0,0,,0,0,,,3,133,44.33,0,133,44.3,0,0.0%,1,33.3%,0,0,0%,0,0%,9,27%
27,2023,2023-11-12,10,10,23.164,MIN,,NOR,W 27-19,,0,0,,0,0,0,,0,0,,,6,258,43.00,22,236,39.3,0,0.0%,3,50.0%,0,0,0%,0,0%,12,41%
28,2023,2023-11-19,11,11,23.171,MIN,@,DEN,L 20-21,,0,0,,0,0,0,,0,0,,,2,95,47.50,0,55,27.5,2,100.0%,0,0.0%,0,0,0%,0,0%,7,26%
29,2023,2023-11-27,12,12,23.179,MIN,,CHI,L 10-12,,0,0,,0,0,0,,0,0,,,3,116,38.67,0,116,38.7,0,0.0%,1,33.3%,0,0,0%,0,0%,5,25%
30,2023,2023-12-10,13,14,23.192,MIN,@,LVR,W 3-0,,0,0,,0,0,0,,0,0,,,8,383,47.88,39,344,43.0,0,0.0%,4,50.0%,0,0,0%,0,0%,11,50%
31,2023,2023-12-16,14,15,23.198,MIN,@,CIN,L 24-27,,0,0,,0,0,0,,0,0,,,3,152,50.67,18,134,44.7,0,0.0%,0,0.0%,0,0,0%,0,0%,7,26%
32,2023,2023-12-24,15,16,23.206,MIN,,DET,L 24-30,,0,0,,0,0,0,,0,0,,,2,100,50.00,0,100,50.0,0,0.0%,1,50.0%,0,0,0%,0,0%,6,23%
33,2023,2023-12-31,16,17,23.213,MIN,,GNB,L 10-33,,0,0,,0,0,0,,0,0,,,4,218,54.50,0,198,49.5,1,25.0%,2,50.0%,0,0,0%,0,0%,6,25%
