Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct,Status
1,2022,2022-09-11,1,1,,MIN,,GNB,W 23-7,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2022,2022-09-19,2,2,,MIN,@,PHI,L 7-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2022,2022-09-25,3,3,,MIN,,DET,W 28-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,2022,2022-10-02,4,4,24.143,MIN,@,NOR,W 28-25,,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,0,0%,0,0%,19,61%,
5,2022,2022-10-09,5,5,24.150,MIN,,CHI,W 29-22,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,1,1,0,0,0,0%,0,0%,9,39%,
6,2022,2022-10-16,6,6,,MIN,@,MIA,W 24-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,2022,2022-10-30,7,8,,MIN,,ARI,W 34-26,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,2022,2022-11-06,8,9,,MIN,@,WAS,W 20-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,2022,2022-11-13,9,10,,MIN,@,BUF,W 33-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,2022,2022-11-20,10,11,,MIN,,DAL,L 3-40,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,2022,2022-11-24,11,12,,MIN,,NWE,W 33-26,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,2022,2022-12-04,12,13,,MIN,,NYJ,W 27-22,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,2022,2022-12-11,13,14,,MIN,@,DET,L 23-34,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,2022,2022-12-17,14,15,,MIN,,IND,W 39-36,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,2022,2022-12-24,15,16,,MIN,,NYG,W 27-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,2022,2023-01-01,16,17,,MIN,@,GNB,L 17-41,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,2022,2023-01-08,17,18,24.241,MIN,@,CHI,W 29-13,,6,20,3.33,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,1,1,0,0,12,17%,0,0%,11,48%,
18,2023,2023-09-10,1,1,25.121,MIN,,TAM,L 17-20,,3,0,0.00,0,1,1,18,18.00,0,100.0%,18.00,1,15,15.00,0,0,0,0.0,0,0,0,0,0,11,17%,0,0%,5,18%,
19,2023,2023-09-14,2,2,25.125,MIN,@,PHI,L 28-34,,1,0,0.00,0,2,2,9,4.50,0,100.0%,4.50,0,0,,0,0,0,0.0,0,0,0,0,0,7,12%,0,0%,7,24%,
20,2023,2023-09-24,3,3,25.135,MIN,,LAC,L 24-28,,3,27,9.00,0,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0,0,0.0,0,0,0,0,0,12,15%,0,0%,6,24%,
21,2023,2023-10-01,4,4,25.142,MIN,@,CAR,W 21-13,,0,0,,0,0,0,0,,0,0.0%,,2,55,27.50,0,0,0,0.0,0,0,0,0,0,0,0%,0,0%,6,27%,
22,2023,2023-10-08,5,5,25.149,MIN,,KAN,L 20-27,,1,15,15.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0%,0,0%,13,54%,
23,2023,2023-10-15,6,6,25.156,MIN,@,CHI,W 19-13,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,1,1,0,0,0,0%,0,0%,16,62%,
24,2023,2023-10-23,7,7,25.164,MIN,,SFO,W 22-17,,0,0,,0,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,0.0,0,0,0,0,0,3,4%,0,0%,8,36%,
25,2023,2023-10-29,8,8,25.170,MIN,@,GNB,W 24-10,,0,0,,0,0,0,0,,0,0.0%,,1,27,27.00,0,0,0,0.0,0,0,0,0,0,1,1%,0,0%,13,57%,
26,2023,2023-11-05,9,9,25.177,MIN,@,ATL,W 31-28,,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,0,0%,0,0%,21,64%,
27,2023,2023-11-12,10,10,25.184,MIN,,NOR,W 27-19,,15,45,3.00,1,0,0,0,,0,0.0%,,0,0,,0,1,6,0.0,0,0,0,0,0,32,44%,0,0%,8,28%,
28,2023,2023-11-19,11,11,25.191,MIN,@,DEN,L 20-21,,10,73,7.30,0,4,4,37,9.25,0,100.0%,9.25,0,0,,0,0,0,0.0,0,0,0,0,0,23,31%,0,0%,3,11%,
29,2023,2023-11-27,12,12,25.199,MIN,,CHI,L 10-12,,4,8,2.00,0,2,1,3,3.00,0,50.0%,1.50,0,0,,0,0,0,0.0,0,0,0,0,0,18,33%,0,0%,3,15%,
30,2023,2023-12-10,13,14,25.212,MIN,@,LVR,W 3-0,,12,35,2.92,0,3,3,7,2.33,0,100.0%,2.33,0,0,,0,0,0,0.0,0,1,1,0,0,40,56%,0,0%,7,32%,
31,2023,2023-12-16,14,15,25.218,MIN,@,CIN,L 24-27,*,23,132,5.74,1,4,3,25,8.33,0,75.0%,6.25,0,0,,0,1,6,0.0,0,0,0,0,0,55,81%,0,0%,2,7%,
32,2023,2023-12-24,15,16,25.226,MIN,,DET,L 24-30,*,8,17,2.13,1,0,0,0,,0,0.0%,,0,0,,0,1,6,0.0,0,0,0,0,0,36,65%,0,0%,0,0%,
33,2023,2023-12-31,16,17,25.233,MIN,,GNB,L 10-33,*,10,40,4.00,0,3,3,24,8.00,0,100.0%,8.00,0,0,,0,0,0,0.0,0,0,0,0,0,30,57%,0,0%,1,4%,
34,2023,2024-01-07,17,18,25.240,MIN,@,DET,L 20-30,*,12,69,5.75,0,3,2,20,10.00,0,66.7%,6.67,0,0,,0,0,0,0.0,0,0,0,0,0,39,53%,0,0%,0,0%,
35,2024,2024-09-08,1,1,26.119,MIN,@,NYG,W 28-6,,8,17,2.13,0,3,3,25,8.33,0,100.0%,8.33,0,0,,0,0,0,0.0,0,0,0,0,0,19,35%,0,0%,3,13%,
36,2024,2024-09-15,2,2,26.126,MIN,,SFO,W 23-17,,10,82,8.20,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,19,35%,0,0%,3,13%,
37,2024,2024-09-22,3,3,26.133,MIN,,HOU,W 34-7,,7,13,1.86,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,22,35%,0,0%,3,12%,
