Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rt,Yds,Y/Rt,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2020,2020-09-20,2,2,22.243,MIN,@,IND,L 11-28,,,,,,,,,,,,,,,,0,,,0,0,0,0,0%,3,4%,14,56%,
2,2020,2020-09-27,3,3,22.250,MIN,,TEN,L 30-31,,,,,,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,21,58%,
3,2020,2020-10-04,4,4,22.257,MIN,@,HOU,W 31-23,,0,0,,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,20,63%,
4,2020,2020-10-11,5,5,22.264,MIN,@,SEA,L 26-27,,,,,,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,15,60%,
5,2020,2020-10-18,6,6,22.271,MIN,,ATL,L 23-40,,,,,,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,20,69%,
6,2020,2020-11-01,7,8,22.285,MIN,@,GNB,W 28-22,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,9,12%,13,68%,
7,2020,2020-11-08,8,9,22.292,MIN,,DET,W 34-20,,0,0,,0,0.0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,19,63%,
8,2020,2020-11-16,9,10,22.300,MIN,@,CHI,W 19-13,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0%,1,2%,18,72%,
9,2020,2020-11-22,10,11,22.306,MIN,,DAL,L 28-31,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0%,0,0%,17,65%,
10,2020,2020-11-29,11,12,22.313,MIN,,CAR,W 28-27,,,,,,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,17,59%,
11,2020,2020-12-06,12,13,22.320,MIN,,JAX,W 27-24,,,,,,,,,,,,,,,,0,,,0,0,0,0,0%,2,3%,22,65%,
12,2020,2020-12-13,13,14,22.327,MIN,@,TAM,L 14-26,,,,,,,,,,,,,,,,0,,,0,0,0,0,0%,1,2%,13,59%,
13,2020,2020-12-20,14,15,22.334,MIN,,CHI,L 27-33,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,16,55%,
14,2020,2020-12-25,15,16,22.339,MIN,@,NOR,L 33-52,,,,,,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,18,58%,
15,2020,2021-01-03,16,17,22.348,MIN,@,DET,W 37-35,,,,,,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,19,63%,
16,2021,2021-09-12,1,1,23.234,MIN,@,CIN,L 24-27,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,18,53%,
17,2021,2021-09-19,2,2,23.241,MIN,@,ARI,L 33-34,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,22,61%,
18,2021,2021-09-26,3,3,23.248,MIN,,SEA,W 30-17,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,15,60%,
19,2021,2021-10-03,4,4,23.255,MIN,,CLE,L 7-14,,0,0,,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,17,77%,
20,2021,2021-10-10,5,5,23.262,MIN,,DET,W 19-17,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,15,58%,
21,2021,2021-10-17,6,6,23.269,MIN,@,CAR,W 34-28,,0,0,,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,23,66%,
22,2021,2021-10-31,7,8,23.283,MIN,,DAL,L 16-20,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,21,70%,
23,2021,2021-11-07,8,9,23.290,MIN,@,BAL,L 31-34,,,,,,,,,,,,,,,,,,,,,,0,0%,2,2%,21,64%,
24,2021,2021-11-14,9,10,23.297,MIN,@,LAC,W 27-20,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,17,61%,
25,2021,2021-11-21,10,11,,MIN,,GNB,W 34-31,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
26,2021,2021-11-28,11,12,23.311,MIN,@,SFO,L 26-34,,0,0,,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,3,4%,17,61%,
27,2021,2021-12-05,12,13,23.318,MIN,@,DET,L 27-29,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,6,8%,19,70%,
28,2021,2021-12-09,13,14,23.322,MIN,,PIT,W 36-28,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,22,67%,
29,2021,2021-12-20,14,15,23.333,MIN,@,CHI,W 17-9,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,16,76%,
30,2021,2021-12-26,15,16,23.339,MIN,,LAR,L 23-30,,1,0,0.00,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,20,65%,
31,2021,2022-01-02,16,17,23.346,MIN,@,GNB,L 10-37,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,18,67%,
32,2021,2022-01-09,17,18,23.353,MIN,,CHI,W 31-17,,0,0,,0,0.0,4,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,43,52%,17,68%,
33,2022,2022-09-11,1,1,24.233,MIN,,GNB,W 23-7,,0,0,,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,18,78%,
34,2022,2022-09-19,2,2,24.241,MIN,@,PHI,L 7-24,,0,0,,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,10,14%,20,95%,
35,2022,2022-09-25,3,3,24.247,MIN,,DET,W 28-24,*,0,0,,0,0.0,8,3,11,0,0,1,0,0,2,0,0,0,0,0,0,0,0%,78,100%,10,36%,
36,2022,2022-10-02,4,4,24.254,MIN,@,NOR,W 28-25,,0,0,,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,4,7%,24,77%,
37,2022,2022-10-09,5,5,24.261,MIN,,CHI,W 29-22,,0,0,,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,18,79%,
38,2022,2022-10-16,6,6,24.268,MIN,@,MIA,W 24-16,,0,0,,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,27,87%,
39,2022,2022-10-30,7,8,24.282,MIN,,ARI,W 34-26,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,24,80%,
40,2022,2022-11-06,8,9,24.289,MIN,@,WAS,W 20-17,,0,0,,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,3,5%,23,82%,
41,2022,2022-11-13,9,10,24.296,MIN,@,BUF,W 33-30,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,27,82%,
42,2022,2022-11-20,10,11,24.303,MIN,,DAL,L 3-40,,0,0,,0,0.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,12,17%,27,96%,
43,2022,2022-11-24,11,12,24.307,MIN,,NWE,W 33-26,,,,,,,,,,,,,,,,,,,,,,0,0%,1,2%,27,82%,
44,2022,2022-12-04,12,13,24.317,MIN,,NYJ,W 27-22,,0,0,,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,2,2%,27,84%,
45,2022,2022-12-11,13,14,24.324,MIN,@,DET,L 23-34,*,0,0,,0,0.0,7,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,70,100%,15,52%,
46,2022,2022-12-17,14,15,24.330,MIN,,IND,W 39-36,,,,,,,,,,,,,,,,,,,,,,0,0%,2,3%,38,89%,
47,2022,2022-12-24,15,16,24.337,MIN,,NYG,W 27-24,,0,0,,0,0.0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,13,19%,24,83%,
48,2022,2023-01-01,16,17,24.345,MIN,@,GNB,L 17-41,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,14,22%,20,71%,
