Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
41,2016,2016-11-13,9,10,29.108,TAM,,CHI,W 36-10,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,11,39%,
42,2016,2016-11-20,10,11,29.115,TAM,@,KAN,W 19-17,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,7,30%,
43,2016,2016-11-27,11,12,29.122,TAM,,SEA,W 14-5,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,7,33%,
44,2016,2016-12-04,12,13,29.129,TAM,@,SDG,W 28-21,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,7,29%,
45,2016,2016-12-11,13,14,29.136,TAM,,NOR,W 16-11,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,8,33%,
46,2016,2016-12-18,14,15,29.143,TAM,@,DAL,L 20-26,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,8,27%,
47,2016,2016-12-24,15,16,29.149,TAM,@,NOR,L 24-31,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,7,27%,
48,2016,2017-01-01,16,17,29.157,TAM,,CAR,W 17-16,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,8,30%,
49,2017,2017-09-10,1,1,30.044,CHI,,ATL,L 17-23,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,8,31%,
50,2017,2017-09-17,2,2,30.051,CHI,@,TAM,L 7-29,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,4,18%,
51,2017,2017-09-24,3,3,30.058,CHI,,PIT,W 23-17,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,10,37%,
52,2017,2017-09-28,4,4,30.062,CHI,@,GNB,L 14-35,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,6,23%,
53,2017,2017-10-09,5,5,30.073,CHI,,MIN,L 17-20,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,9,32%,
54,2017,2017-10-15,6,6,30.079,CHI,@,BAL,W 27-24,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,14,38%,
55,2017,2017-10-22,7,7,30.086,CHI,,CAR,W 17-3,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,10,45%,
56,2017,2017-10-29,8,8,30.093,CHI,@,NOR,L 12-20,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,8,31%,
57,2017,2017-11-12,9,10,30.107,CHI,,GNB,L 16-23,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,9,31%,
58,2017,2017-11-19,10,11,30.114,CHI,,DET,L 24-27,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,9,31%,
59,2017,2017-11-26,11,12,30.121,CHI,@,PHI,L 3-31,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,8,35%,
