Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
1,2023,2023-09-10,1,1,23.059,MIN,,TAM,L 17-20,,,,,,,,,,,,,,0,0%,0,0%,15,54%
2,2023,2023-09-14,2,2,23.063,MIN,@,PHI,L 28-34,,,,,,,,,,,,,,0,0%,0,0%,16,55%
3,2023,2023-09-24,3,3,23.073,MIN,,LAC,L 24-28,,,,,,,,,,,,,,0,0%,0,0%,13,52%
4,2023,2023-10-01,4,4,23.080,MIN,@,CAR,W 21-13,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,0,0%,14,64%
5,2023,2023-10-08,5,5,23.087,MIN,,KAN,L 20-27,,,,,,,,,,,,,,0,0%,0,0%,12,50%
6,2023,2023-10-15,6,6,23.094,MIN,@,CHI,W 19-13,,,,,,,,,,,,,,0,0%,0,0%,16,62%
7,2023,2023-10-23,7,7,23.102,MIN,,SFO,W 22-17,,,,,,,,,,,,,,0,0%,0,0%,12,55%
8,2023,2023-10-29,8,8,23.108,MIN,@,GNB,W 24-10,,0.0,3,1,4,0,0,0,0,0,0,0,0,0,0%,0,0%,17,74%
9,2023,2023-11-05,9,9,23.115,MIN,@,ATL,W 31-28,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,0,0%,28,85%
10,2023,2023-11-12,10,10,23.122,MIN,,NOR,W 27-19,,,,,,,,,,,,,,0,0%,1,1%,20,69%
11,2023,2023-11-19,11,11,23.129,MIN,@,DEN,L 20-21,,,,,,,,,,,,,,0,0%,0,0%,23,86%
12,2023,2023-11-27,12,12,23.137,MIN,,CHI,L 10-12,,,,,,,,,,,,,,0,0%,0,0%,17,85%
13,2023,2023-12-10,13,14,23.150,MIN,@,LVR,W 3-0,,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0%,2,4%,18,82%
14,2023,2023-12-16,14,15,23.156,MIN,@,CIN,L 24-27,,,,,,,,,,,,,,0,0%,1,1%,23,85%
15,2023,2023-12-24,15,16,23.164,MIN,,DET,L 24-30,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,4,5%,19,73%
16,2023,2023-12-31,16,17,23.171,MIN,,GNB,L 10-33,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,17,23%,17,71%
17,2023,2024-01-07,17,18,23.178,MIN,@,DET,L 20-30,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,10,18%,22,79%
18,2024,2024-09-08,1,1,24.057,MIN,@,NYG,W 28-6,,,,,,,,,,,,,,0,0%,3,4%,20,83%
19,2024,2024-09-15,2,2,24.064,MIN,,SFO,W 23-17,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,0,0%,17,74%
20,2024,2024-09-22,3,3,24.071,MIN,,HOU,W 34-7,,0.0,1,0,1,0,1,0,0,0,0,0,0,0,0%,9,13%,19,73%
21,2024,2024-09-29,4,4,24.078,MIN,@,GNB,W 31-29,,,,,,,,,,,,,,0,0%,0,0%,23,80%
22,2024,2024-10-06,5,5,24.085,MIN,,NYJ,W 23-17,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,24,83%
23,2024,2024-10-20,6,7,24.099,MIN,,DET,L 29-31,,,,,,,,,,,,,,0,0%,0,0%,26,84%
24,2024,2024-10-24,7,8,24.103,MIN,@,LAR,L 20-30,,,,,,,,,,,,,,0,0%,0,0%,21,84%
25,2024,2024-11-03,8,9,24.113,MIN,,IND,W 21-13,,,,,,,,,,,,,,0,0%,0,0%,16,73%
26,2024,2024-11-10,9,10,24.120,MIN,@,JAX,W 12-7,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,13,68%
27,2024,2024-11-17,10,11,24.127,MIN,@,TEN,W 23-13,,,,,,,,,,,,,,0,0%,0,0%,18,69%
28,2024,2024-11-24,11,12,24.134,MIN,@,CHI,W 30-27,,,,,,,,,,,,,,0,0%,0,0%,15,48%
