Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2016,2016-12-24,,16,,MIN,@,GNB,L 25-38,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,2016,2017-01-01,,17,,MIN,,CHI,W 38-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2017,2017-09-11,1,1,24.051,MIN,,NOR,W 29-19,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,9,14%,0,0%,18,62%,
4,2017,2017-09-17,2,2,24.057,MIN,@,PIT,L 9-26,,0,0,0,,0,0.0%,,1,1,1.00,1,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,5,8%,0,0%,20,65%,
5,2017,2017-09-24,3,3,24.064,MIN,,TAM,W 34-17,,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,22,30%,0,0%,19,68%,
6,2017,2017-10-01,4,4,24.071,MIN,,DET,L 7-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,7,12%,0,0%,14,61%,
7,2017,2017-10-09,5,5,24.079,MIN,@,CHI,W 20-17,,2,1,11,11.00,0,50.0%,5.50,1,0,0.00,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,6,9%,0,0%,22,79%,
8,2017,2017-10-15,6,6,24.085,MIN,,GNB,W 23-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,6,8%,0,0%,18,69%,
9,2017,2017-10-22,7,7,24.092,MIN,,BAL,W 24-16,,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,12,18%,0,0%,19,61%,
10,2017,2017-10-29,8,8,24.099,MIN,@,CLE,W 33-16,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,17,20%,0,0%,22,67%,
11,2017,2017-11-12,9,10,24.113,MIN,@,WAS,W 38-30,,0,0,0,,0,0.0%,,1,3,3.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,12,20%,0,0%,17,59%,
12,2017,2017-11-19,10,11,24.120,MIN,,LAR,W 24-7,,0,0,0,,0,0.0%,,3,8,2.67,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,19,24%,0,0%,13,57%,
13,2017,2017-11-23,11,12,24.124,MIN,@,DET,W 30-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,15,20%,0,0%,20,62%,
14,2017,2017-12-03,12,13,24.134,MIN,@,ATL,W 14-9,,1,1,12,12.00,0,100.0%,12.00,1,1,1.00,0,0,0,,0,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,25,38%,0,0%,17,74%,
15,2017,2017-12-10,13,14,24.141,MIN,@,CAR,L 24-31,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,8,11%,0,0%,21,68%,
16,2017,2017-12-17,14,15,24.148,MIN,,CIN,W 34-7,*,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,20,31%,0,0%,21,72%,
17,2017,2017-12-23,15,16,24.154,MIN,@,GNB,W 16-0,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,14,22%,0,0%,19,83%,
18,2017,2017-12-31,16,17,24.162,MIN,,CHI,W 23-10,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,7,9%,0,0%,10,34%,
