Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Ret,Yds,Y/R,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2019,2019-09-08,1,1,21.233,ARI,,DET,T 27-27,*,0,0,,0,0,0,0.0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,84,100%,1,3%,
2,2019,2019-09-15,2,2,21.240,ARI,@,BAL,L 17-23,*,0,0,,0,0,0,0.0,5,2,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0%,73,95%,0,0%,
3,2019,2019-09-22,3,3,21.247,ARI,,CAR,L 20-38,*,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,60,100%,0,0%,
4,2019,2019-09-29,4,4,21.254,ARI,,SEA,L 10-27,*,0,0,,0,0,0,0.0,5,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,62,100%,0,0%,
5,2019,2019-10-06,5,5,21.261,ARI,@,CIN,W 26-23,*,0,0,,0,0,0,0.0,8,1,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,66,100%,0,0%,
6,2019,2019-10-13,6,6,21.268,ARI,,ATL,W 34-33,*,0,0,,0,0,0,0.0,6,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0%,67,100%,0,0%,
7,2019,2019-10-20,7,7,21.275,ARI,@,NYG,W 27-21,*,0,0,,0,0,0,0.0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,70,100%,2,7%,
8,2019,2019-10-27,8,8,21.282,ARI,@,NOR,L 9-31,*,0,0,,0,0,0,0.0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,74,100%,2,7%,
9,2019,2019-10-31,9,9,21.286,ARI,,SFO,L 25-28,*,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,70,100%,2,8%,
10,2019,2019-11-10,10,10,21.296,ARI,@,TAM,L 27-30,*,0,0,,0,0,0,0.0,5,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0%,80,96%,0,0%,
