Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
21,2020,2020-10-18,5,6,23.107,DET,@,JAX,W 34-16,*,5,2,17,8.50,1,40.0%,3.40,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,46,60%,0,0%,1,4%,
22,2020,2020-10-25,6,7,23.114,DET,@,ATL,W 23-22,*,6,5,59,11.80,1,83.3%,9.83,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,45,74%,0,0%,0,0%,
23,2020,2020-11-01,7,8,23.121,DET,,IND,L 21-41,*,10,7,65,9.29,0,70.0%,6.50,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,74%,0,0%,0,0%,
24,2020,2020-11-08,8,9,23.128,DET,@,MIN,L 20-34,*,8,5,39,7.80,1,62.5%,4.88,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,57,76%,0,0%,0,0%,
25,2020,2020-11-15,9,10,23.135,DET,,WAS,W 30-27,*,4,2,13,6.50,0,50.0%,3.25,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,39,66%,0,0%,0,0%,
26,2020,2020-11-22,10,11,23.142,DET,@,CAR,L 0-20,*,7,4,68,17.00,0,57.1%,9.71,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,37,66%,0,0%,0,0%,
27,2020,2020-11-26,11,12,23.146,DET,,HOU,L 25-41,*,8,5,89,17.80,0,62.5%,11.13,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,60,73%,0,0%,0,0%,
28,2020,2020-12-06,12,13,23.156,DET,@,CHI,W 34-30,*,9,7,84,12.00,0,77.8%,9.33,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,78%,0,0%,0,0%,
29,2020,2020-12-13,13,14,23.163,DET,,GNB,L 24-31,*,11,6,43,7.17,1,54.5%,3.91,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,56,84%,0,0%,0,0%,
30,2020,2020-12-20,14,15,23.170,DET,@,TEN,L 25-46,*,4,2,18,9.00,0,50.0%,4.50,1,0,0.00,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,52,80%,0,0%,0,0%,
31,2020,2020-12-26,15,16,23.176,DET,,TAM,L 7-47,*,6,4,23,5.75,0,66.7%,3.83,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,46,87%,0,0%,0,0%,
32,2020,2021-01-03,16,17,23.184,DET,,MIN,L 35-37,*,3,3,25,8.33,0,100.0%,8.33,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,39,67%,0,0%,0,0%,
33,2021,2021-09-12,1,1,24.071,DET,,SFO,L 33-41,*,11,8,97,12.13,1,72.7%,8.82,0,0,,0,1,1,8,0.0,0,0,0,0,0,0,0,0,0,0,0,78,85%,0,0%,0,0%,
34,2021,2021-09-20,2,2,24.079,DET,@,GNB,L 17-35,*,9,8,66,8.25,1,88.9%,7.33,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,53,93%,0,0%,0,0%,
